#PI: Shappee 
#OBJECT: SN 2011fe 
#JD: 2457104.01466 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
4019.6 3.6538283e-15 
4021.1 3.5860254e-15 
4022.5 3.2252836e-15 
4024.0 3.2795168e-15 
4025.5 3.217829e-15 
4026.9 3.4853573e-15 
4028.4 3.4359048e-15 
4029.9 3.5673959e-15 
4031.3 3.1241389e-15 
4032.8 2.9593609e-15 
4034.3 3.2045831e-15 
4035.7 3.4486176e-15 
4037.2 3.4231092e-15 
4038.6 3.3545768e-15 
4040.1 3.4619681e-15 
4041.6 3.3551673e-15 
4043.0 3.3191099e-15 
4044.5 2.9989411e-15 
4046.0 3.3550703e-15 
4047.4 3.1545606e-15 
4048.9 3.0901507e-15 
4050.4 2.9550668e-15 
4051.8 3.6274085e-15 
4053.3 3.5211169e-15 
4054.7 3.0263329e-15 
4056.2 2.9633593e-15 
4057.7 3.172917e-15 
4059.1 3.1330577e-15 
4060.6 2.7155069e-15 
4062.1 3.0460221e-15 
4063.5 2.8486477e-15 
4065.0 2.9469473e-15 
4066.5 3.1681715e-15 
4067.9 3.0193697e-15 
4069.4 3.1738098e-15 
4070.8 3.1733567e-15 
4072.3 2.9158273e-15 
4073.8 3.005896e-15 
4075.2 2.8065942e-15 
4076.7 2.8564831e-15 
4078.2 3.2950211e-15 
4079.6 2.7936891e-15 
4081.1 2.7975145e-15 
4082.6 2.9600451e-15 
4084.0 2.8064737e-15 
4085.5 3.1760657e-15 
4086.9 3.1569728e-15 
4088.4 2.7840221e-15 
4089.9 2.9695075e-15 
4091.3 3.0404164e-15 
4092.8 2.8033018e-15 
4094.3 2.4468384e-15 
4095.7 2.7494098e-15 
4097.2 2.5042242e-15 
4098.7 3.1499573e-15 
4100.1 2.8997137e-15 
4101.6 2.6653678e-15 
4103.0 2.4750446e-15 
4104.5 2.8492521e-15 
4106.0 2.9198889e-15 
4107.4 2.5770224e-15 
4108.9 2.5762521e-15 
4110.4 3.0636042e-15 
4111.8 3.0966608e-15 
4113.3 2.928886e-15 
4114.8 2.8228303e-15 
4116.2 2.9939557e-15 
4117.7 3.1020815e-15 
4119.1 3.000722e-15 
4120.6 3.0197341e-15 
4122.1 2.9106488e-15 
4123.5 3.1930346e-15 
4125.0 3.1984244e-15 
4126.5 3.2883023e-15 
4127.9 2.7444502e-15 
4129.4 2.8313006e-15 
4130.9 2.9319442e-15 
4132.3 3.461339e-15 
4133.8 3.0742316e-15 
4135.2 2.7250794e-15 
4136.7 3.0925112e-15 
4138.2 2.9273587e-15 
4139.6 3.1716936e-15 
4141.1 3.0673208e-15 
4142.6 3.0292143e-15 
4144.0 3.2672438e-15 
4145.5 3.2789521e-15 
4147.0 2.9497325e-15 
4148.4 2.9156372e-15 
4149.9 3.393218e-15 
4151.3 2.7033023e-15 
4152.8 2.9899834e-15 
4154.3 3.0993635e-15 
4155.7 3.0941238e-15 
4157.2 2.9890611e-15 
4158.7 2.7984561e-15 
4160.1 2.9015272e-15 
4161.6 3.195033e-15 
4163.1 3.1820095e-15 
4164.5 3.1052188e-15 
4166.0 3.2532446e-15 
4167.4 3.1943929e-15 
4168.9 2.9978991e-15 
4170.4 2.8966129e-15 
4171.8 3.0077783e-15 
4173.3 3.3315516e-15 
4174.8 3.1786925e-15 
4176.2 3.0732765e-15 
4177.7 3.0689788e-15 
4179.2 3.0789015e-15 
4180.6 3.3262339e-15 
4182.1 3.3401363e-15 
4183.5 3.4938907e-15 
4185.0 2.9526297e-15 
4186.5 3.2080269e-15 
