# Wavelength(angstroms) flux flux_err
3549.6908941268975 1.6196383005734474e-16 1.8348431673889594e-16 
3551.1616622209604 2.8534443586452924e-16 1.8399734077224623e-16 
3552.632430315023 3.9685551604228e-17 1.7622774577509895e-16 
3554.103198409086 -8.868916045996785e-17 1.7530883414133624e-16 
3555.5739665031488 -3.679262306944425e-17 1.7512816466066486e-16 
3557.0447345972116 1.1204674910755033e-16 1.7756674604603039e-16 
3558.5155026912744 -2.0933323442514523e-16 1.7282205128731602e-16 
3559.986270785337 9.532057478657687e-17 1.7126861933183124e-16 
3561.4570388794 -1.7390449321945801e-16 1.6623977148909265e-16 
3562.927806973463 2.5212319486828474e-16 1.6997214276182992e-16 
3564.3985750675256 5.257714821597714e-17 1.6786038374520655e-16 
3565.8693431615884 5.494414869985478e-17 1.6181368023255411e-16 
3567.340111255651 -6.645454559454247e-17 1.5884068723192012e-16 
3568.810879349714 2.83612068198937e-16 1.6181857714178043e-16 
3570.281647443777 2.68826978237257e-18 1.564083394796508e-16 
3571.7524155378396 -4.923946865406138e-18 1.5378179618933362e-16 
3573.2231836319024 3.406566402323007e-16 1.5800610831596842e-16 
3574.6939517259652 -4.4736071579015474e-17 1.5062617494433772e-16 
3576.164719820028 6.907471628542054e-17 1.4971867178558334e-16 
3577.635487914091 -4.9029267998341246e-17 1.4907818252856108e-16 
3579.1062560081537 6.929209935039948e-17 1.486995323313588e-16 
3580.5770241022165 1.9366726742144834e-16 1.495524945092439e-16 
3582.0477921962793 2.011354113336017e-16 1.474498675665831e-16 
3583.518560290342 8.706240059754147e-17 1.476076009832296e-16 
3584.989328384405 -2.349651925628892e-16 1.442597959034356e-16 
3586.4600964784677 -9.541799019295602e-17 1.3764006136707583e-16 
3587.9308645725305 -1.358598098701841e-16 1.3672179824291336e-16 
3589.4016326665933 -1.9507997610240315e-17 1.3605924642459309e-16 
3590.872400760656 -1.2363716414597395e-16 1.3443295640075463e-16 
3592.343168854719 2.504613426955514e-16 1.379172793688444e-16 
