# SNID ztf24abodysq
# OBSERVER = Rich/Wise/Hinds
# RA 241.67929166666667
# OBS_DATE 2025-01-05 13:23:47.93
# MJD 60680.55819363
# DEC 16.32327777777778
# INSTRUMENT KAST
#wavelength flux flux_err
3876.09534411 0.34626308 0.09020561
3877.10632162 0.21010597 0.08684351
3878.11729913 0.07348327 0.08410259
3879.12827664 -0.08430253 0.08423112
3880.13925415 0.02194759 0.08303826
3881.15023166 0.04870879 0.08205023
3882.16120917 -0.10338397 0.08860869
3883.17218667 0.11364506 0.09256606
3884.18316418 0.13787802 0.09388402
3885.19414169 -0.15350977 0.09030853
3886.20511920 -0.21693155 0.09963257
3887.21609671 -0.24936423 0.11916615
3888.22707422 -0.07122569 0.13332729
3889.23805173 0.11204939 0.13050836
3890.24902924 0.08977041 0.10941824
3891.26000675 0.05885325 0.08966886
3892.27098426 -0.10425799 0.08524489
3893.28196177 0.07698807 0.08473787
3894.29293928 0.07065028 0.08994388
3895.30391679 -0.09471122 0.09111007
3896.31489430 -0.14408055 0.08895423
3897.32587181 0.00611966 0.08395571
3898.33684931 -0.04311525 0.08328343
3899.34782682 0.06852050 0.07923556
3900.35880433 0.03405778 0.08216536
3901.36978184 0.06523459 0.08339834
3902.38075935 -0.00849355 0.08542552
3903.39173686 -0.04305117 0.08732373
3904.40271437 0.01725068 0.09080520
3905.41369188 0.20296830 0.09270646
3906.42466939 0.18157317 0.09248464
3907.43564690 0.17915924 0.09474804
3908.44662441 0.08810495 0.09434810
3909.45760192 0.03358297 0.09706856
3910.46857943 0.03866246 0.10112996
3911.47955694 0.16115807 0.11399438
3912.49053445 0.25934410 0.12527376
3913.50151196 -0.05843747 0.12692331
3914.51248946 -0.11241940 0.11691998
3915.52346697 -0.06713966 0.09622753
3916.53444448 -0.04495908 0.07845528
3917.54542199 -0.07105639 0.06881016
3918.55639950 -0.09157583 0.06654351
3919.56737701 0.01990752 0.06580239
3920.57835452 -0.04090417 0.06225321
3921.58933203 -0.08504982 0.06251054
3922.60030954 -0.02024921 0.06026844
3923.61128705 -0.05434569 0.06012015
3924.62226456 0.04601453 0.05915736
3925.63324207 0.01480768 0.05834205
3926.64421958 0.00095832 0.05598698
3927.65519709 0.00853909 0.05623861
3928.66617460 0.12539388 0.05570034
3929.67715210 0.17953430 0.05511032
3930.68812961 0.08300888 0.05169976
3931.69910712 0.06710489 0.05236975
3932.71008463 0.05022142 0.05364589
3933.72106214 -0.04352964 0.05384577
3934.73203965 -0.13115057 0.05744042
3935.74301716 0.06315853 0.05530519
3936.75399467 0.16431652 0.05235452
3937.76497218 0.00892341 0.05553648
3938.77594969 0.03738246 0.05713914
3939.78692720 -0.00469960 0.05871302
3940.79790471 -0.08080948 0.06053803
