BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  573  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN1989B NAR NEW TILT!!!! - APERTURE 1'  /
FILENAME= 'CTIO_60_BLUE_06FEB89'  /
4127.09544  5.739188E-14
4135.377205  5.535684E-14
4143.65897  5.498468E-14
4151.940735  5.245113E-14
4160.2225  5.260024E-14
4168.504265  5.149758E-14
4176.78603  5.038026E-14
4185.067795  4.987126E-14
4193.34956  4.983228E-14
4201.631325  4.927394E-14
4209.91309  4.628776E-14
4218.194855  4.570822E-14
4226.47662  4.409227E-14
4234.758385  4.142156E-14
4243.04015  3.961602E-14
4251.321915  3.904206E-14
4259.60368  3.789515E-14
4267.885445  3.498879E-14
4276.16721  3.373140E-14
4284.448975  3.277929E-14
4292.73074  3.079403E-14
4301.012505  2.837257E-14
4309.29427  2.696548E-14
4317.576035  2.707260E-14
4325.8578  2.817199E-14
4334.139565  2.977439E-14
4342.42133  3.208369E-14
4350.703095  3.446653E-14
4358.98486  3.436191E-14
4367.266625  3.547602E-14
4375.54839  3.655734E-14
4383.830155  3.728866E-14
4392.11192  3.795967E-14
4400.393685  3.923325E-14
4408.67545  4.057370E-14
4416.957215  4.057641E-14
4425.23898  3.918588E-14
4433.520745  3.852013E-14
4441.80251  3.850619E-14
4450.084275  3.878344E-14
4458.36604  4.013970E-14
4466.647805  4.213511E-14
4474.92957  4.432752E-14
4483.211335  4.685705E-14
4491.4931  4.868284E-14
4499.774865  4.971543E-14
4508.05663  5.147297E-14
4516.338395  5.273477E-14
4524.62016  5.343969E-14
4532.901925  5.433943E-14
4541.18369  5.507910E-14
4549.465455  5.453281E-14
4557.74722  5.403215E-14
4566.028985  5.318558E-14
4574.31075  5.317344E-14
4582.592515  5.337833E-14
4590.87428  5.275980E-14
4599.156045  5.411598E-14
4607.43781  5.443661E-14
4615.719575  5.376146E-14
4624.00134  5.478404E-14
4632.283105  5.404722E-14
4640.56487  5.318881E-14
4648.846635  5.152097E-14
4657.1284  4.829668E-14
4665.410165  4.608732E-14
4673.69193  4.391729E-14
4681.973695  4.183909E-14
4690.25546  4.172083E-14
4698.537225  4.137146E-14
4706.81899  4.135651E-14
4715.100755  4.134707E-14
4723.38252  4.209272E-14
4731.664285  4.153567E-14
4739.94605  4.122249E-14
4748.227815  3.841837E-14
4756.50958  3.706397E-14
4764.791345  3.511631E-14
4773.07311  3.373829E-14
4781.354875  3.376556E-14
4789.63664  3.361943E-14
4797.918405  3.481491E-14
4806.20017  3.555956E-14
4814.481935  3.659035E-14
4822.7637  3.664999E-14
4831.045465  3.477639E-14
4839.32723  3.318686E-14
4847.608995  3.147415E-14
4855.89076  2.961612E-14
4864.172525  2.746956E-14
4872.45429  2.649268E-14
4880.736055  2.558679E-14
4889.01782  2.589633E-14
4897.299585  2.690359E-14
4905.58135  2.838119E-14
4913.863115  3.039810E-14
4922.14488  3.080218E-14
4930.426645  3.125654E-14
4938.70841  3.199468E-14
4946.990175  3.216130E-14
4955.27194  3.309236E-14
4963.553705  3.335135E-14
4971.83547  3.381760E-14
4980.117235  3.251000E-14
4988.399  3.229619E-14
4996.680765  3.241395E-14
5004.96253  3.228259E-14
5013.244295  3.328908E-14
5021.52606  3.463461E-14
5029.807825  3.478975E-14
5038.08959  3.517786E-14
5046.371355  3.643070E-14
5054.65312  3.684272E-14
5062.934885  3.746108E-14
5071.21665  3.964338E-14
5079.498415  4.108212E-14
5087.78018  4.176708E-14
5096.061945  4.280366E-14
5104.34371  4.476454E-14
5112.625475  4.571861E-14
5120.90724  4.640923E-14
5129.189005  4.734047E-14
5137.47077  4.786874E-14
5145.752535  4.744038E-14
5154.0343  4.696158E-14
5162.316065  4.648412E-14
5170.59783  4.552671E-14
5178.879595  4.516627E-14
5187.16136  4.537359E-14
5195.443125  4.614664E-14
5203.72489  4.682022E-14
5212.006655  4.689013E-14
5220.28842  4.765815E-14
5228.570185  4.770482E-14
5236.85195  4.673128E-14
5245.133715  4.496392E-14
5253.41548  4.183378E-14
5261.697245  3.914298E-14
5269.97901  3.658660E-14
5278.260775  3.424338E-14
5286.54254  3.256180E-14
5294.824305  3.176297E-14
5303.10607  3.196136E-14
5311.387835  3.203079E-14
5319.6696  3.226184E-14
5327.951365  3.268586E-14
5336.23313  3.283930E-14
5344.514895  3.344835E-14
5352.79666  3.478484E-14
5361.078425  3.563961E-14
5369.36019  3.664928E-14
5377.641955  3.737711E-14
5385.92372  3.746069E-14
5394.205485  3.786750E-14
5402.48725  3.824597E-14
5410.769015  3.745831E-14
5419.05078  3.659715E-14
5427.332545  3.606634E-14
5435.61431  3.506587E-14
5443.896075  3.373901E-14
5452.17784  3.213696E-14
5460.459605  3.085577E-14
5468.74137  2.971941E-14
5477.023135  2.862082E-14
5485.3049  2.815984E-14
5493.586665  2.900680E-14
5501.86843  3.060838E-14
5510.150195  3.215149E-14
5518.43196  3.444515E-14
5526.713725  3.633245E-14
5534.99549  3.747921E-14
5543.277255  3.904020E-14
5551.55902  4.087671E-14
5559.840785  4.223829E-14
5568.12255  4.302832E-14
5576.404315  4.316308E-14
5584.68608  4.261354E-14
5592.967845  4.183351E-14
5601.24961  4.178158E-14
5609.531375  4.186134E-14
5617.81314  4.241304E-14
5626.094905  4.241425E-14
5634.37667  4.238935E-14
5642.658435  4.237693E-14
5650.9402  4.123004E-14
5659.221965  4.139842E-14
5667.50373  4.165489E-14
5675.785495  4.129806E-14
5684.06726  4.113169E-14
5692.349025  4.099616E-14
5700.63079  4.050283E-14
5708.912555  4.044405E-14
5717.19432  4.002887E-14
5725.476085  3.938747E-14
5733.75785  3.859883E-14
5742.039615  3.753038E-14
5750.32138  3.632566E-14
5758.603145  3.496321E-14
5766.88491  3.452989E-14
5775.166675  3.413099E-14
5783.44844  3.363353E-14
5791.730205  3.365124E-14
5800.01197  3.395478E-14
5808.293735  3.462148E-14
5816.5755  3.522904E-14
5824.857265  3.679121E-14
5833.13903  3.775026E-14
5841.420795  3.814190E-14
5849.70256  3.894058E-14
5857.984325  3.957097E-14
5866.26609  3.992211E-14
5874.547855  3.998809E-14
5882.82962  3.956045E-14
5891.111385  3.785937E-14
5899.39315  3.331242E-14
5907.674915  3.529268E-14
5915.95668  3.986998E-14
5924.238445  4.155670E-14
5932.52021  4.173275E-14
5940.801975  4.110529E-14
5949.08374  4.112143E-14
5957.365505  4.078832E-14
5965.64727  4.077730E-14
5973.929035  4.058393E-14
5982.2108  4.009913E-14
5990.492565  3.992724E-14
