4286.62562954672  1.055343E-16
4289.66703973139  1.057676E-16
4292.70844991606  9.499737E-17
4295.74986010072  9.976353E-17
4298.79127028539  1.103367E-16
4301.83268047005  1.023392E-16
4304.87409065472  1.067127E-16
4307.91550083939  1.185610E-16
4310.95691102406  1.021623E-16
4313.99832120872  1.005050E-16
4317.03973139339  1.172504E-16
4320.08114157806  1.108543E-16
4323.12255176272  1.141953E-16
4326.16396194739  1.135601E-16
4329.20537213206  1.165928E-16
4332.24678231673  1.145506E-16
4335.28819250139  1.143253E-16
4338.32960268606  1.154978E-16
4341.37101287073  1.076475E-16
4344.41242305539  1.123894E-16
4347.45383324006  1.199245E-16
4350.49524342473  1.164607E-16
4353.53665360939  1.068200E-16
4356.57806379406  9.501525E-17
4359.61947397873  1.123600E-16
4362.6608841634  1.157396E-16
4365.70229434806  1.069177E-16
4368.74370453273  1.111018E-16
4371.7851147174  1.116629E-16
4374.82652490206  1.083847E-16
4377.86793508673  1.106440E-16
4380.9093452714  1.179843E-16
4383.95075545607  1.091753E-16
4386.99216564073  1.138378E-16
4390.0335758254  1.161669E-16
4393.07498601007  9.920298E-17
4396.11639619473  1.038390E-16
4399.1578063794  1.071024E-16
4402.19921656407  1.163392E-16
4405.24062674873  1.055604E-16
4408.2820369334  1.123918E-16
4411.32344711807  1.026874E-16
4414.36485730273  1.049392E-16
4417.4062674874  1.043380E-16
4420.44767767207  1.017739E-16
4423.48908785674  9.338655E-17
4426.5304980414  1.011905E-16
4429.57190822607  1.067347E-16
4432.61331841074  1.070344E-16
4435.6547285954  1.006577E-16
4438.69613878007  1.018006E-16
4441.73754896474  1.065801E-16
4444.77895914941  9.949621E-17
4447.82036933407  9.722535E-17
4450.86177951874  1.003066E-16
4453.90318970341  1.015064E-16
4456.94459988807  9.682918E-17
4459.98601007274  1.002775E-16
4463.02742025741  1.045341E-16
4466.06883044207  1.080610E-16
4469.11024062674  1.028089E-16
4472.15165081141  1.022303E-16
4475.19306099608  1.030565E-16
4478.23447118074  1.015656E-16
4481.27588136541  1.010753E-16
4484.31729155008  1.004517E-16
4487.35870173474  9.353521E-17
4490.40011191941  9.683073E-17
4493.44152210408  9.681315E-17
4496.48293228874  9.490859E-17
4499.52434247341  8.520154E-17
4502.56575265808  9.545399E-17
4505.60716284275  9.098126E-17
4508.64857302741  8.304601E-17
4511.68998321208  7.537793E-17
4514.73139339675  8.699584E-17
4517.77280358141  8.397336E-17
4520.81421376608  7.732925E-17
4523.85562395075  7.641848E-17
4526.89703413541  8.077084E-17
4529.93844432008  8.301025E-17
4532.97985450475  8.287850E-17
4536.02126468941  8.439991E-17
4539.06267487408  7.882913E-17
4542.10408505875  7.335857E-17
4545.14549524342  7.949339E-17
4548.18690542808  8.711733E-17
4551.22831561275  8.094870E-17
4554.26972579742  8.566818E-17
4557.31113598208  7.920947E-17
4560.35254616675  8.099363E-17
4563.39395635142  8.144361E-17
4566.43536653609  8.609160E-17
4569.47677672075  8.495559E-17
4572.51818690542  8.781079E-17
4575.55959709009  8.729582E-17
4578.60100727475  9.078999E-17
4581.64241745942  1.051545E-16
4584.68382764409  9.977586E-17
4587.72523782875  9.980561E-17
4590.76664801342  1.073106E-16
4593.80805819809  1.273880E-16
4596.84946838276  1.225384E-16
4599.89087856742  9.751777E-17
4602.93228875209  1.071497E-16
4605.97369893676  1.093370E-16
4609.01510912142  1.208916E-16
4612.05651930609  1.293772E-16
4615.09792949076  1.320479E-16
4618.13933967543  1.442485E-16
4621.18074986009  1.472566E-16
4624.22216004476  1.426323E-16
4627.26357022943  1.432096E-16
4630.30498041409  1.463900E-16
4633.34639059876  1.476684E-16
4636.38780078343  1.567006E-16
4639.42921096809  1.637806E-16
4642.47062115276  1.671403E-16
4645.51203133743  1.708678E-16
4648.5534415221  1.704571E-16
4651.59485170676  1.785376E-16
4654.63626189143  1.794076E-16
4657.6776720761  1.952497E-16
4660.71908226076  1.901202E-16
4663.76049244543  1.902952E-16
4666.8019026301  1.983665E-16
4669.84331281476  2.064531E-16
4672.88472299943  2.079728E-16
4675.9261331841  2.171783E-16
4678.96754336876  2.168721E-16
4682.00895355343  2.190544E-16
4685.0503637381  2.228294E-16
4688.09177392277  2.235726E-16
4691.13318410743  2.320715E-16
4694.1745942921  2.347225E-16
4697.21600447677  2.316738E-16
4700.25741466143  2.426573E-16
4703.2988248461  2.452460E-16
4706.34023503077  2.418050E-16
4709.38164521543  2.397055E-16
4712.4230554001  2.549955E-16
4715.46446558477  2.576948E-16
4718.50587576944  2.632636E-16
4721.5472859541  2.527360E-16
4724.58869613877  2.472788E-16
4727.63010632344  2.487255E-16
4730.6715165081  2.562671E-16
4733.71292669277  2.529447E-16
4736.75433687744  2.565160E-16
4739.7957470621  2.674754E-16
4742.83715724677  2.557984E-16
4745.87856743144  2.550390E-16
4748.91997761611  2.636117E-16
4751.96138780077  2.687676E-16
4755.00279798544  2.647407E-16
4758.04420817011  2.598972E-16
4761.08561835477  2.560144E-16
4764.12702853944  2.545585E-16
4767.16843872411  2.560071E-16
4770.20984890877  2.561174E-16
4773.25125909344  2.510093E-16
4776.29266927811  2.553660E-16
4779.33407946277  2.520591E-16
4782.37548964744  2.360034E-16
4785.41689983211  2.312610E-16
4788.45831001678  2.308851E-16
4791.49972020144  2.238042E-16
4794.54113038611  2.087444E-16
4797.58254057078  2.182265E-16
4800.62395075545  2.046093E-16
4803.66536094011  1.978091E-16
4806.70677112478  2.025280E-16
4809.74818130945  2.040439E-16
4812.78959149411  2.014605E-16
4815.83100167878  1.913916E-16
4818.87241186345  1.906798E-16
4821.91382204811  1.848943E-16
4824.95523223278  1.874590E-16
4827.99664241745  1.848404E-16
4831.03805260212  1.785782E-16
4834.07946278678  1.827956E-16
4837.12087297145  1.794324E-16
4840.16228315612  1.832124E-16
4843.20369334078  1.764146E-16
4846.24510352545  1.790531E-16
4849.28651371012  1.740860E-16
4852.32792389478  1.711139E-16
4855.36933407945  1.635923E-16
4858.41074426412  1.557399E-16
4861.45215444879  1.603421E-16
4864.49356463345  1.527733E-16
4867.53497481812  1.414573E-16
4870.57638500279  1.362474E-16
4873.61779518745  1.256696E-16
4876.65920537212  1.234268E-16
4879.70061555679  1.206156E-16
4882.74202574145  1.075216E-16
4885.78343592612  9.477928E-17
4888.82484611079  9.187568E-17
4891.86625629545  8.590551E-17
4894.90766648012  8.554817E-17
4897.94907666479  8.430880E-17
4900.99048684946  6.852902E-17
4904.03189703412  7.290270E-17
4907.07330721879  7.923923E-17
4910.11471740346  7.033940E-17
4913.15612758812  6.848926E-17
4916.19753777279  6.957171E-17
4919.23894795746  7.165559E-17
4922.28035814212  6.879107E-17
4925.32176832679  6.004037E-17
4928.36317851146  6.305095E-17
4931.40458869613  6.571762E-17
4934.44599888079  6.957960E-17
4937.48740906546  7.822415E-17
4940.52881925013  7.081923E-17
4943.57022943479  7.076512E-17
4946.61163961946  8.454388E-17
4949.65304980413  8.517808E-17
4952.69445998879  8.237291E-17
4955.73587017346  8.504609E-17
4958.77728035813  9.092340E-17
4961.81869054279  9.258230E-17
4964.86010072746  9.438056E-17
4967.90151091213  9.333309E-17
4970.9429210968  9.809158E-17
4973.98433128146  1.067464E-16
4977.02574146613  1.041069E-16
4980.0671516508  9.861844E-17
4983.10856183546  1.011423E-16
4986.14997202013  1.066994E-16
4989.1913822048  9.902191E-17
4992.23279238947  1.016245E-16
4995.27420257413  9.971663E-17
4998.3156127588  9.418901E-17
5001.35702294347  9.900185E-17
5004.39843312813  1.006904E-16
5007.4398433128  1.052713E-16
5010.48125349747  9.773576E-17
5013.52266368214  9.487640E-17
5016.5640738668  8.806179E-17
5019.60548405147  9.170316E-17
