4353.53665360939  1.337868E-15
4356.57806379406  1.399158E-15
4359.61947397873  1.542968E-15
4362.6608841634  1.386742E-15
4365.70229434806  1.407971E-15
4368.74370453273  1.364620E-15
4371.7851147174  1.321453E-15
4374.82652490206  1.447775E-15
4377.86793508673  1.438950E-15
4380.9093452714  1.522807E-15
4383.95075545607  1.522507E-15
4386.99216564073  1.596897E-15
4390.0335758254  1.596595E-15
4393.07498601007  1.617199E-15
4396.11639619473  1.664917E-15
4399.1578063794  1.614869E-15
4402.19921656407  1.719118E-15
4405.24062674873  1.708594E-15
4408.2820369334  1.696202E-15
4411.32344711807  1.663301E-15
4414.36485730273  1.700620E-15
4417.4062674874  1.633794E-15
4420.44767767207  1.704031E-15
4423.48908785674  1.652998E-15
4426.5304980414  1.717365E-15
4429.57190822607  1.832035E-15
4432.61331841074  1.781749E-15
4435.6547285954  1.855862E-15
4438.69613878007  1.897713E-15
4441.73754896474  1.865015E-15
4444.77895914941  1.868911E-15
4447.82036933407  1.921290E-15
4450.86177951874  2.006307E-15
4453.90318970341  1.930688E-15
4456.94459988807  1.983208E-15
4459.98601007274  1.958885E-15
4463.02742025741  1.994140E-15
4466.06883044207  2.133566E-15
4469.11024062674  2.110980E-15
4472.15165081141  2.100183E-15
4475.19306099608  2.056072E-15
4478.23447118074  2.151456E-15
4481.27588136541  2.160489E-15
4484.31729155008  2.271265E-15
4487.35870173474  2.210381E-15
4490.40011191941  2.160427E-15
4493.44152210408  2.290619E-15
4496.48293228874  2.227649E-15
4499.52434247341  2.208764E-15
4502.56575265808  2.132880E-15
4505.60716284275  2.273265E-15
4508.64857302741  2.210952E-15
4511.68998321208  2.186652E-15
4514.73139339675  2.213494E-15
4517.77280358141  2.282942E-15
4520.81421376608  2.304810E-15
4523.85562395075  2.325955E-15
4526.89703413541  2.327591E-15
4529.93844432008  2.394933E-15
4532.97985450475  2.315640E-15
4536.02126468941  2.309297E-15
4539.06267487408  2.392992E-15
4542.10408505875  2.399933E-15
4545.14549524342  2.549202E-15
4548.18690542808  2.460793E-15
4551.22831561275  2.384971E-15
4554.26972579742  2.439944E-15
4557.31113598208  2.487197E-15
4560.35254616675  2.416546E-15
4563.39395635142  2.367910E-15
4566.43536653609  2.312400E-15
4569.47677672075  2.463962E-15
4572.51818690542  2.539924E-15
4575.55959709009  2.432145E-15
4578.60100727475  2.298772E-15
4581.64241745942  2.253264E-15
4584.68382764409  2.328462E-15
4587.72523782875  2.344627E-15
4590.76664801342  2.246220E-15
4593.80805819809  2.278093E-15
4596.84946838276  2.362730E-15
4599.89087856742  2.209493E-15
4602.93228875209  2.279329E-15
4605.97369893676  2.277719E-15
4609.01510912142  2.232503E-15
4612.05651930609  2.235895E-15
4615.09792949076  2.239286E-15
4618.13933967543  2.242676E-15
4621.18074986009  2.246068E-15
4624.22216004476  2.229162E-15
4627.26357022943  2.227040E-15
4630.30498041409  2.188302E-15
4633.34639059876  2.137840E-15
4636.38780078343  2.181354E-15
4639.42921096809  2.185517E-15
4642.47062115276  2.222849E-15
4645.51203133743  2.177195E-15
4648.5534415221  2.155896E-15
4651.59485170676  2.156234E-15
4654.63626189143  2.196903E-15
4657.6776720761  2.239823E-15
4660.71908226076  2.248534E-15
4663.76049244543  2.208930E-15
4666.8019026301  2.184444E-15
4669.84331281476  2.148212E-15
4672.88472299943  2.159053E-15
4675.9261331841  2.174338E-15
4678.96754336876  2.007748E-15
4682.00895355343  2.123925E-15
4685.0503637381  2.113220E-15
4688.09177392277  1.973515E-15
4691.13318410743  1.901395E-15
4694.1745942921  1.903088E-15
4697.21600447677  1.872130E-15
4700.25741466143  1.863432E-15
4703.2988248461  1.838871E-15
