#wavelength spec_sum
4806.95 9480.78
4809.85 8300.92
4812.75 9293.96
4815.65 8153.8
4818.54 9349.78
4821.44 9576.4
4824.34 9098.76
4827.24 8170.44
4830.14 9491.33
4833.04 9131.56
4835.93 8049.16
4838.83 9149.15
4841.73 9211.18
4844.63 8625.54
4847.53 8549.57
4850.43 8653.96
4853.32 8509.28
4856.22 8487.85
4859.12 8876.25
4862.02 8965.27
4864.92 9441.36
4867.81 9273.29
4870.71 9600.89
4873.61 9788.46
4876.51 9109.03
4879.4 9624.58
4882.3 9044.84
4885.2 9029.06
4888.1 8020.82
4890.99 8781.75
4893.89 7875.46
4896.79 8477.97
4899.69 9513.25
4902.58 8562.26
4905.48 8559.04
4908.38 8189.92
4911.27 8354.16
4914.17 7495.14
4917.07 9013.34
4919.96 8448.56
4922.86 7834.78
4925.76 8535.43
4928.65 8309
4931.55 7771.93
4934.45 8935
4937.34 8182.23
4940.24 8491.43
4943.14 8311.18
4946.03 8418.93
4948.93 8167.52
4951.83 7949.87
4954.72 8156.48
4957.62 8334.4
4960.51 8500.63
4963.41 8537.8
4966.31 8579.28
4969.2 7707.34
4972.1 7671.22
4974.99 7908.11
4977.89 8260.71
4980.78 7298.84
4983.68 7630.5
4986.58 7811.88
4989.47 7647.8
4992.37 7354.04
4995.26 7355.61
4998.16 7306.37
5001.05 7723.74
5003.95 7117.21
5006.84 6586.17
5009.74 6504.37
5012.63 6527.37
5015.53 5979.98
5018.42 6173.48
5021.32 6236.59
5024.21 6388.69
5027.11 6350.21
5030 5920.51
5032.9 5716.57
5035.79 6353.48
5038.68 5853.2
5041.58 5974.95
5044.47 5997.15
5047.37 6578.72
5050.26 5860.11
5053.16 5683.07
5056.05 6050.6
5058.94 6149.93
5061.84 5884.14
5064.73 6125.88
5067.62 6840.15
5070.52 6671.64
5073.41 6417.81
5076.31 6661.89
5079.2 6740.54
5082.09 7386.32
5084.99 7157.94
5087.88 6240.21
5090.77 6280
5093.67 5868.26
5096.56 6727.95
5099.45 6816.21
5102.35 7287.9
5105.24 6939.78
5108.13 7633.61
5111.02 6592.96
5113.92 6742.08
5116.81 7328.12
5119.7 7093.26
5122.59 7473.3
5125.49 7110.02
5128.38 7277.39
5131.27 7201.28
