# Wavelength(angstroms) flux flux_err
3510.1831583976746 1.50132718695558e-17 1.1433723207604436e-16 
3511.654067993164 -3.1074131588963055e-17 1.1475462079569372e-16 
3513.1249775886536 2.276025439573384e-16 1.2023855032423448e-16 
3514.595887184143 1.5193698489999335e-16 1.12627998997824e-16 
3516.0667967796326 -8.139520754992836e-17 1.0660198161793028e-16 
3517.537706375122 3.579199591732865e-17 1.0639215567502763e-16 
3519.0086159706116 -1.0851092918324546e-16 1.047271535985217e-16 
3520.479525566101 -3.028940850289115e-17 1.0358119081278053e-16 
3521.9504351615906 -1.4952579973651558e-16 1.0247864508303105e-16 
3523.42134475708 -1.4195081055899997e-16 1.0086903763778656e-16 
3524.8922543525696 1.5418961608365696e-16 1.0392584719552932e-16 
3526.363163948059 -1.0227258446627674e-16 9.796109412052375e-17 
3527.8340735435486 -1.8520452154076122e-16 9.814886411957328e-17 
3529.304983139038 -4.057032383974942e-17 9.477402677736103e-17 
3530.7758927345276 -4.361103811713313e-18 9.378872893635727e-17 
3532.246802330017 -1.2519243575114105e-16 9.339250280549947e-17 
3533.7177119255066 2.0374528858893715e-17 8.925350939596583e-17 
3535.188621520996 3.38522639983367e-17 8.872130800729411e-17 
3536.6595311164856 1.3257269999501678e-16 9.155905366905323e-17 
3538.130440711975 -6.286317222029854e-17 8.837726704692106e-17 
3539.6013503074646 -4.088215769579211e-17 8.908574393285028e-17 
3541.072259902954 -1.0100014907359867e-16 8.694601297663281e-17 
3542.5431694984436 4.89587111464517e-18 8.568059207554919e-17 
3544.014079093933 -1.5134872051812524e-16 8.438012518627292e-17 
3545.4849886894226 -1.5313166872721147e-19 8.180511193939534e-17 
3546.955898284912 2.1210594383842298e-16 8.890273849412905e-17 
3548.4268078804016 -5.30686688621235e-17 8.091785816203626e-17 
3549.897717475891 1.4461173809301976e-16 8.391832017645191e-17 
3551.3686270713806 -7.948605484382127e-17 7.564838017038355e-17 
3552.83953666687 1.4566727349419662e-16 8.003724168191231e-17 
3554.3104462623596 -3.7719614603430373e-17 7.706721329659371e-17 
3555.781355857849 -6.800503278704657e-17 7.314421990605482e-17 
3557.2522654533386 -1.3840460455492389e-18 7.21704959761819e-17 
3558.723175048828 -1.46047445703726e-16 7.138779121080462e-17 
3560.1940846443176 2.832033152448827e-17 6.957675536023612e-17 
3561.664994239807 5.907905914588485e-17 6.962682956579763e-17 
3563.1359038352966 2.1353895153160984e-16 1.7720736584837815e-16 
3564.606813430786 -1.3049833781388692e-17 6.644039749734536e-17 
3566.0777230262756 7.845865020091611e-17 6.612810703760454e-17 
3567.548632621765 2.6506951444063794e-17 6.362352987424708e-17 
3569.0195422172546 9.538318243277978e-17 6.841450704259502e-17 
3570.490451812744 2.653403995476368e-17 6.332975502533765e-17 
3571.9613614082336 6.395741967414289e-17 6.463859298241296e-17 
3573.432271003723 1.242446985273921e-16 6.520209488546368e-17 
3574.9031805992126 -2.9730737334617734e-17 5.89253491357378e-17 
3576.374090194702 3.711190899562543e-18 5.797811483780128e-17 
3577.8449997901917 1.2242859371402987e-16 6.219946896656559e-17 
3579.315909385681 2.3527595770158047e-17 5.81126144054024e-17 
3580.7868189811707 9.271048246428215e-17 5.874811410896974e-17 
3582.25772857666 1.2696622862180996e-16 5.994215924935738e-17 
3583.7286381721497 5.251006055957664e-17 5.680562933289921e-17 
3585.199547767639 -1.6950659558691773e-17 5.470023629827004e-17 
3586.6704573631287 -6.190568088276636e-17 5.4521188091599264e-17 
3588.141366958618 1.4805636300915188e-17 5.4265705087606136e-17 
3589.6122765541077 -8.605303841815731e-18 5.3428657864706576e-17 
3591.083186149597 6.966592873899179e-18 5.2172911668067374e-17 
3592.5540957450867 4.879269103442863e-17 5.330693989193062e-17 
3594.025005340576 3.9898656491078814e-17 5.257063995891757e-17 
3595.4959149360657 3.044804520076657e-17 5.152217860633926e-17 
3596.966824531555 4.2678588845465376e-17 5.019735951982943e-17 
3598.4377341270447 4.755254877286463e-17 5.153466241614391e-17 
3599.908643722534 4.8976067050064285e-17 5.089902374623366e-17 
3601.3795533180237 3.137042768437955e-17 4.9239686202562485e-17 
3602.850462913513 -1.0880069386054523e-16 4.845715018203017e-17 
3604.3213725090027 -4.7894604499767557e-17 4.7213338547268883e-17 
3605.792282104492 8.364883796777194e-17 5.088687411739648e-17 
3607.2631916999817 5.911356912104057e-17 4.8900221205338073e-17 
3608.734101295471 2.1658984840233407e-17 4.7601332576670556e-17 
3610.2050108909607 2.2140064812688123e-17 4.7533292008204394e-17 
3611.67592048645 -2.4358564869916568e-17 4.64063444503846e-17 
3613.1468300819397 -1.248311100246881e-16 4.599750877826904e-17 
3614.617739677429 -1.4033471470903062e-17 4.551375039499088e-17 
3616.0886492729187 2.3035216510535858e-17 4.6008010663326014e-17 
3617.559558868408 -3.736378797368966e-17 4.564072592774022e-17 
3619.0304684638977 2.610334024469712e-17 4.571406376084917e-17 
3620.501378059387 4.7185730567144313e-17 4.622354746117773e-17 
3621.9722876548767 4.299359576633782e-17 4.490492561181715e-17 
3623.443197250366 3.681109897560623e-17 4.384825862756231e-17 
3624.9141068458557 1.6192306990548058e-17 4.405133808538898e-17 
3626.385016441345 -4.9911687732200565e-17 4.463070862131092e-17 
3627.8559260368347 -3.5008354783497964e-17 4.170073893869704e-17 
3629.326835632324 -1.6447207659389948e-17 4.2264757002449997e-17 
3630.7977452278137 -5.38689164739318e-17 4.262233394636687e-17 
3632.268654823303 -2.1134153630819537e-17 4.263217077821135e-17 
3633.7395644187927 6.750742740031427e-17 4.487467727117731e-17 
3635.210474014282 8.210997762595789e-17 4.5603995799820414e-17 
3636.6813836097717 1.2498029370252325e-16 4.6702991270380816e-17 
3638.1522932052612 -1.2997021607999631e-17 4.144989145485666e-17 
3639.6232028007507 4.5851435299537076e-17 4.302434372406764e-17 
3641.0941123962402 1.8055220300413432e-17 4.05848325876936e-17 
3642.5650219917293 1.1755816750220745e-16 4.3648209959500035e-17 
3644.035931587219 3.0131165542987304e-17 4.031989987238267e-17 
3645.5068411827083 1.8384357120509507e-17 3.8717978589390025e-17 
3646.977750778198 -4.047150222632894e-17 3.998122235110141e-17 
3648.4486603736873 7.756958324365432e-17 4.213627930970826e-17 
3649.919569969177 3.6926900952641205e-17 3.9867485016875366e-17 
3651.3904795646663 8.646606955033974e-17 4.176143745204618e-17 
3652.861389160156 5.940152723588253e-17 4.035482674656711e-17 
3654.3322987556453 1.6706341838606886e-17 3.818360337006852e-17 
3655.803208351135 3.1678555771278e-17 3.8601002015885226e-17 
3657.2741179466243 3.7439018396040135e-17 3.957723726609786e-17 
3658.745027542114 2.012110718898707e-17 3.9762360287187227e-17 
3660.2159371376033 2.1615313012613058e-17 3.893190734813094e-17 
3661.686846733093 -2.2995753377872178e-17 3.746842632117762e-17 
3663.1577563285823 -1.7021231299832347e-17 3.7292868816691816e-17 
3664.628665924072 -5.1654090752984314e-17 3.6759850173574896e-17 
3666.0995755195613 3.553105021257022e-17 3.8233002596250185e-17 
3667.570485115051 -9.152039455594495e-17 3.643495679002122e-17 
3669.0413947105403 2.572793424985728e-17 3.764718005155033e-17 
3670.51230430603 7.903475833650214e-17 3.858096108400429e-17 
3671.9832139015193 6.798734435682773e-17 3.871865687749232e-17 
3673.454123497009 -1.0680771136243957e-17 3.579654541069769e-17 
3674.9250330924983 2.528347521748151e-17 3.639275403516876e-17 
3676.395942687988 5.630901656290198e-17 3.752989245813521e-17 
3677.8668522834773 -2.7815638854267614e-17 3.5366034297810794e-17 
3679.337761878967 2.269938449056178e-17 3.558496584489643e-17 
3680.8086714744563 7.489180769491805e-17 3.741304161608352e-17 
3682.279581069946 -5.965577360485989e-18 3.433361363167111e-17 
3683.7504906654353 1.614242469088866e-17 3.442116573642617e-17 
3685.221400260925 5.516743452568489e-17 3.6409777412175104e-17 
3686.6923098564143 2.5319100232102945e-17 3.522078799969138e-17 
3688.163219451904 2.5745432428535225e-17 3.480770392794975e-17 
3689.6341290473933 2.199744564019418e-17 3.583290165298062e-17 
3691.105038642883 1.1900134620820626e-17 3.510217360857373e-17 
3692.5759482383723 2.5221408547399207e-17 3.5897957753796693e-17 
3694.046857833862 1.0126824823629446e-16 3.8449651124845174e-17 
