4609.01510912142  3.896928E-17
4612.05651930609  3.539022E-17
4615.09792949076  3.936446E-17
4618.13933967543  3.791575E-17
4621.18074986009  3.833188E-17
4624.22216004476  4.228322E-17
4627.26357022943  4.136444E-17
4630.30498041409  4.279895E-17
4633.34639059876  3.936446E-17
4636.38780078343  4.412293E-17
4639.42921096809  4.291381E-17
4642.47062115276  4.630636E-17
4645.51203133743  4.825717E-17
4648.5534415221  4.872428E-17
4651.59485170676  5.173208E-17
4654.63626189143  5.159647E-17
4657.6776720761  5.540615E-17
4660.71908226076  5.651950E-17
4663.76049244543  6.204616E-17
4666.8019026301  6.226534E-17
4669.84331281476  6.160750E-17
4672.88472299943  6.360335E-17
4675.9261331841  6.607617E-17
4678.96754336876  6.839625E-17
4682.00895355343  7.459421E-17
4685.0503637381  7.069297E-17
4688.09177392277  7.503081E-17
4691.13318410743  7.503325E-17
4694.1745942921  7.356651E-17
4697.21600447677  7.791039E-17
4700.25741466143  7.869908E-17
4703.2988248461  7.983010E-17
4706.34023503077  8.916469E-17
4709.38164521543  9.246566E-17
4712.4230554001  9.157650E-17
4715.46446558477  9.158018E-17
4718.50587576944  9.740821E-17
4721.5472859541  9.474021E-17
4724.58869613877  9.488969E-17
4727.63010632344  1.022326E-16
4730.6715165081  1.049497E-16
4733.71292669277  1.092723E-16
4736.75433687744  1.089470E-16
4739.7957470621  1.083771E-16
4742.83715724677  1.147586E-16
4745.87856743144  1.123529E-16
4748.91997761611  1.090207E-16
4751.96138780077  1.124699E-16
4755.00279798544  1.195274E-16
4758.04420817011  1.206460E-16
4761.08561835477  1.150441E-16
4764.12702853944  1.156947E-16
4767.16843872411  1.231227E-16
4770.20984890877  1.256077E-16
4773.25125909344  1.193163E-16
4776.29266927811  1.242236E-16
4779.33407946277  1.317309E-16
4782.37548964744  1.242952E-16
4785.41689983211  1.220084E-16
4788.45831001678  1.251493E-16
4791.49972020144  1.252334E-16
4794.54113038611  1.234690E-16
4797.58254057078  1.232404E-16
4800.62395075545  1.272741E-16
4803.66536094011  1.220313E-16
4806.70677112478  1.253988E-16
4809.74818130945  1.242329E-16
4812.78959149411  1.219647E-16
4815.83100167878  1.256598E-16
4818.87241186345  1.259002E-16
4821.91382204811  1.189904E-16
4824.95523223278  1.131370E-16
4827.99664241745  1.143349E-16
4831.03805260212  1.131379E-16
4834.07946278678  1.034744E-16
4837.12087297145  1.103802E-16
4840.16228315612  1.131730E-16
4843.20369334078  1.022086E-16
4846.24510352545  1.007548E-16
4849.28651371012  1.013467E-16
4852.32792389478  9.590134E-17
4855.36933407945  9.845462E-17
4858.41074426412  9.472046E-17
