# SNID ztf24aagpwsh
# OBSERVER='Rich/Caceres/Wise/Hinds'
# RA 100.58212499999999
# OBS_DATE 2024-04-03 04:17:42.00
# DEC 41.95780555555556
# INSTRUMENT KAST
#wavelength flux flux_err
3722.72754491 0.03529778 0.02433939
3723.75193985 0.05592105 0.02656226
3724.77633478 0.04641252 0.02640030
3725.80072971 0.05592157 0.02778524
3726.82512465 0.09074958 0.02976052
3727.84951958 0.09437694 0.02971862
3728.87391452 0.07460382 0.02863978
3729.89830945 0.04126070 0.02813450
3730.92270438 0.01530636 0.02660074
3731.94709932 0.05253330 0.02872260
3732.97149425 0.07631481 0.02974760
3733.99588919 0.09542347 0.03054282
3735.02028412 0.07753597 0.03054586
3736.04467905 0.01789018 0.02677434
3737.06907399 0.08031389 0.02959913
3738.09346892 0.06439569 0.03052097
3739.11786386 0.09937824 0.03284150
3740.14225879 0.04423941 0.02996637
3741.16665373 0.03745584 0.02820721
3742.19104866 0.04831719 0.02887482
3743.21544359 0.04666800 0.02770061
3744.23983853 0.06598524 0.02761463
3745.26423346 0.05142363 0.02677727
3746.28862840 0.04437926 0.02581815
3747.31302333 0.06664830 0.02728893
3748.33741826 0.04410588 0.02571541
3749.36181320 0.06785434 0.02663459
3750.38620813 0.04207413 0.02466622
3751.41060307 0.05662660 0.02648882
3752.43499800 0.06674185 0.02692782
3753.45939293 0.03927241 0.02552043
3754.48378787 0.05416908 0.02676760
3755.50818280 0.04285944 0.02522247
3756.53257774 0.04726223 0.02513138
3757.55697267 0.03368014 0.02321363
3758.58136761 0.03741753 0.02288543
3759.60576254 0.05774293 0.02533593
3760.63015747 0.04054458 0.02406742
3761.65455241 0.04748626 0.02394655
3762.67894734 0.05103767 0.02411100
3763.70334228 0.06209920 0.02523650
3764.72773721 0.05993341 0.02401766
3765.75213214 0.03136975 0.02133052
3766.77652708 0.02447172 0.02194672
3767.80092201 0.02565789 0.02099622
3768.82531695 0.07188851 0.02462060
3769.84971188 0.06236338 0.02504334
3770.87410681 0.03582591 0.02345322
3771.89850175 0.04038975 0.02457978
3772.92289668 0.05871794 0.02482970
3773.94729162 0.03901540 0.02372550
3774.97168655 0.07183697 0.02593672
3775.99608148 0.08644131 0.02734632
3777.02047642 0.07917261 0.02609463
3778.04487135 0.04206387 0.02350124
3779.06926629 0.05268294 0.02405174
3780.09366122 0.07387470 0.02547535
3781.11805616 0.06703021 0.02532578
3782.14245109 0.07348806 0.02592984
3783.16684602 0.07310691 0.02625759
3784.19124096 0.06680358 0.02642536
3785.21563589 0.07708330 0.02553079
3786.24003083 0.06108885 0.02345922
3787.26442576 0.05491179 0.02374253
3788.28882069 0.06239435 0.02463689
3789.31321563 0.05368343 0.02548926
3790.33761056 0.08922111 0.02732670
3791.36200550 0.07204310 0.02639499
3792.38640043 0.06296334 0.02557742
3793.41079536 0.08377475 0.02607584
3794.43519030 0.07336313 0.02512951
3795.45958523 0.05626604 0.02358773
3796.48398017 0.07997299 0.02511166
