3682.217  7.963220E-16
3683.217  1.103419E-15
3684.217  1.677527E-15
3685.217  1.715669E-15
3686.217  1.447014E-15
3687.217  1.444005E-15
3688.217  1.586823E-15
3689.217  1.464853E-15
3690.217  1.203559E-15
3691.217  1.032599E-15
3692.217  9.071719E-16
3693.217  1.189474E-15
3694.217  1.668533E-15
3695.217  1.589816E-15
3696.217  1.253585E-15
3697.217  1.237929E-15
3698.217  1.363770E-15
3699.217  1.342370E-15
3700.217  1.258887E-15
3701.217  1.335935E-15
3702.217  1.477586E-15
3703.217  1.709141E-15
3704.217  1.975193E-15
3705.217  2.057543E-15
3706.217  2.072744E-15
3707.217  1.829094E-15
3708.217  1.495419E-15
3709.217  1.399090E-15
3710.217  1.381206E-15
3711.217  1.378585E-15
3712.217  1.380751E-15
3713.217  1.475121E-15
3714.217  1.596899E-15
3715.217  1.762326E-15
3716.217  1.940029E-15
3717.217  1.825982E-15
3718.217  1.634444E-15
3719.217  1.268897E-15
3720.217  8.597853E-16
3721.217  1.095578E-15
3722.217  1.483227E-15
3723.217  1.624820E-15
3724.217  1.712051E-15
3725.217  1.472276E-15
3726.217  1.164898E-15
3727.217  9.839939E-16
3728.217  8.274836E-16
3729.217  8.720580E-16
3730.217  9.526897E-16
3731.217  1.016731E-15
3732.217  1.078017E-15
3733.217  1.132043E-15
3734.217  1.184957E-15
3735.217  1.051870E-15
3736.217  8.926625E-16
3737.217  9.207764E-16
3738.217  9.728746E-16
3739.217  8.922794E-16
3740.217  7.963037E-16
3741.217  9.665876E-16
3742.217  1.164573E-15
3743.217  1.102067E-15
3744.217  1.015487E-15
3745.217  9.007018E-16
3746.217  7.836306E-16
3747.217  6.654143E-16
3748.217  5.471180E-16
3749.217  6.920983E-16
3750.217  8.526056E-16
3751.217  1.098260E-15
3752.217  1.348025E-15
3753.217  1.100817E-15
3754.217  8.348250E-16
3755.217  7.190262E-16
3756.217  6.073608E-16
3757.217  5.677707E-16
3758.217  5.294380E-16
3759.217  4.893322E-16
3760.217  4.495910E-16
3761.217  5.874687E-16
3762.217  7.242891E-16
3763.217  7.722538E-16
3764.217  8.179405E-16
3765.217  7.594442E-16
3766.217  6.999756E-16
3767.217  6.101505E-16
3768.217  5.240629E-16
3769.217  5.261440E-16
3770.217  5.279071E-16
3771.217  5.236642E-16
3772.217  5.262542E-16
3773.217  6.360097E-16
3774.217  7.304726E-16
3775.217  6.204265E-16
3776.217  5.156156E-16
3777.217  4.716611E-16
3778.217  4.290827E-16
3779.217  4.006181E-16
3780.217  3.733542E-16
3781.217  3.570815E-16
3782.217  3.508225E-16
3783.217  4.271680E-16
3784.217  4.926610E-16
3785.217  4.768445E-16
3786.217  4.551454E-16
3787.217  3.931516E-16
3788.217  3.506755E-16
3789.217  4.311201E-16
3790.217  5.132628E-16
3791.217  6.052858E-16
3792.217  6.807415E-16
3793.217  6.667659E-16
3794.217  6.494102E-16
3795.217  6.150639E-16
3796.217  5.635858E-16
3797.217  4.316601E-16
3798.217  3.370414E-16
3799.217  4.065522E-16
3800.217  4.955865E-16
3801.217  6.653001E-16
3802.217  7.913432E-16
3803.217  7.474841E-16
3804.217  6.994330E-16
3805.217  6.359954E-16
3806.217  5.877393E-16
3807.217  5.921527E-16
3808.217  6.003055E-16
3809.217  6.207415E-16
3810.217  6.294928E-16
3811.217  6.018472E-16
3812.217  5.729723E-16
3813.217  5.404609E-16
3814.217  5.194111E-16
3815.217  5.305977E-16
3816.217  5.506124E-16
3817.217  5.942635E-16
3818.217  6.285367E-16
3819.217  6.388811E-16
3820.217  6.514893E-16
3821.217  6.696075E-16
3822.217  6.480280E-16
3823.217  5.341866E-16
3824.217  4.337327E-16
3825.217  3.630113E-16
3826.217  3.523858E-16
3827.217  4.694022E-16
3828.217  5.836445E-16
3829.217  6.922479E-16
3830.217  7.594741E-16
3831.217  7.461564E-16
3832.217  7.106940E-16
3833.217  6.339267E-16
3834.217  5.893454E-16
3835.217  6.023206E-16
3836.217  6.637445E-16
3837.217  8.082725E-16
3838.217  8.872634E-16
3839.217  8.583764E-16
3840.217  8.366447E-16
3841.217  8.262200E-16
3842.217  8.092318E-16
3843.217  7.822820E-16
3844.217  7.627994E-16
3845.217  7.542043E-16
3846.217  7.769758E-16
3847.217  8.436974E-16
3848.217  9.124681E-16
3849.217  9.839988E-16
3850.217  9.907543E-16
3851.217  9.136281E-16
3852.217  8.457738E-16
3853.217  7.894663E-16
3854.217  7.607071E-16
3855.217  7.649446E-16
3856.217  8.152233E-16
3857.217  9.185504E-16
3858.217  9.961705E-16
3859.217  1.045295E-15
3860.217  1.034991E-15
3861.217  9.613054E-16
3862.217  9.290597E-16
3863.217  9.393368E-16
3864.217  9.700592E-16
3865.217  1.020968E-15
3866.217  1.088681E-15
3867.217  1.172357E-15
3868.217  1.186055E-15
3869.217  1.135790E-15
3870.217  1.096079E-15
3871.217  1.065649E-15
3872.217  1.073124E-15
3873.217  1.112666E-15
3874.217  1.143113E-15
3875.217  1.166161E-15
3876.217  1.184212E-15
3877.217  1.198353E-15
3878.217  1.257265E-15
3879.217  1.349865E-15
3880.217  1.381783E-15
3881.217  1.369810E-15
3882.217  1.369942E-15
3883.217  1.378489E-15
3884.217  1.406784E-15
3885.217  1.448268E-15
3886.217  1.467227E-15
3887.217  1.471735E-15
3888.217  1.459231E-15
3889.217  1.436249E-15
3890.217  1.435283E-15
3891.217  1.447333E-15
3892.217  1.473635E-15
3893.217  1.508020E-15
3894.217  1.541450E-15
3895.217  1.574360E-15
3896.217  1.579763E-15
3897.217  1.570828E-15
3898.217  1.632288E-15
3899.217  1.728893E-15
3900.217  1.762299E-15
3901.217  1.765502E-15
3902.217  1.742801E-15
3903.217  1.708257E-15
3904.217  1.718918E-15
3905.217  1.749332E-15
3906.217  1.825444E-15
3907.217  1.920629E-15
3908.217  2.013622E-15
3909.217  2.105742E-15
3910.217  2.138328E-15
3911.217  2.148309E-15
3912.217  2.090806E-15
3913.217  2.008903E-15
3914.217  2.050844E-15
3915.217  2.135379E-15
3916.217  2.192428E-15
3917.217  2.240494E-15
3918.217  2.238518E-15
3919.217  2.221028E-15
3920.217  2.223627E-15
3921.217  2.232126E-15
3922.217  2.271310E-15
3923.217  2.319016E-15
3924.217  2.354860E-15
3925.217  2.387593E-15
3926.217  2.454074E-15
3927.217  2.528891E-15
3928.217  2.545670E-15
3929.217  2.548971E-15
3930.217  2.459244E-15
3931.217  2.349258E-15
3932.217  2.314529E-15
3933.217  2.295126E-15
3934.217  2.435363E-15
3935.217  2.605909E-15
3936.217  2.638370E-15
3937.217  2.646478E-15
3938.217  2.609368E-15
3939.217  2.564881E-15
3940.217  2.574678E-15
3941.217  2.592635E-15
3942.217  2.688763E-15
3943.217  2.795654E-15
3944.217  2.782290E-15
3945.217  2.753851E-15
3946.217  2.670188E-15
3947.217  2.580268E-15
3948.217  2.690624E-15
3949.217  2.821299E-15
3950.217  2.882396E-15
3951.217  2.937238E-15
3952.217  2.873342E-15
3953.217  2.800117E-15
3954.217  2.841928E-15
3955.217  2.891501E-15
3956.217  2.922123E-15
3957.217  2.951673E-15
3958.217  2.927009E-15
3959.217  2.899854E-15
3960.217  2.909436E-15
3961.217  2.920322E-15
3962.217  2.972786E-15
3963.217  3.026301E-15
3964.217  2.974991E-15
3965.217  2.922082E-15
3966.217  2.903718E-15
3967.217  2.885492E-15
3968.217  2.855707E-15
3969.217  2.826629E-15
3970.217  2.847698E-15
3971.217  2.868567E-15
3972.217  2.881094E-15
3973.217  2.892734E-15
3974.217  2.878466E-15
3975.217  2.869097E-15
3976.217  2.969329E-15
3977.217  3.062125E-15
3978.217  3.020533E-15
3979.217  2.973989E-15
3980.217  2.852619E-15
3981.217  2.740322E-15
3982.217  2.745499E-15
3983.217  2.754855E-15
3984.217  2.811421E-15
3985.217  2.861793E-15
3986.217  2.850258E-15
3987.217  2.842957E-15
3988.217  2.873508E-15
3989.217  2.899067E-15
3990.217  2.884325E-15
3991.217  2.871692E-15
3992.217  2.874541E-15
3993.217  2.869287E-15
3994.217  2.809573E-15
3995.217  2.750458E-15
3996.217  2.695050E-15
3997.217  2.634324E-15
3998.217  2.543174E-15
3999.217  2.459438E-15
4000.217  2.415085E-15
4001.217  2.387940E-15
4002.217  2.445983E-15
4003.217  2.484968E-15
4004.217  2.435765E-15
4005.217  2.408444E-15
4006.217  2.476050E-15
4007.217  2.518595E-15
4008.217  2.458963E-15
4009.217  2.397305E-15
4010.217  2.327865E-15
4011.217  2.267628E-15
4012.217  2.240749E-15
4013.217  2.238458E-15
4014.217  2.320437E-15
4015.217  2.380469E-15
4016.217  2.369254E-15
4017.217  2.348515E-15
4018.217  2.298447E-15
4019.217  2.255120E-15
4020.217  2.231513E-15
4021.217  2.200925E-15
4022.217  2.150915E-15
4023.217  2.113633E-15
4024.217  2.110069E-15
4025.217  2.115414E-15
4026.217  2.143257E-15
4027.217  2.159830E-15
4028.217  2.149254E-15
4029.217  2.116743E-15
4030.217  2.033760E-15
4031.217  1.972662E-15
4032.217  1.959689E-15
4033.217  1.981537E-15
4034.217  2.076627E-15
4035.217  2.132335E-15
4036.217  2.108756E-15
4037.217  2.052099E-15
4038.217  1.931657E-15
4039.217  1.837030E-15
4040.217  1.790109E-15
4041.217  1.789801E-15
4042.217  1.872083E-15
4043.217  1.921042E-15
4044.217  1.913362E-15
4045.217  1.903414E-15
4046.217  1.889767E-15
4047.217  1.903906E-15
4048.217  1.961562E-15
4049.217  1.976464E-15
4050.217  1.927050E-15
4051.217  1.905945E-15
4052.217  1.925756E-15
4053.217  1.937848E-15
4054.217  1.939220E-15
4055.217  1.936391E-15
4056.217  1.927952E-15
4057.217  1.929464E-15
4058.217  1.943749E-15
4059.217  1.960151E-15
4060.217  1.979169E-15
4061.217  2.014450E-15
4062.217  2.069046E-15
4063.217  2.071718E-15
4064.217  2.015073E-15
4065.217  1.983388E-15
4066.217  1.979135E-15
4067.217  1.989737E-15
4068.217  2.016046E-15
4069.217  2.024598E-15
4070.217  2.015082E-15
4071.217  2.027442E-15
4072.217  2.061217E-15
4073.217  2.075550E-15
4074.217  2.071569E-15
4075.217  2.084506E-15
4076.217  2.112773E-15
4077.217  2.106483E-15
4078.217  2.070061E-15
4079.217  2.077906E-15
4080.217  2.122881E-15
4081.217  2.175914E-15
4082.217  2.235447E-15
4083.217  2.234637E-15
4084.217  2.187012E-15
4085.217  2.170455E-15
4086.217  2.177072E-15
4087.217  2.205509E-15
4088.217  2.249592E-15
4089.217  2.301970E-15
4090.217  2.360066E-15
4091.217  2.378124E-15
4092.217  2.369677E-15
4093.217  2.346292E-15
4094.217  2.313409E-15
4095.217  2.313896E-15
4096.217  2.334754E-15
4097.217  2.360442E-15
4098.217  2.388958E-15
4099.217  2.430908E-15
4100.217  2.480407E-15
4101.217  2.503577E-15
4102.217  2.512562E-15
4103.217  2.511456E-15
4104.217  2.505140E-15
4105.217  2.522582E-15
4106.217  2.551773E-15
4107.217  2.564582E-15
4108.217  2.569637E-15
4109.217  2.580224E-15
4110.217  2.593312E-15
4111.217  2.597573E-15
4112.217  2.598014E-15
4113.217  2.548324E-15
4114.217  2.477924E-15
4115.217  2.511869E-15
4116.217  2.586937E-15
4117.217  2.618086E-15
4118.217  2.632737E-15
4119.217  2.674773E-15
4120.217  2.726605E-15
4121.217  2.736915E-15
4122.217  2.733104E-15
4123.217  2.737587E-15
4124.217  2.744748E-15
4125.217  2.775488E-15
4126.217  2.813453E-15
4127.217  2.827869E-15
4128.217  2.835453E-15
4129.217  2.795158E-15
4130.217  2.741730E-15
4131.217  2.666111E-15
4132.217  2.584747E-15
4133.217  2.567018E-15
4134.217  2.564800E-15
4135.217  2.553342E-15
4136.217  2.539768E-15
4137.217  2.547961E-15
4138.217  2.560826E-15
4139.217  2.540689E-15
4140.217  2.513932E-15
4141.217  2.573309E-15
4142.217  2.648781E-15
4143.217  2.684462E-15
4144.217  2.713242E-15
4145.217  2.715376E-15
4146.217  2.713238E-15
4147.217  2.736859E-15
4148.217  2.764280E-15
4149.217  2.749373E-15
4150.217  2.728754E-15
4151.217  2.693153E-15
4152.217  2.655715E-15
4153.217  2.732793E-15
4154.217  2.822542E-15
4155.217  2.776238E-15
4156.217  2.716480E-15
4157.217  2.653560E-15
4158.217  2.590365E-15
4159.217  2.602843E-15
4160.217  2.621080E-15
4161.217  2.639792E-15
4162.217  2.658535E-15
4163.217  2.643712E-15
4164.217  2.627068E-15
4165.217  2.711544E-15
4166.217  2.800431E-15
4167.217  2.755214E-15
4168.217  2.705539E-15
4169.217  2.709273E-15
4170.217  2.714237E-15
4171.217  2.752289E-15
4172.217  2.790773E-15
4173.217  2.772510E-15
4174.217  2.753668E-15
4175.217  2.673421E-15
4176.217  2.594571E-15
4177.217  2.601657E-15
4178.217  2.609313E-15
4179.217  2.638629E-15
4180.217  2.666919E-15
4181.217  2.667156E-15
4182.217  2.665398E-15
4183.217  2.621215E-15
4184.217  2.581028E-15
4185.217  2.610105E-15
4186.217  2.634922E-15
4187.217  2.597633E-15
4188.217  2.561906E-15
4189.217  2.545780E-15
4190.217  2.526924E-15
4191.217  2.478098E-15
4192.217  2.444582E-15
4193.217  2.560224E-15
4194.217  2.657909E-15
4195.217  2.598758E-15
4196.217  2.535534E-15
4197.217  2.440144E-15
4198.217  2.358407E-15
4199.217  2.374922E-15
4200.217  2.384971E-15
4201.217  2.352361E-15
4202.217  2.320898E-15
4203.217  2.296407E-15
4204.217  2.265384E-15
4205.217  2.197611E-15
4206.217  2.133057E-15
4207.217  2.085339E-15
4208.217  2.039290E-15
4209.217  2.001386E-15
4210.217  1.970454E-15
4211.217  1.971324E-15
4212.217  1.963947E-15
4213.217  1.921286E-15
4214.217  1.888125E-15
4215.217  1.893178E-15
4216.217  1.910857E-15
4217.217  1.976395E-15
4218.217  2.050775E-15
4219.217  2.156802E-15
4220.217  2.254358E-15
4221.217  2.323228E-15
4222.217  2.381563E-15
4223.217  2.406099E-15
4224.217  2.430060E-15
4225.217  2.452271E-15
4226.217  2.480280E-15
4227.217  2.525060E-15
4228.217  2.552360E-15
4229.217  2.531556E-15
4230.217  2.521435E-15
4231.217  2.539309E-15
4232.217  2.563229E-15
4233.217  2.602257E-15
4234.217  2.625617E-15
4235.217  2.611615E-15
4236.217  2.612202E-15
4237.217  2.646017E-15
4238.217  2.652745E-15
4239.217  2.600490E-15
4240.217  2.564247E-15
4241.217  2.561354E-15
4242.217  2.545390E-15
4243.217  2.503361E-15
4244.217  2.502082E-15
4245.217  2.578642E-15
4246.217  2.636103E-15
4247.217  2.658596E-15
4248.217  2.672028E-15
4249.217  2.669554E-15
4250.217  2.632961E-15
4251.217  2.538898E-15
4252.217  2.492350E-15
4253.217  2.522616E-15
4254.217  2.543340E-15
4255.217  2.549251E-15
4256.217  2.537151E-15
4257.217  2.498198E-15
4258.217  2.507588E-15
4259.217  2.586237E-15
4260.217  2.603279E-15
4261.217  2.535493E-15
4262.217  2.496306E-15
4263.217  2.494976E-15
4264.217  2.482621E-15
4265.217  2.456232E-15
4266.217  2.435493E-15
4267.217  2.421669E-15
4268.217  2.402025E-15
4269.217  2.375528E-15
4270.217  2.378029E-15
4271.217  2.413376E-15
4272.217  2.431049E-15
4273.217  2.429460E-15
4274.217  2.443749E-15
4275.217  2.474685E-15
4276.217  2.486822E-15
4277.217  2.479995E-15
4278.217  2.441723E-15
4279.217  2.372927E-15
4280.217  2.357308E-15
4281.217  2.391355E-15
4282.217  2.397329E-15
4283.217  2.378076E-15
4284.217  2.344501E-15
4285.217  2.298544E-15
4286.217  2.263522E-15
4287.217  2.237593E-15
4288.217  2.242046E-15
4289.217  2.270799E-15
4290.217  2.301342E-15
4291.217  2.333261E-15
4292.217  2.316241E-15
4293.217  2.263033E-15
4294.217  2.243100E-15
4295.217  2.246819E-15
4296.217  2.241730E-15
4297.217  2.230625E-15
4298.217  2.220421E-15
4299.217  2.210808E-15
4300.217  2.191106E-15
4301.217  2.165045E-15
4302.217  2.162282E-15
4303.217  2.173614E-15
4304.217  2.166070E-15
4305.217  2.147569E-15
4306.217  2.133753E-15
4307.217  2.122546E-15
4308.217  2.092334E-15
4309.217  2.051976E-15
4310.217  2.047862E-15
4311.217  2.062285E-15
4312.217  2.091403E-15
4313.217  2.127717E-15
4314.217  2.111636E-15
4315.217  2.070998E-15
4316.217  2.005759E-15
4317.217  1.929494E-15
4318.217  1.935391E-15
4319.217  1.976476E-15
4320.217  1.951828E-15
4321.217  1.900304E-15
4322.217  1.864508E-15
4323.217  1.834846E-15
4324.217  1.817377E-15
4325.217  1.804440E-15
4326.217  1.793786E-15
4327.217  1.783939E-15
4328.217  1.765771E-15
4329.217  1.744804E-15
4330.217  1.707403E-15
4331.217  1.664754E-15
4332.217  1.623841E-15
4333.217  1.583453E-15
4334.217  1.582348E-15
4335.217  1.592502E-15
4336.217  1.589704E-15
4337.217  1.583399E-15
4338.217  1.550309E-15
4339.217  1.510376E-15
4340.217  1.504846E-15
4341.217  1.507590E-15
4342.217  1.519363E-15
4343.217  1.533175E-15
4344.217  1.501929E-15
4345.217  1.461153E-15
4346.217  1.441056E-15
4347.217  1.425043E-15
4348.217  1.427394E-15
4349.217  1.433121E-15
4350.217  1.444237E-15
4351.217  1.456273E-15
4352.217  1.431345E-15
4353.217  1.400597E-15
4354.217  1.353879E-15
4355.217  1.304850E-15
4356.217  1.339413E-15
4357.217  1.385027E-15
4358.217  1.399331E-15
4359.217  1.409879E-15
4360.217  1.383919E-15
4361.217  1.354014E-15
4362.217  1.356316E-15
4363.217  1.361720E-15
4364.217  1.383425E-15
4365.217  1.406513E-15
4366.217  1.388250E-15
4367.217  1.366940E-15
4368.217  1.411261E-15
4369.217  1.459693E-15
4370.217  1.458616E-15
4371.217  1.454970E-15
4372.217  1.442665E-15
4373.217  1.430001E-15
4374.217  1.464299E-15
4375.217  1.500051E-15
4376.217  1.473280E-15
4377.217  1.445205E-15
4378.217  1.463064E-15
4379.217  1.481423E-15
4380.217  1.484751E-15
4381.217  1.487988E-15
4382.217  1.482635E-15
4383.217  1.477756E-15
4384.217  1.498536E-15
4385.217  1.519394E-15
4386.217  1.542945E-15
4387.217  1.564780E-15
4388.217  1.542455E-15
4389.217  1.521571E-15
4390.217  1.529854E-15
4391.217  1.538733E-15
4392.217  1.557517E-15
4393.217  1.575047E-15
4394.217  1.574907E-15
4395.217  1.576477E-15
4396.217  1.598848E-15
4397.217  1.620151E-15
4398.217  1.630044E-15
4399.217  1.634305E-15
4400.217  1.585041E-15
4401.217  1.545788E-15
4402.217  1.591997E-15
4403.217  1.638161E-15
4404.217  1.683970E-15
4405.217  1.721525E-15
4406.217  1.700835E-15
4407.217  1.686849E-15
4408.217  1.716285E-15
4409.217  1.734974E-15
