# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22A20b
# OBJECT = 2022jrq
# RA = 13:45:29.924
# DEC = 25:38:0.14
# DATE-OBS = 2022-05-18T23:21:16.165
# MJD-OBS = 59717.973104
# EXPTIME-OBS = 1800.0s
# AIRMASS-OBS = 1.002285
# SEEING-OBS = 0.770939
# wl fl
# [A] [Normalised]
7074.400000 0.69531
7083.600000 0.67449
7092.800000 0.685067
7102.000000 0.649856
7111.200000 0.758053
7120.400000 0.659161
7129.600000 0.656457
7138.800000 0.706488
7148.000000 0.624463
7157.200000 0.651703
7166.400000 0.567306
7175.600000 0.635998
7184.800000 0.591557
7194.000000 0.674656
7203.200000 0.544784
7212.400000 0.695769
7221.600000 0.645522
7230.800000 0.583322
7240.000000 0.716152
7249.200000 0.686273
7258.400000 0.656385
7267.600000 0.623168
7276.800000 0.659267
7286.000000 0.546028
7295.200000 0.617779
7304.400000 0.667831
7313.600000 0.636283
7322.800000 0.536886
7332.000000 0.460901
7341.200000 0.670304
7350.400000 0.640414
7359.600000 0.596094
7368.800000 0.541973
7378.000000 0.543494
7387.200000 0.611032
7396.400000 0.654763
7405.600000 0.60635
7414.800000 0.569403
7424.000000 0.630367
7433.200000 0.588253
7442.400000 0.655709
7451.600000 0.659258
7460.800000 0.590398
7470.000000 0.645292
7479.200000 0.693898
7488.400000 0.6109
7497.600000 0.621614
7506.800000 0.582361
7516.000000 0.609932
7525.200000 0.591322
7534.400000 0.686169
7543.600000 0.636532
7552.800000 0.581608
7562.000000 0.6004
7571.200000 0.46295
7580.400000 0.517648
7589.600000 0.538974
7598.800000 0.28724
7608.000000 0.291728
7617.200000 0.305399
7626.400000 0.351796
7635.600000 0.253377
7644.800000 0.527338
7654.000000 0.542451
7663.200000 0.428417
7672.400000 0.466736
7681.600000 0.674551
7690.800000 0.499878
7700.000000 0.538568
7709.200000 0.549436
7718.400000 0.568545
7727.600000 0.591015
7736.800000 0.434199
7746.000000 0.402266
7755.200000 0.488348
7764.400000 0.611037
7773.600000 0.465649
7782.800000 0.547747
7792.000000 0.456865
7801.200000 0.687368
7810.400000 0.500282
7819.600000 0.551982
7828.800000 0.315157
7838.000000 0.698837
7847.200000 0.517005
7856.400000 0.374933
7865.600000 0.443962
7874.800000 0.634524
7884.000000 0.415145
7893.200000 0.465044
7902.400000 0.687957
7911.600000 0.610973
7920.800000 0.688336
7930.000000 0.465622
7939.200000 0.6141
7948.400000 0.539311
7957.600000 0.203489
7966.800000 0.919163
7976.000000 0.641441
7985.200000 0.831475
7994.400000 0.393321
