BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2008FU          '  /                                              
FILENAME= 'SN08FU_B01_DUP_WF_20OCT08'  /
4459.98601007274  6.216446E-17
4463.02742025741  6.016312E-17
4466.06883044207  7.529993E-17
4469.11024062674  6.742564E-17
4472.15165081141  3.632796E-17
4475.19306099608  4.467825E-17
4478.23447118074  4.939772E-17
4481.27588136541  5.368208E-17
4484.31729155008  5.394178E-17
4487.35870173474  5.154516E-17
4490.40011191941  4.858067E-17
4493.44152210408  5.644179E-17
4496.48293228874  5.958142E-17
4499.52434247341  5.666152E-17
4502.56575265808  5.701897E-17
4505.60716284275  6.114624E-17
4508.64857302741  7.217513E-17
4511.68998321208  5.851986E-17
4514.73139339675  5.976744E-17
4517.77280358141  7.417126E-17
4520.81421376608  6.476610E-17
4523.85562395075  5.811510E-17
4526.89703413541  4.167020E-17
4529.93844432008  5.668354E-17
4532.97985450475  5.620021E-17
4536.02126468941  6.262606E-17
4539.06267487408  6.771295E-17
4542.10408505875  4.748267E-17
4545.14549524342  6.329832E-17
4548.18690542808  5.708530E-17
4551.22831561275  7.011662E-17
4554.26972579742  5.615950E-17
4557.31113598208  6.515059E-17
4560.35254616675  5.841352E-17
4563.39395635142  4.981349E-17
4566.43536653609  6.000503E-17
4569.47677672075  7.166471E-17
4572.51818690542  6.904253E-17
4575.55959709009  6.788149E-17
4578.60100727475  6.632288E-17
4581.64241745942  6.125631E-17
4584.68382764409  5.371007E-17
4587.72523782875  5.990506E-17
4590.76664801342  6.628288E-17
4593.80805819809  5.809547E-17
4596.84946838276  5.872011E-17
4599.89087856742  4.597531E-17
4602.93228875209  3.851193E-17
4605.97369893676  5.561273E-17
4609.01510912142  6.024624E-17
4612.05651930609  3.796626E-17
4615.09792949076  4.127125E-17
4618.13933967543  5.319945E-17
4621.18074986009  4.540212E-17
4624.22216004476  4.018222E-17
4627.26357022943  4.510973E-17
4630.30498041409  4.548487E-17
4633.34639059876  4.801795E-17
4636.38780078343  2.605135E-17
4639.42921096809  4.595054E-17
4642.47062115276  5.267523E-17
4645.51203133743  4.668674E-17
4648.5534415221  5.100205E-17
4651.59485170676  6.020213E-17
4654.63626189143  5.187237E-17
4657.6776720761  4.989735E-17
4660.71908226076  5.032765E-17
4663.76049244543  4.585038E-17
4666.8019026301  5.231389E-17
4669.84331281476  5.513103E-17
4672.88472299943  5.048381E-17
4675.9261331841  5.185283E-17
4678.96754336876  5.661883E-17
4682.00895355343  6.666291E-17
4685.0503637381  5.152839E-17
4688.09177392277  5.273062E-17
4691.13318410743  4.700526E-17
4694.1745942921  4.385566E-17
4697.21600447677  4.779497E-17
4700.25741466143  5.089230E-17
4703.2988248461  6.106120E-17
4706.34023503077  4.759659E-17
4709.38164521543  6.719917E-17
4712.4230554001  5.919340E-17
4715.46446558477  7.044470E-17
4718.50587576944  7.758850E-17
4721.5472859541  6.186324E-17
4724.58869613877  5.896894E-17
4727.63010632344  6.310448E-17
4730.6715165081  6.915251E-17
4733.71292669277  6.457062E-17
4736.75433687744  6.548739E-17
4739.7957470621  6.254236E-17
4742.83715724677  6.691150E-17
4745.87856743144  8.181454E-17
4748.91997761611  7.157982E-17
4751.96138780077  6.855673E-17
4755.00279798544  8.267611E-17
4758.04420817011  8.497705E-17
4761.08561835477  8.142529E-17
4764.12702853944  5.944841E-17
