# wavelength flux fluxerr
# GROUPS UCSC,YSE
# SNID ztf24abcnhxx
# OBS_GROUP UCSC
# RA 321.33487499999995
# OBS_DATE 2024-09-02 08:30:06.86
# DEC 15.587611111111112
# INSTRUMENT KAST
# OBSERVER MIKE RICH K-RYAN HINDS JACOB WISE
# REDUCER K-RYAN HINDS
3.624362166309299027e+03 7.164375422351115796e-02 3.837390439314432994e-02
3.626892693625844913e+03 1.122954419415217453e-01 3.450694170410808365e-02
3.629423220942390799e+03 1.586910117134797404e-01 3.799334746408993685e-02
3.631953748258936685e+03 1.098624736803629764e-01 3.999539343388879009e-02
3.634484275575482570e+03 1.579354048805915178e-01 4.072293511294951956e-02
3.637014802892028456e+03 2.123743745359487067e-01 3.912596234735014888e-02
3.639545330208574342e+03 1.902685250694854113e-01 3.937599030135698064e-02
3.642075857525120227e+03 1.041383260689356938e-01 3.763795534544761567e-02
3.644606384841666113e+03 1.988780395308618609e-01 3.813496004290224672e-02
3.647136912158211999e+03 1.707873244684801894e-01 4.014634783317683198e-02
3.649667439474757884e+03 1.887467290129901665e-01 4.816172788891724676e-02
3.652197966791303770e+03 8.996798688993469517e-02 4.142630281861013619e-02
3.654728494107849656e+03 8.358720197377397798e-02 4.086487547431964101e-02
3.657259021424395542e+03 1.741037890651030984e-01 3.756313086330357459e-02
3.659789548740941427e+03 9.706822071853396516e-02 3.705081696271680936e-02
3.662320076057487313e+03 7.383131738618747830e-02 3.883621946402138203e-02
3.664850603374033199e+03 1.271951522434105752e-01 3.473070967916631197e-02
3.667381130690579084e+03 2.787060174687478950e-02 3.383723492874817634e-02
3.669911658007124970e+03 8.501851064240413536e-02 3.278175704027268961e-02
3.672442185323670856e+03 1.971129190241260321e-01 3.346459036060436126e-02
3.674972712640216741e+03 1.941287663465995350e-01 3.142486882857246921e-02
3.677503239956762627e+03 5.419570039823320279e-02 3.091624224550864469e-02
3.680033767273308513e+03 1.412710906845399128e-01 2.907855837867228191e-02
3.682564294589854399e+03 1.964538295861033013e-01 3.131115883318746906e-02
3.685094821906400284e+03 1.688424695369504791e-01 2.753398453621947253e-02
3.687625349222946170e+03 1.420244863808460545e-01 2.996194061128970576e-02
3.690155876539492056e+03 1.190140012398230029e-01 2.901917634212059643e-02
3.692686403856037941e+03 1.839450783362498731e-01 3.048804451373763810e-02
3.695216931172583827e+03 1.305522116220744211e-01 2.780718550369371683e-02
3.697747458489129713e+03 1.529752231475701996e-01 3.228570181223145569e-02
3.700277985805675598e+03 1.094111329405114269e-01 3.288751896748930842e-02
3.702808513122221484e+03 1.863590404585802052e-01 3.469154410506147812e-02
3.705339040438767370e+03 2.083905735343183074e-01 3.270808069568950649e-02
3.707869567755313255e+03 6.623282523910160868e-02 3.033003029713661827e-02
3.710400095071859141e+03 8.102169573374098932e-02 2.929301006237560942e-02
3.712930622388405027e+03 1.506542220852274405e-01 2.954137336613245346e-02
3.715461149704950913e+03 6.205224064504631654e-02 2.787417963532285228e-02
3.717991677021496798e+03 1.784517832720351194e-01 2.848335026211079937e-02
3.720522204338042684e+03 2.003431497312193332e-01 2.718332262110144740e-02
3.723052731654588570e+03 2.271309099994626990e-01 2.841103357390595274e-02
3.725583258971134455e+03 2.018637793069922304e-01 2.878012820941663538e-02
3.728113786287680341e+03 1.529580461517930090e-01 2.905639923357510382e-02
3.730644313604226227e+03 1.205547617225896234e-01 3.049186962691392833e-02
3.733174840920772112e+03 1.901135677788981238e-01 3.111913860112626440e-02
3.735705368237317998e+03 1.995622703751717131e-01 3.149510643789739384e-02
3.738235895553863884e+03 1.738058956376105635e-01 3.171243543946389992e-02
3.740766422870409770e+03 1.797976831450243118e-01 3.143228250929072654e-02
3.743296950186955655e+03 1.781050876634779068e-01 3.092934776691684540e-02
3.745827477503501541e+03 1.374564492840753271e-01 2.792929571119026969e-02
3.748358004820047427e+03 1.121603779647992877e-01 2.640567046588412556e-02
3.750888532136593312e+03 1.726351778396375825e-01 2.819080020421852600e-02
3.753419059453139198e+03 1.592105847226744086e-01 2.747723932588580151e-02
3.755949586769685084e+03 1.219874127622560117e-01 2.587157844401500109e-02
3.758480114086230969e+03 1.553152816903036193e-01 2.394549618546755118e-02
3.761010641402776855e+03 1.150349992583246383e-01 2.384715454903180501e-02
3.763541168719322741e+03 1.412022642224415037e-01 2.586034885636200736e-02
3.766071696035868626e+03 1.853251817633096710e-01 2.315601160625492191e-02
3.768602223352414512e+03 1.372295275032805184e-01 2.357646217287210147e-02
3.771132750668960398e+03 2.062122276540853394e-01 2.530153023160858911e-02
3.773663277985506284e+03 1.224666697286658779e-01 2.475267783943944228e-02
3.776193805302052169e+03 1.495623920052203959e-01 2.532601227011634787e-02
3.778724332618598055e+03 1.704684569473685629e-01 2.310416499548312297e-02
3.781254859935143941e+03 1.288699398059674761e-01 2.480579460555237120e-02
3.783785387251689826e+03 1.492928904630529408e-01 2.419719429499693833e-02
3.786315914568235712e+03 1.194673130914074705e-01 2.250711006383509030e-02
3.788846441884781598e+03 1.677427674272778391e-01 2.380147089143999639e-02
3.791376969201327483e+03 9.286131660302768265e-02 2.428524447534390757e-02
3.793907496517873369e+03 1.227759981952262353e-01 2.369208577871797713e-02
3.796438023834419255e+03 1.324284648288033828e-01 2.278272832704456713e-02
3.798968551150965141e+03 1.561615855287837029e-01 2.338167685713756286e-02
3.801499078467511026e+03 1.221162318277057846e-01 2.310606703580132121e-02
3.804029605784056912e+03 1.756866957562321918e-01 2.202582007616193938e-02
3.806560133100602798e+03 1.183532042560852676e-01 2.143567865300693639e-02
3.809090660417148683e+03 1.340182316399996520e-01 2.218748318456052748e-02
3.811621187733694569e+03 1.364490359855823620e-01 2.260610651787254774e-02
3.814151715050240455e+03 1.242541507906506776e-01 2.347429385778662669e-02
3.816682242366786340e+03 2.089420751859287495e-01 2.364178816775043546e-02
3.819212769683332226e+03 1.440129729010202475e-01 2.448877860483859165e-02
3.821743296999878112e+03 1.738935185517025972e-01 2.272036230278751817e-02
3.824273824316423998e+03 1.674775958100355455e-01 2.285466976133279648e-02
3.826804351632969883e+03 1.335352389514916360e-01 2.423250764404383251e-02
3.829334878949515769e+03 2.238259706354238654e-01 2.736996295073252858e-02
3.831865406266061655e+03 1.994350212294720426e-01 2.528447881146279191e-02
3.834395933582607540e+03 1.401437190887379336e-01 2.427277777522883484e-02
3.836926460899153426e+03 2.214472775385769587e-01 2.417233020706430549e-02
3.839456988215699312e+03 1.640935874396021177e-01 2.248777534436827499e-02
3.841987515532245197e+03 1.796766465099475241e-01 2.310285269157217464e-02
3.844518042848791083e+03 1.234174610664885430e-01 2.229405019997367579e-02
3.847048570165336969e+03 1.405846403933770639e-01 2.119510809332987578e-02
3.849579097481882854e+03 1.789038625629768009e-01 2.102977647724124308e-02
3.852109624798428740e+03 1.667251550751503997e-01 2.088551101135967605e-02
3.854640152114974626e+03 1.299194405295323596e-01 1.955192397487604331e-02
3.857170679431520512e+03 1.451392175103477233e-01 2.013786435575405306e-02
3.859701206748066397e+03 1.138152203214727320e-01 1.932275991893844802e-02
3.862231734064612283e+03 1.489630072158601160e-01 2.054814763086327406e-02
3.864762261381158169e+03 1.119023664609295338e-01 1.996899610158417437e-02
3.867292788697704054e+03 9.458397744057910062e-02 1.805669828036063351e-02
3.869823316014249940e+03 1.418901039633867212e-01 1.841725618914423837e-02
3.872353843330795826e+03 1.864155789314060341e-01 1.904394821207605615e-02
3.874884370647341711e+03 1.710077381128560781e-01 2.015251329111331091e-02
3.877414897963887597e+03 1.245360938108720228e-01 1.843723907697304015e-02
3.879945425280433483e+03 1.903952710830960071e-01 1.910870916599856362e-02
3.882475952596979369e+03 1.814357445793891577e-01 1.797352701562456717e-02
3.885006479913525254e+03 1.400871812248054571e-01 1.740875660001973968e-02
3.887537007230071140e+03 1.929107439654710321e-01 1.779422098362515303e-02
3.890067534546617026e+03 1.377312898092004911e-01 1.768739502228018623e-02
3.892598061863162911e+03 1.788608136937322179e-01 1.872099565269261245e-02
3.895128589179708797e+03 1.935637139410868179e-01 1.842704900908814433e-02
3.897659116496254683e+03 1.324662981730810318e-01 1.792138211739722695e-02
3.900189643812800568e+03 1.207098321350262848e-01 1.835547171375020298e-02
3.902720171129346454e+03 1.292227471722461607e-01 1.964545577497349080e-02
3.905250698445892340e+03 1.448131247838346514e-01 2.079121165368869040e-02
3.907781225762438226e+03 1.016294140542340768e-01 2.237462319507286732e-02
3.910311753078984111e+03 1.459102396494605103e-01 2.177723327258440644e-02
3.912842280395529997e+03 1.279377950943284270e-01 2.073253155503343437e-02
3.915372807712075883e+03 1.303115896053691769e-01 1.945445434699867235e-02
3.917903335028621768e+03 1.489757315797802517e-01 1.860206910048475132e-02
3.920433862345167654e+03 1.112239452615274155e-01 1.731083494043184068e-02
3.922964389661713540e+03 7.985487993027003129e-02 1.737166741542638462e-02
3.925494916978259425e+03 1.323595679215509857e-01 1.668765945757301819e-02
3.928025444294805311e+03 1.725369646072981711e-01 1.726324171424824597e-02
3.930555971611351197e+03 1.120375768610585160e-01 1.624432781661526090e-02
3.933086498927897082e+03 1.275057397369859791e-01 1.665540242293176917e-02
3.935617026244442968e+03 1.270032626118374475e-01 1.692903756089921344e-02
3.938147553560988854e+03 1.568913140563716058e-01 1.695136714749771040e-02
3.940678080877534740e+03 1.142220553576656777e-01 1.792965168140117291e-02
3.943208608194080625e+03 7.346301437507549159e-02 1.780348769479354540e-02
3.945739135510626511e+03 1.184919137997586247e-01 1.854449769898866215e-02
3.948269662827172397e+03 1.107847815067688479e-01 1.738154692170023816e-02
3.950800190143718282e+03 1.699040390863267580e-01 1.780621489523313491e-02
3.953330717460264168e+03 1.595609701050497986e-01 1.740810387146920005e-02
3.955861244776810054e+03 3.078896366478929211e-02 1.564238172609886540e-02
3.958391772093355939e+03 6.906792522186912253e-02 1.608325270623337661e-02
3.960922299409901825e+03 1.457403123050891036e-01 1.769047528283216458e-02
3.963452826726447711e+03 1.642363527535369294e-01 1.709878719893666993e-02
3.965983354042993597e+03 1.536112534796344187e-01 1.561805016605128521e-02
3.968513881359539482e+03 1.306548387342771067e-01 1.513873313097235072e-02
3.971044408676085368e+03 1.362547332245996057e-01 1.552027528433898990e-02
3.973574935992631254e+03 1.005008564907456797e-01 1.566233276522354181e-02
3.976105463309177139e+03 1.360546743283120030e-01 1.690142392637035765e-02
3.978635990625723025e+03 1.084269634371087532e-01 1.617161100108230679e-02
3.981166517942268911e+03 9.068889215151594574e-02 1.626573750624898257e-02
3.983697045258814796e+03 1.265465443538200674e-01 1.615154628801233547e-02
3.986227572575360682e+03 9.355459293088962125e-02 1.591950165694360625e-02
3.988758099891906568e+03 7.299553224730466472e-02 1.596331834520030996e-02
3.991288627208452453e+03 1.018759674374209862e-01 1.605051099502066703e-02
3.993819154524998339e+03 1.592789224015707106e-01 1.643364180908551270e-02
3.996349681841544225e+03 1.472234441382322956e-01 1.637932433329929161e-02
3.998880209158090111e+03 1.219660223755574951e-01 1.630862844333844791e-02
4.001410736474635996e+03 9.504456523333885964e-02 1.544002339360590198e-02
4.003941263791181882e+03 1.381979936106700335e-01 1.608500688020944938e-02
4.006471791107727768e+03 9.918366277786874741e-02 1.708841930186523472e-02
4.009002318424273653e+03 1.162323490144272775e-01 1.686764005488023549e-02
4.011532845740819539e+03 8.934130330484083005e-02 1.679056598178640253e-02
4.014063373057365425e+03 7.287282530727039187e-02 1.669635151568430939e-02
4.016593900373911310e+03 1.487495597726697927e-01 1.663573269412969152e-02
4.019124427690457196e+03 1.420597095294864887e-01 1.787393358360174489e-02
4.021654955007003082e+03 1.574998072820020523e-01 1.796879036455449608e-02
4.024185482323548968e+03 1.192889074878445282e-01 1.680040990496716943e-02
4.026716009640094853e+03 1.322776964765134955e-01 1.679460573711275342e-02
4.029246536956640739e+03 1.115284958664466558e-01 1.619280566347877995e-02
4.031777064273186625e+03 1.473095440856817262e-01 1.608716079221650386e-02
4.034307591589732510e+03 1.334206438319234245e-01 1.555895271327787516e-02
4.036838118906278396e+03 1.327129144503761682e-01 1.585913911318359223e-02
4.039368646222824282e+03 1.438211808837539518e-01 1.634248660667499825e-02
4.041899173539370167e+03 1.253496843556869411e-01 1.725946746579517382e-02
4.044429700855916053e+03 1.830072466756753058e-01 2.462517791727195093e-02
4.046960228172461939e+03 1.607699057479721194e-01 2.747037330937530594e-02
4.049490755489007825e+03 1.283594380552791903e-01 1.904895742705177419e-02
4.052021282805553710e+03 1.777650942441302562e-01 1.724981110355403371e-02
4.054551810122099596e+03 1.406937146712452513e-01 1.651312035138953818e-02
4.057082337438645482e+03 1.688481700541024089e-01 1.622758346164468457e-02
4.059612864755191367e+03 1.343411559185760384e-01 1.609422655898374091e-02
4.062143392071737253e+03 1.440419129915710139e-01 1.585520709422943986e-02
4.064673919388283139e+03 1.050724719753975966e-01 1.628129970747204183e-02
4.067204446704829024e+03 1.290595367383338132e-01 1.624551781290979949e-02
4.069734974021374910e+03 1.304575555430210199e-01 1.562774737506446646e-02
4.072265501337920796e+03 1.142877923366527881e-01 1.535052179890281608e-02
4.074796028654466681e+03 9.559662100454022204e-02 1.569236731200258222e-02
4.077326555971012567e+03 1.302753811025033626e-01 1.697141002056678019e-02
4.079857083287558453e+03 1.508011727199186636e-01 1.634943465038835378e-02
4.082387610604104339e+03 1.435462859574154204e-01 1.579171191897981233e-02
4.084918137920650224e+03 1.423799398512866077e-01 1.558026884334040400e-02
4.087448665237196110e+03 1.695558914490826186e-01 1.606783357318958619e-02
4.089979192553741996e+03 1.638052204781267340e-01 1.534033113305368831e-02
4.092509719870287881e+03 1.445671672629034177e-01 1.481642815872561900e-02
4.095040247186833767e+03 1.802023394985819427e-01 1.510133048371144898e-02
4.097570774503379653e+03 1.940027645381908472e-01 1.518326437100657456e-02
4.100101301819925538e+03 1.899766236004671871e-01 1.472871011717035751e-02
4.102631829136471424e+03 1.605848949024248351e-01 1.421316218237156370e-02
4.105162356453017310e+03 1.448315867218570585e-01 1.430982458799498133e-02
4.107692883769563196e+03 2.071349618607400966e-01 1.516252067596151644e-02
4.110223411086109081e+03 1.670805752192674742e-01 1.440592784298085939e-02
4.112753938402654967e+03 1.806840044520467981e-01 1.449733591539914546e-02
4.115284465719200853e+03 1.842353752068018879e-01 1.495846610501180146e-02
4.117814993035746738e+03 1.908202865931869774e-01 1.442827111974232315e-02
4.120345520352292624e+03 2.029401988541507662e-01 1.468475778341155058e-02
4.122876047668838510e+03 1.948771498593922513e-01 1.524058652087863924e-02
4.125406574985384395e+03 1.785590980424078544e-01 1.536433187353372816e-02
4.127937102301930281e+03 1.817445582667584769e-01 1.527031368461979205e-02
4.130467629618476167e+03 1.849552519343113377e-01 1.491141121858167648e-02
4.132998156935022052e+03 1.905245835290845513e-01 1.502513608956715027e-02
4.135528684251567938e+03 1.931204481299463593e-01 1.519119480778476257e-02
4.138059211568113824e+03 2.130187393407719509e-01 1.533280964652787223e-02
4.140589738884659710e+03 2.155068262877691820e-01 1.522481910164908379e-02
4.143120266201205595e+03 2.240401924664388866e-01 1.482115299600147637e-02
4.145650793517751481e+03 2.414359883526206174e-01 1.509697665931327738e-02
4.148181320834297367e+03 2.112564609500068302e-01 1.482952150701708632e-02
4.150711848150843252e+03 1.914445048954321327e-01 1.486223739957090798e-02
4.153242375467389138e+03 2.050251217524117209e-01 1.548744188566154867e-02
4.155772902783935024e+03 2.459864375403207903e-01 1.574941496332998847e-02
4.158303430100480909e+03 2.096978798184368498e-01 1.543837732045060668e-02
4.160833957417026795e+03 2.285698618309763841e-01 1.561155239378827705e-02
4.163364484733572681e+03 2.048328368241981168e-01 1.601573763741259704e-02
4.165895012050118567e+03 2.387348632305880403e-01 1.634455221972693634e-02
4.168425539366664452e+03 2.401351333278406164e-01 1.611307666651611015e-02
4.170956066683210338e+03 2.012016632863895815e-01 1.574631894674224583e-02
4.173486593999756224e+03 1.867455246154210158e-01 1.531239839975415302e-02
4.176017121316302109e+03 1.747357105672776856e-01 1.491062387302091730e-02
4.178547648632847995e+03 1.903642263604241602e-01 1.533036454850181599e-02
4.181078175949393881e+03 1.872390760396919207e-01 1.481008489718150037e-02
4.183608703265939766e+03 1.758084292363660261e-01 1.462369693877117217e-02
4.186139230582485652e+03 1.923766219707246650e-01 1.477668902847468699e-02
4.188669757899031538e+03 2.151749425111278147e-01 1.515476593702952575e-02
4.191200285215577424e+03 1.919633054967539165e-01 1.518427775440336566e-02
4.193730812532123309e+03 1.790579037493060244e-01 1.490758411182674728e-02
4.196261339848669195e+03 2.032561293075652864e-01 1.503428694743977161e-02
4.198791867165215081e+03 2.104757196067083280e-01 1.510162899262127052e-02
4.201322394481760966e+03 2.199993479785780637e-01 1.520788962935280993e-02
4.203852921798306852e+03 2.074548441645316377e-01 1.502064741139433335e-02
4.206383449114852738e+03 1.931278484144808016e-01 1.531573784091982970e-02
4.208913976431398623e+03 2.209670232809992363e-01 1.568001483754606282e-02
4.211444503747944509e+03 1.925385216403332211e-01 1.493030262243144092e-02
4.213975031064490395e+03 1.849435144097847650e-01 1.494671693499506106e-02
4.216505558381036280e+03 1.868928100426929806e-01 1.493468591250075687e-02
4.219036085697582166e+03 1.402975834831822755e-01 1.403568825144473238e-02
4.221566613014128052e+03 1.924422994134872000e-01 1.496329703105044040e-02
4.224097140330673938e+03 1.965987704501566402e-01 1.503987684618371054e-02
4.226627667647219823e+03 1.951888088290325562e-01 1.498776126291553705e-02
4.229158194963765709e+03 1.869511206454342322e-01 1.508745147415981903e-02
4.231688722280311595e+03 1.704654592999536311e-01 1.527541135131570485e-02
4.234219249596857480e+03 2.073222673190754373e-01 1.545761852998644471e-02
4.236749776913403366e+03 1.944623868689064894e-01 1.537954181289968685e-02
4.239280304229949252e+03 1.682640434736649426e-01 1.529075887891675339e-02
4.241810831546495137e+03 1.987066974398978003e-01 1.574006915058547354e-02
4.244341358863041023e+03 2.222830872994651097e-01 1.643076801371546464e-02
4.246871886179586909e+03 2.076795902696690344e-01 1.696389526324750333e-02
4.249402413496132795e+03 2.047983505731341691e-01 1.640167032349320458e-02
4.251932940812678680e+03 2.004958087779923348e-01 1.610625719806506664e-02
4.254463468129224566e+03 2.405196395856958880e-01 1.658623385196446656e-02
4.256993995445770452e+03 2.508847130206671161e-01 1.678712789569665118e-02
4.259524522762316337e+03 2.056971743710152012e-01 1.614037488716063909e-02
4.262055050078862223e+03 2.384106233902393845e-01 1.657253695915687081e-02
4.264585577395408109e+03 2.252031694742752943e-01 1.665847742734863357e-02
4.267116104711953994e+03 2.451074566960544654e-01 1.705700108385244107e-02
4.269646632028499880e+03 2.387934761384177540e-01 1.664922225263156669e-02
4.272177159345045766e+03 2.603813009132396883e-01 1.728381916968006055e-02
4.274707686661591652e+03 2.427105948053390472e-01 1.718736992384085893e-02
4.277238213978137537e+03 2.499766539773863872e-01 1.736339566939208712e-02
4.279768741294683423e+03 2.132280013033241162e-01 1.718192036295511024e-02
4.282299268611229309e+03 2.133544074830497628e-01 1.724427266223283600e-02
4.284829795927775194e+03 2.418843443771947488e-01 1.742414481459716308e-02
4.287360323244321080e+03 2.264413574984911470e-01 1.731153347001652965e-02
4.289890850560866966e+03 2.397915625600172407e-01 1.768770968663663581e-02
4.292421377877412851e+03 2.228556429177586118e-01 1.777948868856272374e-02
4.294951905193958737e+03 2.478256834680911680e-01 1.806788323979312272e-02
4.297482432510504623e+03 2.524950293804480439e-01 1.816349553035020298e-02
4.300012959827050508e+03 2.205409804646429606e-01 1.797320815506074990e-02
4.302543487143596394e+03 2.490448256049604681e-01 1.802279728151233093e-02
4.305074014460142280e+03 2.348630593849296844e-01 1.813775760316170896e-02
4.307604541776688166e+03 2.791599254186651335e-01 1.868006504427507930e-02
4.310135069093234051e+03 2.407511727972298510e-01 1.859316333347123609e-02
4.312665596409779937e+03 2.731232932051380069e-01 1.946576786012398780e-02
4.315196123726325823e+03 2.398003781272827761e-01 1.941101931635796571e-02
4.317726651042871708e+03 2.829000470317630800e-01 1.967532025933300607e-02
4.320257178359417594e+03 2.488656351708190828e-01 1.970955992931968867e-02
4.322787705675963480e+03 2.374127598765513603e-01 1.932367001179002841e-02
4.325318232992509365e+03 2.409047800272260398e-01 1.939194523639783257e-02
4.327848760309055251e+03 2.425084492598800490e-01 1.954382168836558964e-02
4.330379287625601137e+03 2.832816542154572570e-01 1.978752315682061683e-02
4.332909814942147023e+03 2.785889067027062516e-01 1.982605778385101991e-02
4.335440342258692908e+03 2.806771499896509869e-01 2.018752925253467639e-02
4.337970869575238794e+03 2.752482212801647399e-01 2.006847301136194944e-02
4.340501396891784680e+03 2.545385258122780936e-01 1.999005706740429947e-02
4.343031924208330565e+03 2.652308368577850350e-01 2.042217817916619146e-02
4.345562451524876451e+03 2.377546908585784213e-01 2.073782508026460886e-02
4.348092978841422337e+03 3.110376498896655906e-01 2.142259108436528336e-02
4.350623506157968222e+03 2.606661504874578927e-01 2.091862133078991465e-02
4.353154033474514108e+03 2.188283704016328601e-01 2.098307170890145040e-02
4.355684560791059994e+03 2.393113317066734025e-01 2.604309795862022603e-02
4.358215088107605879e+03 2.334601408849104609e-01 3.058688886491039982e-02
4.360745615424151765e+03 2.358522299074539141e-01 2.604154045761305006e-02
4.363276142740697651e+03 2.331034616005824844e-01 2.221719898207270144e-02
4.365806670057243537e+03 2.564020187557770059e-01 2.159511591706501921e-02
4.368337197373789422e+03 2.899396741521278464e-01 2.169683067770208224e-02
4.370867724690335308e+03 2.182553085785244873e-01 2.134668689702438546e-02
4.373398252006881194e+03 2.738871770009361772e-01 2.176040466607980645e-02
4.375928779323427079e+03 2.352278113446217012e-01 2.161271078987756639e-02
4.378459306639972965e+03 2.474209184805444273e-01 2.188392902489934982e-02
4.380989833956518851e+03 2.782429079076051970e-01 2.196369401685266398e-02
4.383520361273064736e+03 2.516763678423452055e-01 2.181200618427534335e-02
4.386050888589610622e+03 2.190684603045165435e-01 2.178615856855955699e-02
4.388581415906156508e+03 2.210096436086734784e-01 2.187965256390615384e-02
4.391111943222702394e+03 2.845780558463826826e-01 2.236154844697291894e-02
4.393642470539248279e+03 2.654508666214765999e-01 2.231694461972339241e-02
4.396172997855794165e+03 2.742689659091677168e-01 2.246265631554970194e-02
4.398703525172340051e+03 2.451462610642945184e-01 2.261315790200504536e-02
4.401234052488885936e+03 2.448283959565214496e-01 2.274141722262362775e-02
4.403764579805431822e+03 2.157569509910134686e-01 2.266394974428022693e-02
4.406295107121977708e+03 2.405280343732070503e-01 2.323076959183469764e-02
4.408825634438523593e+03 2.342080767476290570e-01 2.325543428516333583e-02
4.411356161755069479e+03 2.348258386005219744e-01 2.346093671479789269e-02
4.413886689071615365e+03 2.391173240885533235e-01 2.364962446779352370e-02
4.416417216388161251e+03 2.746208637865871216e-01 2.390076245414827355e-02
4.418947743704707136e+03 2.620952251546837530e-01 2.391757880950795556e-02
4.421478271021253022e+03 2.220377177158632254e-01 2.374454241003504454e-02
4.424008798337798908e+03 1.989686070860495759e-01 2.376973247909516460e-02
4.426539325654344793e+03 2.606174419022009303e-01 2.423921184042103494e-02
4.429069852970890679e+03 1.990296092279389695e-01 2.388607127098157229e-02
