# B-channel spectrum:  tLSQ12gdj_20121112_Gr11_Free_slit1.5_1_f.asci
# R-channel spectrum:  tLSQ12gdj_20121112_Gr16_OG530_slit1.5_1_f.asci
# Errors estimated from scatter of spectrum
4284.39731 1.401567e-15 2.870875e-17
4288.46419 1.371823e-15 3.060520e-17
4292.53106 1.327194e-15 3.231497e-17
4296.59794 1.303404e-15 3.374679e-17
4300.66482 1.282616e-15 3.482149e-17
4304.73170 1.237290e-15 3.547803e-17
4308.79858 1.255720e-15 3.567856e-17
4312.86546 1.253371e-15 3.541185e-17
4316.93234 1.230829e-15 3.469488e-17
4320.99922 1.240113e-15 3.357234e-17
4325.06609 1.261726e-15 3.211422e-17
4329.13297 1.257424e-15 3.041151e-17
4333.19985 1.297243e-15 2.857036e-17
4337.26673 1.281025e-15 2.670434e-17
4341.33361 1.305004e-15 2.492499e-17
4345.40049 1.298620e-15 2.333015e-17
4349.46737 1.300719e-15 2.199127e-17
4353.53425 1.306363e-15 2.094230e-17
4357.60113 1.317488e-15 2.017472e-17
4361.66800 1.301253e-15 1.964257e-17
4365.73488 1.297269e-15 1.927649e-17
4369.80176 1.274356e-15 1.900179e-17
4373.86864 1.267817e-15 1.875403e-17
4377.93552 1.281980e-15 1.848912e-17
4382.00240 1.278151e-15 1.818767e-17
4386.06928 1.303980e-15 1.785546e-17
4390.13616 1.311681e-15 1.752183e-17
4394.20303 1.323786e-15 1.723745e-17
4398.26991 1.328467e-15 1.707196e-17
4402.33679 1.334447e-15 1.711088e-17
4406.40367 1.321524e-15 1.745034e-17
4410.47055 1.361954e-15 1.818765e-17
4414.53743 1.351319e-15 1.940817e-17
4418.60431 1.364914e-15 2.117204e-17
4422.67119 1.407762e-15 2.350569e-17
4426.73806 1.405025e-15 2.640007e-17
4430.80494 1.413130e-15 2.981291e-17
4434.87182 1.423008e-15 3.367206e-17
4438.93870 1.457286e-15 3.787796e-17
4443.00558 1.478418e-15 4.230608e-17
4447.07246 1.456271e-15 4.681023e-17
4451.13934 1.494060e-15 5.122813e-17
4455.20622 1.492494e-15 5.538947e-17
4459.27310 1.485697e-15 5.912666e-17
4463.33997 1.517342e-15 6.228733e-17
4467.40685 1.492055e-15 6.474748e-17
4471.47373 1.539041e-15 6.642383e-17
4475.54061 1.277394e-15 6.728351e-17
4479.60749 1.433814e-15 6.734940e-17
4483.67437 1.488080e-15 6.669964e-17
4487.74125 1.454094e-15 6.546011e-17
4491.80813 1.409164e-15 6.378942e-17
4495.87500 1.378895e-15 6.185731e-17
4499.94188 1.327512e-15 5.981919e-17
4504.00876 1.313384e-15 5.779165e-17
4508.07564 1.257906e-15 5.583554e-17
4512.14252 1.223171e-15 5.395232e-17
4516.20940 1.188618e-15 5.209531e-17
4520.27628 1.199639e-15 5.019232e-17
4524.34316 1.183455e-15 4.817231e-17
4528.41003 1.206454e-15 4.598865e-17
4532.47691 1.209181e-15 4.363421e-17
4536.54379 1.216245e-15 4.114692e-17
4540.61067 1.258301e-15 3.860631e-17
4544.67755 1.258215e-15 3.612247e-17
4548.74443 1.275268e-15 3.381843e-17
4552.81131 1.260341e-15 3.180775e-17
4556.87819 1.298852e-15 3.017063e-17
4560.94507 1.277953e-15 2.893528e-17
4565.01194 1.287004e-15 2.807255e-17
4569.07882 1.301666e-15 2.750774e-17
4573.14570 1.310717e-15 2.714464e-17
4577.21258 1.310889e-15 2.689097e-17
4581.27946 1.320207e-15 2.667622e-17
4585.34634 1.271749e-15 2.645806e-17
4589.41322 1.257699e-15 2.621918e-17
4593.48010 1.252210e-15 2.595798e-17
4597.54697 1.252769e-15 2.567727e-17
4601.61385 1.214292e-15 2.537456e-17
4605.68073 1.225021e-15 2.503672e-17
4609.74761 1.204802e-15 2.464004e-17
4613.81449 1.191947e-15 2.415514e-17
4617.88137 1.207254e-15 2.355440e-17
4621.94825 1.192180e-15 2.281956e-17
4626.01513 1.207314e-15 2.194753e-17
4630.08200 1.222259e-15 2.095323e-17
4634.14888 1.237256e-15 1.986950e-17
4638.21576 1.238710e-15 1.874441e-17
4642.28264 1.256804e-15 1.763669e-17
