# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22B16
# OBJECT = 2022ytx
# RA = 23:0:46.56
# DEC = 13:37:5.60
# DATE-OBS = 2022-11-24T21:34:22.007
# MJD-OBS = 59907.898866
# EXPTIME-OBS = 2400.0s
# AIRMASS-OBS = 1.120673
# SEEING-OBS = 1.335052
# wl fl
# [A] [Normalised]
6964.000000 1.03627
6973.200000 0.964944
6982.400000 0.958341
6991.600000 0.93683
7000.800000 0.896338
7010.000000 0.996209
7019.200000 0.946192
7028.400000 0.887872
7037.600000 0.960019
7046.800000 0.986283
7056.000000 0.986937
7065.200000 0.89691
7074.400000 0.850254
7083.600000 0.905314
7092.800000 0.82908
7102.000000 0.865875
7111.200000 0.824717
7120.400000 0.994559
7129.600000 0.942375
7138.800000 0.947041
7148.000000 0.845671
7157.200000 0.901993
7166.400000 0.853628
7175.600000 0.920052
7184.800000 0.808485
7194.000000 0.748931
7203.200000 0.838045
7212.400000 0.911263
7221.600000 0.842826
7230.800000 0.896717
7240.000000 1.08953
7249.200000 0.921902
7258.400000 1.00417
7267.600000 0.863279
7276.800000 1.00609
7286.000000 0.954182
7295.200000 0.802483
7304.400000 0.824997
7313.600000 0.865142
7322.800000 0.811613
7332.000000 0.827113
7341.200000 0.898468
7350.400000 0.897471
7359.600000 0.869213
7368.800000 0.861157
7378.000000 0.786345
7387.200000 0.770254
7396.400000 0.757242
7405.600000 0.865641
7414.800000 1.19763
7424.000000 0.864645
7433.200000 0.82869
7442.400000 0.830918
7451.600000 0.949675
7460.800000 0.857003
7470.000000 0.944023
7479.200000 0.852003
7488.400000 0.795232
7497.600000 0.80262
7506.800000 0.921143
7516.000000 0.835379
7525.200000 0.736854
7534.400000 0.804367
7543.600000 0.871788
7552.800000 0.813164
7562.000000 0.79285
7571.200000 0.912006
7580.400000 0.840741
7589.600000 0.763666
7598.800000 0.518571
7608.000000 0.522879
7617.200000 0.21401
7626.400000 0.155837
7635.600000 0.495108
7644.800000 0.60397
7654.000000 0.691029
7663.200000 0.713141
7672.400000 0.876398
7681.600000 0.92428
7690.800000 0.828461
7700.000000 0.882079
7709.200000 0.914495
7718.400000 0.846639
7727.600000 0.941162
7736.800000 0.860335
7746.000000 0.84597
7755.200000 0.918884
7764.400000 0.942873
7773.600000 0.872433
7782.800000 0.931487
7792.000000 0.810315
7801.200000 1.08434
7810.400000 0.848257
7819.600000 0.76314
7828.800000 1.15453
7838.000000 0.695289
7847.200000 0.847112
7856.400000 0.846779
7865.600000 0.582809
7874.800000 1.15949
7884.000000 0.637488
7893.200000 0.892709
7902.400000 1.21266
7911.600000 0.495812
7920.800000 0.569763
7930.000000 0.703894
