#OBJECT = AT2020swy
#MJD-OBS = 59160.381296
#DATE-OBS = 2020-11-07T09:09:04
#EXPTIME = 2020.000000
#AIRMASS = 1.895000
#
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#FLUXCAL = RELATIVE
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3979.360000 1.426126e-17 4.158002e-34
3981.740000 5.355750e-17 4.166712e-34
3984.120000 1.917250e-17 4.079414e-34
3986.500000 3.485544e-17 4.025428e-34
3988.880000 4.071141e-17 3.956490e-34
3991.260000 3.199107e-17 3.872760e-34
3993.640000 3.575416e-17 3.888824e-34
3996.020000 6.356620e-17 3.838248e-34
3998.400000 7.398890e-17 3.816969e-34
4000.780000 8.351604e-17 3.810111e-34
4003.160000 6.284993e-17 3.696779e-34
4005.540000 2.898669e-17 3.561891e-34
4007.920000 4.050778e-17 3.529060e-34
4010.300000 3.370327e-17 3.528589e-34
4012.680000 4.617593e-17 3.509145e-34
4015.060000 2.296697e-17 3.481695e-34
4017.440000 3.375476e-17 3.414645e-34
4019.820000 1.618707e-17 3.342170e-34
4022.200000 2.612689e-17 3.340170e-34
4024.580000 2.725466e-17 3.338851e-34
4026.960000 2.008629e-17 3.369893e-34
4029.340000 4.094299e-17 3.444291e-34
4031.720000 4.915368e-17 3.339293e-34
4034.100000 1.533071e-17 3.225738e-34
4036.480000 2.032397e-17 3.223138e-34
4038.860000 3.538461e-17 3.288108e-34
4041.240000 6.042805e-17 3.338915e-34
4043.620000 6.660894e-17 3.328022e-34
4046.000000 4.614526e-17 3.257247e-34
4048.380000 4.410140e-17 3.278677e-34
4050.760000 6.095413e-17 3.306261e-34
4053.140000 5.391057e-17 3.236773e-34
4055.520000 8.151178e-17 3.294220e-34
4057.900000 8.382435e-17 3.265543e-34
4060.280000 5.151151e-17 3.220961e-34
4062.660000 4.920165e-17 3.263412e-34
4065.040000 4.915703e-17 3.383076e-34
4067.420000 5.334654e-17 3.502573e-34
4069.800000 4.367782e-17 3.475119e-34
4072.180000 5.732493e-17 3.462867e-34
4074.560000 4.958109e-17 3.496791e-34
4076.940000 4.452671e-17 3.452995e-34
4079.320000 6.120025e-17 3.481555e-34
4081.700000 7.431958e-17 3.587544e-34
4084.080000 4.789431e-17 3.521127e-34
4086.460000 5.853786e-17 3.556234e-34
4088.840000 7.674301e-17 3.592124e-34
4091.220000 6.025544e-17 3.463648e-34
4093.600000 8.215525e-17 3.531834e-34
4095.980000 8.294595e-17 3.428569e-34
4098.360000 7.484071e-17 3.407176e-34
4100.740000 6.522095e-17 3.349619e-34
4103.120000 4.479054e-17 3.282427e-34
4105.500000 5.352594e-17 3.305504e-34
4107.880000 5.649247e-17 3.298096e-34
4110.260000 6.076287e-17 3.304642e-34
4112.640000 5.928347e-17 3.287048e-34
4115.020000 6.393519e-17 3.253204e-34
4117.400000 4.672637e-17 3.192754e-34
4119.780000 7.657461e-17 3.207954e-34
4122.160000 7.038642e-17 3.133509e-34
4124.540000 5.833996e-17 3.101517e-34
4126.920000 5.830490e-17 3.101211e-34
4129.300000 5.102344e-17 3.052683e-34
4131.680000 3.224283e-17 2.933465e-34
4134.060000 4.593770e-17 2.977683e-34
4136.440000 3.226863e-17 2.967325e-34
4138.820000 3.176035e-17 2.903443e-34
4141.200000 3.548133e-17 2.888059e-34
4143.580000 5.022653e-17 2.910687e-34
4145.960000 4.933520e-17 2.919486e-34
4148.340000 2.362733e-17 2.821700e-34
4150.720000 2.668234e-17 2.777519e-34
4153.100000 3.442802e-17 2.786458e-34
4155.480000 4.312366e-17 2.734300e-34
4157.860000 4.840298e-17 2.757686e-34
4160.240000 3.551219e-17 2.782196e-34
4162.620000 4.123206e-17 2.799024e-34
4165.000000 3.986109e-17 2.765184e-34
4167.380000 2.849849e-17 2.715716e-34
4169.760000 4.218099e-17 2.762034e-34
4172.140000 4.270147e-17 2.819060e-34
4174.520000 4.114588e-17 2.742508e-34
4176.900000 6.560732e-17 2.774311e-34
4179.280000 6.423616e-17 2.780572e-34
4181.660000 6.288493e-17 2.702307e-34
