4113.18974  1.806850E-14
4121.47096  1.793068E-14
4129.75218  1.813702E-14
4138.0334  1.786851E-14
4146.31462  1.809989E-14
4154.59584  1.859667E-14
4162.87706  1.915777E-14
4171.15828  2.021577E-14
4179.4395  2.047103E-14
4187.72072  2.069546E-14
4196.00194  2.093351E-14
4204.28316  2.069883E-14
4212.56438  2.003750E-14
4220.8456  2.010202E-14
4229.12682  2.001376E-14
4237.40804  1.988771E-14
4245.68926  1.958141E-14
4253.97048  1.929572E-14
4262.2517  1.835072E-14
4270.53292  1.823930E-14
4278.81414  1.816581E-14
4287.09536  1.806495E-14
4295.37658  1.742020E-14
4303.6578  1.670062E-14
4311.93902  1.627444E-14
4320.22024  1.587887E-14
4328.50146  1.518399E-14
4336.78268  1.400177E-14
4345.0639  1.418760E-14
4353.34512  1.350914E-14
4361.62634  1.269716E-14
4369.90756  1.192657E-14
4378.18878  1.198841E-14
4386.47  1.176450E-14
4394.75122  1.160680E-14
4403.03244  1.133226E-14
4411.31366  1.096298E-14
4419.59488  1.076647E-14
4427.8761  1.104072E-14
4436.15732  1.127163E-14
4444.43854  1.148611E-14
4452.71976  1.170353E-14
4461.00098  1.234723E-14
4469.2822  1.312265E-14
4477.56342  1.365708E-14
4485.84464  1.434294E-14
4494.12586  1.481851E-14
4502.40708  1.573396E-14
4510.6883  1.653269E-14
4518.96952  1.753710E-14
4527.25074  1.824033E-14
4535.53196  1.950992E-14
4543.81318  2.076325E-14
4552.0944  2.169017E-14
4560.37562  2.220156E-14
4568.65684  2.314929E-14
4576.93806  2.357441E-14
4585.21928  2.390938E-14
4593.5005  2.416923E-14
4601.78172  2.459506E-14
4610.06294  2.505003E-14
4618.34416  2.474272E-14
4626.62538  2.457323E-14
4634.9066  2.417809E-14
4643.18782  2.357044E-14
4651.46904  2.279949E-14
4659.75026  2.153269E-14
4668.03148  2.013529E-14
4676.3127  1.909358E-14
4684.59392  1.792622E-14
4692.87514  1.687193E-14
4701.15636  1.645677E-14
4709.43758  1.620582E-14
4717.7188  1.569750E-14
4726.00002  1.520606E-14
4734.28124  1.498058E-14
4742.56246  1.442227E-14
4750.84368  1.369866E-14
4759.1249  1.290188E-14
4767.40612  1.212265E-14
4775.68734  1.208115E-14
4783.96856  1.225449E-14
4792.24978  1.233427E-14
4800.531  1.281649E-14
4808.81222  1.300325E-14
4817.09344  1.286430E-14
4825.37466  1.294998E-14
4833.65588  1.280574E-14
4841.9371  1.236617E-14
4850.21832  1.205150E-14
4858.49954  1.164447E-14
4866.78076  1.133578E-14
4875.06198  1.144902E-14
4883.3432  1.140918E-14
4891.62442  1.144635E-14
4899.90564  1.175821E-14
4908.18686  1.193782E-14
4916.46808  1.245301E-14
4924.7493  1.319338E-14
4933.03052  1.352552E-14
4941.31174  1.414488E-14
4949.59296  1.468066E-14
4957.87418  1.474322E-14
4966.1554  1.462676E-14
4974.43662  1.427592E-14
4982.71784  1.350001E-14
4990.99906  1.282708E-14
4999.28028  1.228385E-14
5007.5615  1.169274E-14
5015.84272  1.159939E-14
5024.12394  1.135407E-14
5032.40516  1.113000E-14
5040.68638  1.130654E-14
5048.9676  1.132063E-14
5057.24882  1.132919E-14
5065.53004  1.143403E-14
5073.81126  1.169811E-14
5082.09248  1.186742E-14
5090.3737  1.193448E-14
5098.65492  1.223362E-14
5106.93614  1.251361E-14
5115.21736  1.275116E-14
5123.49858  1.280923E-14
5131.7798  1.308489E-14
5140.06102  1.325761E-14
5148.34224  1.352386E-14
5156.62346  1.400511E-14
5164.90468  1.440568E-14
5173.1859  1.503864E-14
5181.46712  1.568941E-14
5189.74834  1.635411E-14
5198.02956  1.682760E-14
5206.31078  1.717845E-14
5214.592  1.761983E-14
5222.87322  1.789595E-14
5231.15444  1.823384E-14
5239.43566  1.871406E-14
5247.71688  1.864748E-14
5255.9981  1.881126E-14
5264.27932  1.889622E-14
5272.56054  1.891046E-14
5280.84176  1.838918E-14
5289.12298  1.751961E-14
5297.4042  1.681614E-14
5305.68542  1.607801E-14
5313.96664  1.536104E-14
5322.24786  1.494915E-14
5330.52908  1.473405E-14
5338.8103  1.458942E-14
5347.09152  1.462935E-14
5355.37274  1.503996E-14
5363.65396  1.478434E-14
5371.93518  1.476858E-14
5380.2164  1.489644E-14
5388.49762  1.472196E-14
5396.77884  1.478728E-14
5405.06006  1.449153E-14
5413.34128  1.446381E-14
5421.6225  1.419227E-14
5429.90372  1.426086E-14
5438.18494  1.421263E-14
5446.46616  1.392067E-14
5454.74738  1.345017E-14
5463.0286  1.321763E-14
5471.30982  1.294706E-14
5479.59104  1.255939E-14
5487.87226  1.223847E-14
5496.15348  1.177628E-14
5504.4347  1.111916E-14
5512.71592  1.091195E-14
5520.99714  1.107504E-14
5529.27836  1.117072E-14
5537.55958  1.122883E-14
5545.8408  1.157926E-14
