OBJECT  = 'PS1-10afx' / Name of the object observed                
OBSERVER= 'Quimby,Oguri,Moriya' 
TELESCOP= 'Keck I  '                                                            
SLITNAME= 'long_1.0' / 1.0 arcsec wide slit                                             
DICHNAME= '560     '                                                            
GRISNAME= '400/3400'                                                            
GRANAME = '400/8500'                                                            
GRANGLE =          25.87923241                                                  
WAVELEN =        7848.05908203                                                  
REDFILT = 'Clear   '                                                            
UTC     = '06:01:33.76'                                                         
MJD-OBS = '56542.251085'                                                        
ST      = '18:45:35.99'                                                         
DATE-OBS= '2013-09-07'                                                          
AIRMASS =           1.25 / Median over observation
RA      = '22:11:24.162'                                                         
DEC     = '+00:09:43.49'                                                         
EQUINOX =        2000.00000000                                                  
TOTEXPB = 22022.0 / seconds total exposure (blue channel)
TOTEXPR = 22876.3 / seconds total exposure (red channel)
DATE_BEG= '2013-09-07T06:01:33' / start of the first exposure
DATE_END= '2013-09-07T13:42:21' / end of the last exposure
REDUCEBY= Quimby

#     wav (A)    flux (flam)      eflux           skyflux
      3385.94   2.8528813e-19   1.2737525e-18   2.4686967e-17
      3386.94  -9.5837122e-20   1.2681428e-18   2.4373478e-17
      3387.94   8.6362182e-20   1.2572649e-18   2.3705997e-17
      3388.94   5.3768636e-21   1.2455289e-18   2.3098199e-17
      3389.94   4.4923670e-19   1.2294745e-18   2.2162379e-17
      3390.94   5.2122325e-19   1.2263937e-18   2.2117728e-17
      3391.94   1.0417071e-18   1.2218671e-18   2.1947440e-17
      3392.94  -2.3600182e-19   1.2147572e-18   2.1798073e-17
      3393.94   4.1412926e-19   1.1989876e-18   2.1007017e-17
      3394.94  -2.4785556e-19   1.1901578e-18   2.0728330e-17
      3395.94   3.7042157e-19   1.1812896e-18   2.0312703e-17
      3396.94   3.3162263e-19   1.1790473e-18   2.0358774e-17
      3397.94   9.2130971e-20   1.1709512e-18   1.9969928e-17
      3398.94   1.1341206e-19   1.1603654e-18   1.9618368e-17
      3399.94   4.6562823e-19   1.1410263e-18   1.8570430e-17
      3400.94   3.2443768e-19   1.1388917e-18   1.8547846e-17
      3401.94  -1.3499092e-19   1.1316399e-18   1.8149766e-17
      3402.94   1.9066869e-19   1.1214408e-18   1.7625990e-17
      3403.94   4.0819994e-19   1.1160292e-18   1.7261585e-17
      3404.94   2.0522069e-19   1.1170820e-18   1.7173955e-17
      3405.94   2.8823740e-19   1.1084091e-18   1.6661951e-17
      3406.94   1.9109694e-19   1.1088868e-18   1.6611886e-17
      3407.94  -2.0816644e-19   1.1059004e-18   1.6595200e-17
      3408.94   1.1815497e-19   1.1006644e-18   1.6283510e-17
      3409.94   4.2347898e-19   1.1052447e-18   1.6455132e-17
      3410.94  -1.9771398e-20   1.0966602e-18   1.6115091e-17
      3411.94  -1.1960566e-19   1.0989879e-18   1.6543792e-17
      3412.94   4.7466969e-19   1.1051652e-18   1.6996179e-17
      3413.94   2.4769723e-19   1.1163228e-18   1.7971126e-17
      3414.94   3.2228268e-19   1.1207700e-18   1.8581950e-17
      3415.94   2.0713239e-19   1.1358604e-18   1.9592542e-17
      3416.94  -1.1557280e-19   1.1344787e-18   2.0080085e-17
      3417.94  -2.6332121e-19   1.1401211e-18   2.0622570e-17
      3418.94   1.9092067e-19   1.1418783e-18   2.0868472e-17
      3419.94   3.8107691e-19   1.1389872e-18   2.0934295e-17
      3420.94   2.7287366e-19   1.1436770e-18   2.1096097e-17
      3421.94  -2.1237882e-19   1.1414830e-18   2.1045235e-17
      3422.94   3.3291259e-19   1.1297624e-18   2.0753306e-17
      3423.94   2.6197397e-19   1.1341631e-18   2.1160911e-17
      3424.94   1.1145387e-19   1.1382265e-18   2.1473754e-17
      3425.94   4.8458407e-19   1.1275859e-18   2.1094782e-17
      3426.94   1.5194888e-19   1.1230052e-18   2.0957531e-17
      3427.94   7.8394914e-19   1.1189286e-18   2.0776649e-17
      3428.94  -1.9326068e-19   1.1189574e-18   2.0899956e-17
      3429.94   5.3933927e-20   1.1179394e-18   2.0765589e-17
      3430.94   3.3202639e-19   1.1016305e-18   2.0038228e-17
      3431.94   4.2611261e-19   1.1117972e-18   2.0536200e-17
      3432.94   5.4604949e-19   1.1262800e-18   2.1589860e-17
      3433.94   3.2078123e-20   1.1160723e-18   2.1582779e-17
      3434.94   4.5144530e-19   1.1160491e-18   2.1874722e-17
      3435.94   2.1505067e-19   1.1196009e-18   2.2382821e-17
      3436.94   6.5895915e-20   1.1208935e-18   2.2652754e-17
      3437.94   2.0748275e-19   1.1209604e-18   2.2845851e-17
      3438.94   1.5729731e-19   1.1074196e-18   2.2099571e-17
      3439.94   2.8592820e-19   1.0934265e-18   2.1200341e-17
      3440.94   5.5532986e-20   1.0789925e-18   2.0296632e-17
      3441.94   6.3999852e-19   1.0676761e-18   1.9577558e-17
      3442.94  -2.5984078e-19   1.0633769e-18   1.9439218e-17
      3443.94   3.7595043e-19   1.0585834e-18   1.9116762e-17
      3444.94   3.9547112e-19   1.0529642e-18   1.8834375e-17
      3445.94   4.6847204e-19   1.0538827e-18   1.8951645e-17
      3446.94   1.1121990e-19   1.0642147e-18   1.9695686e-17
      3447.94   4.3584325e-19   1.0818831e-18   2.0982080e-17
      3448.94  -3.5739474e-20   1.1102353e-18   2.3006407e-17
      3449.94  -2.0454736e-19   1.1311895e-18   2.4866369e-17
      3450.94   2.0977235e-19   1.1508661e-18   2.6421482e-17
      3451.94   8.1696765e-19   1.1680772e-18   2.7880194e-17
      3452.94   4.2663004e-19   1.1737940e-18   2.8585339e-17
      3453.94   3.8707154e-19   1.1843468e-18   2.9409257e-17
      3454.94   3.4903418e-19   1.1749143e-18   2.8902494e-17
      3455.94   6.8168601e-19   1.1571334e-18   2.7772282e-17
      3456.94   3.6407065e-19   1.1470971e-18   2.7037989e-17
      3457.94   4.5399183e-19   1.1425280e-18   2.6596038e-17
      3458.94   4.0338152e-19   1.1221426e-18   2.5310330e-17
      3459.94   4.9475606e-19   1.1124615e-18   2.4638747e-17
      3460.94   1.1781910e-19   1.1016001e-18   2.3935134e-17
      3461.94  -2.1954117e-19   1.0899320e-18   2.3178300e-17
      3462.94   2.9003102e-19   1.0780709e-18   2.2303911e-17
      3463.94   1.6466351e-19   1.0668894e-18   2.1592399e-17
      3464.94   7.9215636e-19   1.0604595e-18   2.1222870e-17
      3465.94   2.0007083e-19   1.0603106e-18   2.1149812e-17
      3466.94   2.0070799e-19   1.0590070e-18   2.0953227e-17
      3467.94   1.3053864e-19   1.0401191e-18   2.0120712e-17
      3468.94   2.6772705e-19   1.0350279e-18   1.9908866e-17
      3469.94   2.2925659e-19   1.0307062e-18   1.9798632e-17
      3470.94   3.3067585e-19   1.0342900e-18   1.9889770e-17
      3471.94   4.8066165e-19   1.0203089e-18   1.9173361e-17
      3472.94   6.2144759e-19   1.0110152e-18   1.8754848e-17
      3473.94   4.8142087e-19   1.0218874e-18   1.9172214e-17
      3474.94   6.9353787e-19   1.0405990e-18   2.0189683e-17
      3475.94   1.9916864e-19   1.0512339e-18   2.1265565e-17
      3476.94   5.4040050e-19   1.0799975e-18   2.3447532e-17
      3477.94   5.8417367e-19   1.1038998e-18   2.5694938e-17
      3478.94   2.7112098e-19   1.1429788e-18   2.8892532e-17
      3479.94  -4.0741720e-19   1.1808692e-18   3.2081826e-17
      3480.94   3.8721720e-19   1.2010154e-18   3.3958678e-17
      3481.94   1.0633159e-19   1.2138963e-18   3.5260876e-17
      3482.94   7.3251795e-19   1.2159311e-18   3.5444773e-17
      3483.94   1.4824776e-19   1.2025530e-18   3.4523985e-17
      3484.94   6.4382958e-19   1.1908507e-18   3.3617473e-17
      3485.94   3.8480735e-19   1.1769407e-18   3.2549280e-17
      3486.94   6.4829635e-19   1.1533448e-18   3.0775598e-17
      3487.94   3.9005509e-19   1.1373749e-18   2.9520627e-17
      3488.94   1.4644047e-19   1.1334955e-18   2.9069702e-17
      3489.94   4.7133162e-19   1.1132552e-18   2.7593813e-17
      3490.94   6.9041635e-19   1.0945449e-18   2.6171360e-17
      3491.94   2.3597217e-19   1.0816001e-18   2.5292462e-17
      3492.94   2.7367006e-19   1.0742173e-18   2.4751441e-17
      3493.94   4.6363855e-19   1.0609097e-18   2.3868928e-17
      3494.94   4.7715772e-19   1.0481962e-18   2.2842838e-17
      3495.94   4.7100778e-19   1.0344442e-18   2.1964976e-17
      3496.94   7.9840474e-20   1.0303291e-18   2.1678478e-17
      3497.94   2.4753210e-19   1.0271538e-18   2.1542271e-17
      3498.94   2.2240433e-19   1.0129379e-18   2.0575633e-17
      3499.94   4.9892674e-19   1.0069251e-18   2.0065988e-17
      3500.94   4.3473270e-20   1.0056556e-18   1.9980214e-17
      3501.94   4.3211359e-19   1.0112739e-18   2.0352372e-17
      3502.94   2.1951282e-19   1.0028373e-18   1.9990979e-17
      3503.94  -1.7136931e-19   1.0051197e-18   1.9744490e-17
      3504.94   4.1488305e-19   9.9535874e-19   1.9270295e-17
      3505.94   2.3072707e-19   9.8825208e-19   1.9121504e-17
      3506.94   1.4015245e-19   9.9901768e-19   1.9927328e-17
      3507.94   4.5813920e-19   1.0023031e-18   2.0221065e-17
      3508.94   3.9929299e-19   1.0085461e-18   2.0597175e-17
      3509.94   8.1942174e-20   1.0079232e-18   2.0740639e-17
      3510.94   2.5023579e-19   1.0142663e-18   2.0967392e-17
      3511.94   1.6482381e-20   1.0175951e-18   2.1082282e-17
      3512.94   6.1033921e-19   1.0004731e-18   2.0303876e-17
      3513.94   3.7697831e-19   1.0065281e-18   2.0405756e-17
      3514.94  -7.6534734e-20   9.8795682e-19   1.9548389e-17
      3515.94   2.3143737e-19   9.8812343e-19   1.9496875e-17
      3516.94   5.0106201e-19   9.8736276e-19   1.9409731e-17
      3517.94   2.3602003e-19   9.8505782e-19   1.9291887e-17
      3518.94   3.5919716e-19   9.7925838e-19   1.8933277e-17
      3519.94   3.6695021e-19   9.7417202e-19   1.8635515e-17
      3520.94   8.4221613e-19   9.6437681e-19   1.8077596e-17
      3521.94   4.2838116e-19   9.5458229e-19   1.7615577e-17
      3522.94  -2.8277761e-19   9.5084946e-19   1.7298657e-17
      3523.94  -1.2144235e-19   9.5010427e-19   1.7211326e-17
      3524.94   5.8460934e-19   9.4277640e-19   1.6754563e-17
      3525.94   4.5895198e-19   9.4339734e-19   1.6824351e-17
      3526.94   3.2825144e-19   9.3917848e-19   1.6528762e-17
      3527.94   1.8834794e-19   9.4072166e-19   1.6662129e-17
