BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN 2005GJ         '  /                                              
FILENAME= 'SN05GJ_B01_DUP_WF_23DEC05'  /
5056.10240626747  1.281287E-16
5059.14381645214  1.317665E-16
5062.18522663681  1.323737E-16
5065.22663682147  1.256443E-16
5068.26804700614  1.345625E-16
5071.30945719081  1.340606E-16
5074.35086737548  1.321833E-16
5077.39227756014  1.293148E-16
5080.43368774481  1.268096E-16
5083.47509792948  1.255266E-16
5086.51650811414  1.375845E-16
5089.55791829881  1.290409E-16
5092.59932848348  1.345848E-16
5095.64073866814  1.364743E-16
5098.68214885281  1.297445E-16
5101.72355903748  1.364938E-16
5104.76496922214  1.363345E-16
5107.80637940681  1.417114E-16
5110.84778959148  1.437756E-16
5113.88919977615  1.354412E-16
5116.93060996081  1.381519E-16
5119.97202014548  1.322299E-16
5123.01343033015  1.312147E-16
5126.05484051482  1.364659E-16
5129.09625069948  1.370978E-16
5132.13766088415  1.399180E-16
5135.17907106882  1.449770E-16
5138.22048125348  1.407572E-16
5141.26189143815  1.475205E-16
5144.30330162282  1.489852E-16
5147.34471180748  1.468716E-16
5150.38612199215  1.545123E-16
5153.42753217682  1.539426E-16
5156.46894236148  1.453886E-16
5159.51035254615  1.652812E-16
5162.55176273082  1.976639E-16
5165.59317291549  1.889974E-16
5168.63458310015  1.665846E-16
5171.67599328482  1.569142E-16
5174.71740346949  1.555639E-16
5177.75881365415  1.501316E-16
5180.80022383882  1.447819E-16
5183.84163402349  1.408029E-16
5186.88304420816  1.473383E-16
5189.92445439282  1.481908E-16
5192.96586457749  1.487857E-16
5196.00727476216  1.557049E-16
5199.04868494682  1.491644E-16
5202.09009513149  1.567099E-16
5205.13150531616  1.552894E-16
5208.17291550082  1.509193E-16
5211.21432568549  1.566341E-16
5214.25573587016  1.478075E-16
5217.29714605482  1.545595E-16
5220.33855623949  1.603357E-16
5223.37996642416  1.554750E-16
5226.42137660883  1.509551E-16
5229.46278679349  1.550749E-16
5232.50419697816  1.602990E-16
5235.54560716283  1.558335E-16
5238.58701734749  1.487657E-16
5241.62842753216  1.584562E-16
5244.66983771683  1.596399E-16
5247.7112479015  1.554208E-16
5250.75265808616  1.663257E-16
5253.79406827083  1.614324E-16
5256.8354784555  1.532277E-16
5259.87688864016  1.581839E-16
5262.91829882483  1.656568E-16
5265.9597090095  1.588821E-16
5269.00111919416  1.587608E-16
5272.04252937883  1.559411E-16
5275.0839395635  1.589282E-16
5278.12534974816  1.631979E-16
5281.16675993283  1.550413E-16
5284.2081701175  1.506121E-16
5287.24958030216  1.514284E-16
5290.29099048683  1.473251E-16
5293.3324006715  1.526708E-16
5296.37381085617  1.552661E-16
5299.41522104083  1.478644E-16
5302.4566312255  1.383523E-16
5305.49804141017  1.446544E-16
5308.53945159484  1.535622E-16
5311.5808617795  1.471523E-16
5314.62227196417  1.606210E-16
5317.66368214884  1.581068E-16
5320.7050923335  1.433158E-16
5323.74650251817  1.392627E-16
5326.78791270284  1.369250E-16
5329.8293228875  1.412577E-16
5332.87073307217  1.407089E-16
5335.91214325684  1.380563E-16
5338.9535534415  1.328092E-16
5341.99496362617  1.415530E-16
5345.03637381084  1.373381E-16
5348.07778399551  1.327176E-16
5351.11919418017  1.309931E-16
5354.16060436484  1.391665E-16
5357.20201454951  1.357671E-16
5360.24342473417  1.326075E-16
5363.28483491884  1.280586E-16
5366.32624510351  1.307068E-16
5369.36765528817  1.326780E-16
5372.40906547284  1.364053E-16
5375.45047565751  1.280046E-16
5378.49188584218  1.267474E-16
5381.53329602684  1.307551E-16
5384.57470621151  1.274696E-16
5387.61611639618  1.279078E-16
5390.65752658084  1.225858E-16
5393.69893676551  1.193925E-16
5396.74034695018  1.244988E-16
5399.78175713485  1.250748E-16
5402.82316731951  1.196919E-16
5405.86457750418  1.244766E-16
5408.90598768885  1.307228E-16
5411.94739787351  1.269717E-16
5414.98880805818  1.223887E-16
5418.03021824285  1.251095E-16
5421.07162842751  1.312810E-16
5424.11303861218  1.360479E-16
5427.15444879685  1.330819E-16
5430.19585898152  1.334539E-16
5433.23726916618  1.290005E-16
5436.27867935085  1.259663E-16
5439.32008953552  1.282256E-16
5442.36149972018  1.194470E-16
5445.40290990485  1.226139E-16
5448.44432008952  1.292820E-16
5451.48573027418  1.285149E-16
5454.52714045885  1.255524E-16
5457.56855064352  1.323007E-16
5460.60996082819  1.329971E-16
5463.65137101285  1.342349E-16
5466.69278119752  1.312165E-16
5469.73419138219  1.324640E-16
5472.77560156685  1.259029E-16
5475.81701175152  1.332617E-16
5478.85842193619  1.295106E-16
5481.89983212085  1.255705E-16
5484.94124230552  1.233594E-16
