BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  573  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN1989B NAR - APERTURE 1'  /
FILENAME= 'CTIO_60_RED_06FEB89'  /
7119.6443576  4.307471E-14
7127.941719  4.307932E-14
7136.2390804  4.290289E-14
7144.5364418  4.242053E-14
7152.8338032  4.174748E-14
7161.1311646  4.052191E-14
7169.428526  3.827132E-14
7177.7258874  3.635332E-14
7186.0232488  3.509159E-14
7194.3206102  3.529791E-14
7202.6179716  3.665827E-14
7210.915333  3.845070E-14
7219.2126944  3.957926E-14
7227.5100558  3.842461E-14
7235.8074172  3.675857E-14
7244.1047786  3.632222E-14
7252.40214  3.632051E-14
7260.6995014  3.627822E-14
7268.9968628  3.594834E-14
7277.2942242  3.601214E-14
7285.5915856  3.599516E-14
7293.888947  3.597131E-14
7302.1863084  3.608559E-14
7310.4836698  3.630670E-14
7318.7810312  3.705477E-14
7327.0783926  3.747323E-14
7335.375754  3.750071E-14
7343.6731154  3.706895E-14
7351.9704768  3.654762E-14
7360.2678382  3.616537E-14
7368.5651996  3.564666E-14
7376.862561  3.555885E-14
7385.1599224  3.531320E-14
7393.4572838  3.487933E-14
7401.7546452  3.485746E-14
7410.0520066  3.429083E-14
7418.349368  3.361804E-14
7426.6467294  3.344650E-14
7434.9440908  3.316806E-14
7443.2414522  3.261349E-14
7451.5388136  3.180090E-14
7459.836175  3.113968E-14
7468.1335364  3.032748E-14
7476.4308978  2.911245E-14
7484.7282592  2.781419E-14
7493.0256206  2.710744E-14
7501.322982  2.664504E-14
7509.6203434  2.620199E-14
7517.9177048  2.594873E-14
7526.2150662  2.671941E-14
7534.5124276  2.698078E-14
7542.809789  2.764646E-14
7551.1071504  2.882286E-14
7559.4045118  2.978822E-14
7567.7018732  2.990640E-14
7575.9992346  2.999815E-14
7584.296596  2.832763E-14
7592.5939574  2.301577E-14
7600.8913188  1.502078E-14
7609.1886802  1.285134E-14
7617.4860416  1.695774E-14
7625.783403  1.934294E-14
7634.0807644  1.884096E-14
7642.3781258  2.079113E-14
7650.6754872  2.401114E-14
7658.9728486  2.773149E-14
7667.27021  3.057092E-14
7675.5675714  3.226840E-14
7683.8649328  3.391860E-14
7692.1622942  3.450583E-14
7700.4596556  3.474372E-14
7708.757017  3.512460E-14
7717.0543784  3.562413E-14
7725.3517398  3.599066E-14
7733.6491012  3.602808E-14
7741.9464626  3.640189E-14
7750.243824  3.682967E-14
7758.5411854  3.730128E-14
7766.8385468  3.781740E-14
7775.1359082  3.847625E-14
7783.4332696  3.883576E-14
7791.730631  3.975174E-14
7800.0279924  4.039805E-14
7808.3253538  4.024329E-14
7816.6227152  4.089877E-14
7824.9200766  4.155103E-14
7833.217438  4.190928E-14
7841.5147994  4.201974E-14
7849.8121608  4.247248E-14
7858.1095222  4.241654E-14
7866.4068836  4.206864E-14
7874.704245  4.197231E-14
7883.0016064  4.198590E-14
7891.2989678  4.201305E-14
7899.5963292  4.144124E-14
7907.8936906  4.138623E-14
7916.191052  4.161039E-14
7924.4884134  4.132203E-14
7932.7857748  4.122844E-14
7941.0831362  4.097703E-14
7949.3804976  4.067365E-14
7957.677859  4.029593E-14
7965.9752204  4.014206E-14
7974.2725818  4.011977E-14
7982.5699432  3.951545E-14
7990.8673046  3.924311E-14
7999.164666  3.860564E-14
8007.4620274  3.789830E-14
8015.7593888  3.728541E-14
8024.0567502  3.701997E-14
8032.3541116  3.635001E-14
8040.651473  3.475493E-14
8048.9488344  3.354854E-14
8057.2461958  3.392330E-14
8065.5435572  3.453695E-14
8073.8409186  3.382832E-14
8082.13828  3.272532E-14
8090.4356414  3.195921E-14
8098.7330028  3.136044E-14
8107.0303642  3.122903E-14
8115.3277256  3.109704E-14
8123.625087  3.063954E-14
8131.9224484  2.969734E-14
8140.2198098  2.880754E-14
8148.5171712  2.757141E-14
8156.8145326  2.622783E-14
8165.111894  2.589876E-14
8173.4092554  2.580046E-14
8181.7066168  2.559760E-14
8190.0039782  2.578414E-14
8198.3013396  2.594823E-14
8206.598701  2.625172E-14
8214.8960624  2.554197E-14
8223.1934238  2.304113E-14
8231.4907852  2.116207E-14
8239.7881466  2.187569E-14
8248.085508  2.226678E-14
8256.3828694  2.192475E-14
8264.6802308  2.142124E-14
8272.9775922  2.062431E-14
8281.2749536  2.060251E-14
8289.572315  2.084770E-14
8297.8696764  2.141802E-14
8306.1670378  2.219054E-14
8314.4643992  2.288043E-14
8322.7617606  2.377788E-14
8331.059122  2.495110E-14
8339.3564834  2.550626E-14
8347.6538448  2.586640E-14
8355.9512062  2.655061E-14
8364.2485676  2.671806E-14
8372.545929  2.677069E-14
8380.8432904  2.756343E-14
8389.1406518  2.797882E-14
8397.4380132  2.894938E-14
8405.7353746  2.955175E-14
8414.032736  3.015261E-14
8422.3300974  3.104932E-14
8430.6274588  3.204965E-14
8438.9248202  3.317748E-14
8447.2221816  3.429720E-14
8455.519543  3.529190E-14
8463.8169044  3.703460E-14
8472.1142658  3.789978E-14
8480.4116272  3.856160E-14
8488.7089886  3.938948E-14
8497.00635  3.972314E-14
8505.3037114  4.060289E-14
8513.6010728  4.077891E-14
8521.8984342  4.105820E-14
8530.1957956  4.155960E-14
8538.493157  4.203872E-14
8546.7905184  4.225339E-14
8555.0878798  4.282913E-14
8563.3852412  4.315607E-14
8571.6826026  4.309782E-14
8579.979964  4.384828E-14
8588.2773254  4.423862E-14
8596.5746868  4.429480E-14
8604.8720482  4.416783E-14
8613.1694096  4.425793E-14
8621.466771  4.491230E-14
8629.7641324  4.453117E-14
8638.0614938  4.347378E-14
8646.3588552  4.354578E-14
8654.6562166  4.442361E-14
8662.953578  4.374893E-14
8671.2509394  4.288078E-14
8679.5483008  4.333458E-14
8687.8456622  4.397752E-14
8696.14302360001  4.466525E-14
8704.440385  4.441604E-14
8712.7377464  4.421909E-14
8721.0351078  4.399758E-14
8729.3324692  4.409339E-14
8737.6298306  4.387080E-14
8745.927192  4.363703E-14
8754.2245534  4.453307E-14
8762.5219148  4.429027E-14
8770.8192762  4.347811E-14
8779.1166376  4.223927E-14
8787.413999  4.149579E-14
8795.7113604  4.135132E-14
8804.0087218  4.083990E-14
8812.3060832  4.043131E-14
