BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2008HJ          '  /                                              
FILENAME= 'SN08HJ_B01_DUP_WF_27DEC08'  /
5077.39227756014  1.872292E-16
5080.43368774481  1.886258E-16
5083.47509792948  1.919650E-16
5086.51650811414  2.039177E-16
5089.55791829881  2.093001E-16
5092.59932848348  2.225588E-16
5095.64073866814  2.195885E-16
5098.68214885281  2.230567E-16
5101.72355903748  2.334823E-16
5104.76496922214  2.291449E-16
5107.80637940681  2.349576E-16
5110.84778959148  2.369826E-16
5113.88919977615  2.338324E-16
5116.93060996081  2.213252E-16
5119.97202014548  2.199774E-16
5123.01343033015  2.204076E-16
5126.05484051482  2.114906E-16
5129.09625069948  1.979925E-16
5132.13766088415  1.983888E-16
5135.17907106882  1.906937E-16
5138.22048125348  1.837630E-16
5141.26189143815  1.786172E-16
5144.30330162282  1.807397E-16
5147.34471180748  1.691379E-16
5150.38612199215  1.739998E-16
5153.42753217682  1.652680E-16
5156.46894236148  1.627353E-16
5159.51035254615  1.661266E-16
5162.55176273082  1.660848E-16
5165.59317291549  1.601109E-16
5168.63458310015  1.615477E-16
5171.67599328482  1.469990E-16
5174.71740346949  1.485178E-16
5177.75881365415  1.457636E-16
5180.80022383882  1.336372E-16
5183.84163402349  1.436866E-16
5186.88304420816  1.344064E-16
5189.92445439282  1.302393E-16
5192.96586457749  1.275970E-16
5196.00727476216  1.251367E-16
5199.04868494682  1.304275E-16
5202.09009513149  1.119496E-16
5205.13150531616  1.230175E-16
5208.17291550082  1.150386E-16
5211.21432568549  1.270870E-16
5214.25573587016  1.398059E-16
5217.29714605482  1.154829E-16
5220.33855623949  1.268856E-16
5223.37996642416  1.162741E-16
5226.42137660883  1.107578E-16
5229.46278679349  1.196897E-16
5232.50419697816  1.183056E-16
5235.54560716283  1.130533E-16
5238.58701734749  1.212611E-16
5241.62842753216  1.130772E-16
5244.66983771683  1.159555E-16
5247.7112479015  1.128524E-16
5250.75265808616  1.011193E-16
5253.79406827083  1.079369E-16
5256.8354784555  1.033786E-16
5259.87688864016  1.115666E-16
5262.91829882483  1.075090E-16
5265.9597090095  1.032724E-16
5269.00111919416  1.183547E-16
5272.04252937883  1.106482E-16
5275.0839395635  1.134658E-16
5278.12534974816  1.252389E-16
5281.16675993283  1.094458E-16
5284.2081701175  1.084142E-16
5287.24958030216  1.065862E-16
5290.29099048683  1.156277E-16
5293.3324006715  1.117628E-16
5296.37381085617  1.072102E-16
5299.41522104083  1.075457E-16
5302.4566312255  1.061272E-16
5305.49804141017  1.117122E-16
5308.53945159484  1.094513E-16
5311.5808617795  1.121947E-16
5314.62227196417  1.143431E-16
5317.66368214884  1.171477E-16
5320.7050923335  1.151902E-16
5323.74650251817  1.198937E-16
5326.78791270284  1.177856E-16
5329.8293228875  1.127531E-16
5332.87073307217  1.193425E-16
5335.91214325684  1.153943E-16
5338.9535534415  1.306102E-16
5341.99496362617  1.293440E-16
5345.03637381084  1.244106E-16
5348.07778399551  1.257857E-16
5351.11919418017  1.248531E-16
5354.16060436484  1.293231E-16
5357.20201454951  1.336487E-16
5360.24342473417  1.335890E-16
5363.28483491884  1.241950E-16
5366.32624510351  1.391522E-16
5369.36765528817  1.438926E-16
5372.40906547284  1.362831E-16
5375.45047565751  1.404961E-16
5378.49188584218  1.455237E-16
5381.53329602684  1.496581E-16
5384.57470621151  1.538288E-16
5387.61611639618  1.517846E-16
5390.65752658084  1.668604E-16
5393.69893676551  1.654358E-16
5396.74034695018  1.680134E-16
5399.78175713485  1.720014E-16
5402.82316731951  1.650187E-16
5405.86457750418  1.795969E-16
5408.90598768885  1.861966E-16
5411.94739787351  1.937108E-16
5414.98880805818  1.985689E-16
5418.03021824285  2.077956E-16
5421.07162842751  2.068414E-16
5424.11303861218  2.092648E-16
5427.15444879685  2.107564E-16
5430.19585898152  2.150092E-16
5433.23726916618  2.179983E-16
5436.27867935085  2.248531E-16
5439.32008953552  2.306925E-16
5442.36149972018  2.176086E-16
5445.40290990485  2.243317E-16
5448.44432008952  2.422740E-16
5451.48573027418  2.412383E-16
5454.52714045885  2.470394E-16
5457.56855064352  2.546971E-16
5460.60996082819  2.528923E-16
5463.65137101285  2.522819E-16
5466.69278119752  2.738245E-16
5469.73419138219  2.683593E-16
5472.77560156685  2.595094E-16
5475.81701175152  2.762338E-16
5478.85842193619  2.761683E-16
5481.89983212085  2.751501E-16
5484.94124230552  2.873106E-16
5487.98265249019  2.871271E-16
