7679.571875  5.733321E-15
7687.8643  5.706500E-15
7696.156725  6.214630E-15
7704.44915  6.538001E-15
7712.741575  6.317329E-15
7721.034  6.195440E-15
7729.326425  6.339329E-15
7737.61885  6.344793E-15
7745.911275  6.260027E-15
7754.2037  6.279224E-15
7762.496125  6.512371E-15
7770.78855  6.826682E-15
7779.080975  6.904705E-15
7787.3734  6.863198E-15
7795.665825  7.006665E-15
7803.95825  7.057470E-15
7812.250675  7.199036E-15
7820.5431  7.340426E-15
7828.835525  7.439488E-15
7837.12795  7.351667E-15
7845.420375  7.367344E-15
7853.7128  7.284255E-15
7862.005225  7.529777E-15
7870.29765  7.683372E-15
7878.590075  7.719209E-15
7886.8825  7.735779E-15
7895.174925  7.778944E-15
7903.46735  8.077194E-15
7911.759775  7.760104E-15
7920.0522  7.580635E-15
7928.344625  8.033692E-15
7936.63705  7.979855E-15
7944.92947500001  8.160990E-15
7953.2219  8.245003E-15
7961.51432500001  7.637974E-15
7969.80675  7.466216E-15
7978.099175  7.651521E-15
7986.3916  8.118489E-15
7994.684025  7.945897E-15
8002.97645  7.386703E-15
8011.268875  7.570442E-15
8019.5613  7.664782E-15
8027.853725  7.423782E-15
8036.14615  7.218599E-15
8044.438575  7.197107E-15
8052.731  7.173887E-15
8061.023425  7.076029E-15
8069.31585  7.193466E-15
8077.608275  7.049504E-15
8085.90070000001  6.585001E-15
8094.193125  6.538750E-15
8102.48555  6.369239E-15
8110.777975  6.251618E-15
8119.0704  6.198131E-15
8127.362825  5.708694E-15
8135.65525  5.398412E-15
8143.947675  4.993771E-15
8152.2401  4.462604E-15
8160.532525  3.906150E-15
8168.82495000001  3.605061E-15
8177.117375  4.039650E-15
8185.4098  3.834758E-15
8193.702225  3.575834E-15
8201.99465  3.678099E-15
8210.287075  3.179740E-15
8218.5795  2.787765E-15
8226.871925  2.497442E-15
8235.16435  2.322618E-15
8243.456775  2.700601E-15
8251.7492  2.760224E-15
8260.041625  2.688036E-15
8268.33405  2.760249E-15
8276.626475  3.033697E-15
8284.9189  3.104055E-15
8293.21132500001  2.877337E-15
8301.50375  2.731714E-15
8309.796175  3.047677E-15
8318.0886  2.848032E-15
8326.381025  2.754363E-15
8334.67345  2.753820E-15
8342.965875  2.445641E-15
8351.2583  2.929653E-15
8359.55072500001  3.086582E-15
8367.84315  2.885760E-15
8376.135575  3.019037E-15
8384.428  3.391027E-15
8392.720425  3.095157E-15
8401.01285  3.036216E-15
8409.30527500001  3.512567E-15
8417.5977  3.504296E-15
8425.890125  3.917744E-15
8434.18255  4.622105E-15
8442.47497500001  4.427324E-15
8450.7674  4.298387E-15
8459.059825  4.663948E-15
8467.35225  4.998463E-15
8475.644675  5.004734E-15
8483.9371  5.415002E-15
8492.229525  6.003731E-15
8500.52195  6.225863E-15
8508.814375  6.564441E-15
8517.1068  7.255900E-15
8525.399225  7.364423E-15
8533.69165000001  7.342730E-15
8541.984075  8.254567E-15
8550.2765  8.731531E-15
8558.568925  8.420512E-15
8566.86135  8.656074E-15
8575.153775  8.940470E-15
8583.4462  9.449043E-15
8591.738625  9.314393E-15
8600.03105  9.201445E-15
8608.323475  9.159654E-15
8616.6159  9.060890E-15
8624.908325  9.543374E-15
8633.20075  1.011285E-14
8641.493175  1.004361E-14
8649.7856  9.476928E-15
8658.07802500001  9.589933E-15
8666.37045  9.631646E-15
8674.662875  9.880014E-15
8682.9553  1.060625E-14
8691.24772500001  1.016033E-14
8699.54015  9.488284E-15
8707.83257500001  9.958240E-15
8716.125  1.019869E-14
8724.417425  9.792095E-15
8732.70985  1.040192E-14
8741.002275  1.084069E-14
8749.2947  9.981496E-15
8757.587125  9.830282E-15
8765.87955  1.027552E-14
8774.17197500001  9.709664E-15
8782.46440000001  9.144907E-15
8790.756825  9.146806E-15
8799.04925000001  9.220470E-15
8807.341675  9.455771E-15
8815.6341  9.456255E-15
8823.926525  9.593109E-15
8832.21895  9.248473E-15
8840.511375  8.463392E-15
8848.8038  9.119637E-15
8857.09622500001  8.760792E-15
8865.38865  8.634498E-15
8873.681075  7.979465E-15
8881.9735  7.636658E-15
8890.265925  7.248030E-15
8898.55835  7.738079E-15
8906.85077500001  6.873090E-15
8915.1432  6.878596E-15
8923.43562500001  6.882474E-15
8931.72805  6.365852E-15
8940.020475  6.486738E-15
8948.31290000001  6.065891E-15
8956.605325  5.101165E-15
8964.89775  5.249690E-15
8973.190175  5.187982E-15
8981.4826  4.632476E-15
8989.775025  5.199161E-15
8998.06745  4.978801E-15
9006.35987500001  5.165409E-15
9014.6523  5.178167E-15
9022.94472500001  4.257934E-15
9031.23715  5.039976E-15
9039.529575  6.103767E-15
9047.822  5.874427E-15
9056.114425  4.693176E-15
9064.40685  5.446435E-15
9072.69927500001  5.255663E-15
9080.9917  5.843052E-15
9089.284125  5.446723E-15
9097.57655  5.354167E-15
9105.86897500001  5.559497E-15
9114.1614  4.875896E-15
9122.453825  4.187272E-15
9130.74625000001  4.804995E-15
9139.038675  4.711393E-15
9147.3311  4.735185E-15
9155.623525  3.872049E-15
9163.91595  4.630134E-15
9172.208375  3.769747E-15
9180.5008  3.620365E-15
9188.79322500001  5.005865E-15
9197.08565000001  5.595156E-15
9205.378075  5.585538E-15
9213.6705  4.605843E-15
9221.962925  4.771483E-15
9230.25535  5.307735E-15
9238.547775  5.395155E-15
9246.84020000001  4.250779E-15
9255.132625  5.120486E-15
9263.42505  4.847255E-15
9271.71747500001  5.015125E-15
9280.00990000001  4.559313E-15
9288.302325  4.203747E-15
9296.59475  2.890955E-15
9304.887175  3.356847E-15
9313.1796  2.388616E-15
