9707.796808  2.283260E-15
9713.524396  2.282590E-15
9719.251984  2.392426E-15
9724.979572  2.348661E-15
9730.70716000001  2.174912E-15
9736.434748  2.221011E-15
9742.162336  2.209018E-15
9747.889924  2.180263E-15
9753.617512  2.170910E-15
9759.3451  2.135086E-15
9765.072688  2.174932E-15
9770.800276  2.253291E-15
9776.527864  2.268929E-15
9782.255452  2.218524E-15
9787.98304  2.288186E-15
9793.710628  2.384781E-15
9799.438216  2.329118E-15
9805.165804  2.331902E-15
9810.893392  2.377202E-15
9816.62098  2.488105E-15
9822.348568  2.384454E-15
9828.076156  2.495858E-15
9833.803744  2.544756E-15
9839.531332  2.516073E-15
9845.25892  2.482850E-15
9850.986508  2.530538E-15
9856.714096  2.592638E-15
9862.441684  2.476906E-15
9868.169272  2.702001E-15
9873.89686  2.735690E-15
9879.624448  2.679976E-15
9885.352036  2.526902E-15
9891.079624  2.666953E-15
9896.807212  2.723201E-15
9902.5348  2.693205E-15
9908.262388  2.683171E-15
9913.989976  2.892392E-15
9919.717564  3.035428E-15
9925.44515200001  2.814671E-15
9931.17274  2.704746E-15
9936.900328  2.822187E-15
9942.627916  3.083306E-15
9948.355504  2.994031E-15
9954.083092  2.898198E-15
9959.81068  3.093575E-15
9965.538268  3.210711E-15
9971.265856  2.981781E-15
9976.993444  3.066302E-15
9982.721032  3.177842E-15
9988.44862  3.084028E-15
9994.176208  3.101930E-15
9999.903796  3.016457E-15
10005.631384  3.021889E-15
10011.358972  3.291535E-15
10017.08656  3.372417E-15
10022.814148  2.951732E-15
10028.541736  3.018758E-15
10034.269324  3.063557E-15
10039.996912  3.081918E-15
10045.7245  3.104109E-15
10051.452088  2.983778E-15
10057.179676  3.010199E-15
10062.907264  3.154373E-15
10068.634852  3.306531E-15
10074.36244  3.112597E-15
10080.090028  2.927423E-15
10085.817616  3.197088E-15
10091.545204  2.953103E-15
10097.272792  2.747222E-15
10103.00038  2.992912E-15
10108.727968  3.016739E-15
10114.455556  2.959782E-15
10120.183144  3.016282E-15
10125.910732  3.277156E-15
10131.63832  3.100240E-15
10137.365908  2.888267E-15
10143.093496  3.036496E-15
10148.821084  3.123845E-15
10154.548672  3.199500E-15
10160.27626  3.068295E-15
10166.003848  3.088322E-15
10171.731436  3.189156E-15
10177.459024  3.106895E-15
10183.186612  3.132915E-15
10188.9142  3.082945E-15
10194.641788  2.846204E-15
10200.369376  2.779277E-15
10206.096964  2.803195E-15
10211.824552  3.092885E-15
10217.55214  3.047959E-15
10223.279728  3.140002E-15
10229.007316  2.977259E-15
10234.734904  2.678502E-15
10240.462492  2.606831E-15
10246.19008  2.535857E-15
10251.917668  2.801876E-15
10257.645256  2.777018E-15
10263.372844  3.094036E-15
10269.100432  2.761052E-15
10274.82802  2.134441E-15
10280.555608  2.410813E-15
10286.283196  2.708222E-15
10292.010784  2.202675E-15
10297.738372  2.670399E-15
10303.46596  2.194449E-15
10309.193548  2.282492E-15
10314.921136  2.366276E-15
10320.648724  1.893360E-15
10326.376312  1.882309E-15
10332.1039  2.381398E-15
10337.831488  2.396039E-15
10343.559076  2.176317E-15
10349.286664  1.982957E-15
10355.014252  1.944041E-15
10360.74184  2.109447E-15
10366.469428  2.160275E-15
10372.197016  3.370945E-15
10377.924604  2.471159E-15
10383.652192  2.069680E-15
10389.37978  2.376076E-15
10395.107368  2.809515E-15
10400.834956  2.202708E-15
10406.562544  2.341031E-15
10412.290132  2.270594E-15
10418.01772  3.440311E-15
10423.745308  3.277035E-15
10429.472896  2.484424E-15
10435.200484  2.517809E-15
10440.928072  2.691670E-15
10446.65566  2.572783E-15
10452.383248  1.903302E-15
10458.110836  2.732557E-15
10463.838424  2.739215E-15
10469.566012  3.040721E-15
10475.2936  4.099855E-15
10481.021188  2.696108E-15
10486.748776  2.291574E-15
10492.476364  2.753816E-15
10498.203952  3.232091E-15
10503.93154  3.295851E-15
10509.659128  2.438820E-15
10515.386716  2.212314E-15
10521.114304  3.448068E-15
10526.841892  4.187485E-15
10532.56948  3.584577E-15
10538.297068  3.179306E-15
10544.024656  4.992757E-15
10549.752244  3.830128E-15
10555.479832  3.117866E-15
10561.20742  3.097827E-15
10566.935008  2.820902E-15
10572.662596  4.792784E-15
10578.390184  5.807437E-15
10584.117772  3.888237E-15
10589.84536  4.688083E-15
10595.572948  2.322999E-15
10601.300536  2.238269E-15
10607.028124  3.225709E-15
10612.755712  3.417464E-15
10618.4833  2.223321E-15
10624.210888  4.515021E-15
10629.938476  4.345534E-15
10635.666064  2.899053E-15
10641.393652  2.896444E-15
10647.12124  2.893834E-15
10652.848828  2.891225E-15
10658.576416  2.888615E-15
10664.304004  2.886005E-15
10670.031592  2.883396E-15
10675.75918  2.880786E-15
10681.486768  2.878177E-15
10687.214356  2.875567E-15
10692.941944  2.872957E-15
10698.669532  2.870348E-15
10704.39712  2.867738E-15
10710.124708  2.865128E-15
10715.852296  2.862519E-15
10721.579884  2.859909E-15
10727.307472  2.857300E-15
10733.03506  2.854690E-15
10738.762648  2.852080E-15
10744.490236  2.849471E-15
10750.217824  2.846861E-15
10755.945412  2.844252E-15
10761.673  2.841642E-15
10767.400588  2.839033E-15
10773.128176  2.836423E-15
10778.855764  2.833814E-15
10784.583352  2.831204E-15
10790.31094  2.828594E-15
10796.038528  2.825984E-15
10801.766116  2.823375E-15
10807.493704  2.820765E-15
10813.221292  2.818156E-15
10818.94888  2.815546E-15
10824.676468  2.812936E-15
10830.404056  2.810327E-15
10836.131644  2.807717E-15
10841.859232  2.805108E-15
10847.58682  2.802498E-15
10853.314408  2.799889E-15
10859.041996  2.797279E-15
10864.769584  2.794669E-15
10870.497172  2.792060E-15
10876.22476  2.789450E-15
10881.952348  2.786841E-15
10887.679936  2.784231E-15
10893.407524  2.781621E-15
10899.135112  2.779012E-15
10904.8627  2.776402E-15
10910.590288  2.773793E-15
10916.317876  2.771183E-15
10922.045464  2.768574E-15
10927.773052  2.765964E-15
10933.50064  2.763354E-15
10939.228228  2.760744E-15
10944.955816  2.758135E-15
10950.683404  2.755525E-15
10956.410992  2.752916E-15
10962.13858  2.750306E-15
10967.866168  2.747697E-15
10973.593756  2.745087E-15
10979.321344  2.742478E-15
10985.048932  2.739868E-15
10990.77652  2.737258E-15
10996.504108  2.734649E-15
11002.231696  2.732039E-15
11007.959284  2.729430E-15
11013.686872  2.726820E-15
11019.41446  2.724210E-15
11025.142048  2.721601E-15
11030.869636  2.718991E-15
11036.597224  2.716381E-15
11042.324812  2.713772E-15
11048.0524  2.711162E-15
11053.779988  2.708553E-15
11059.507576  2.705943E-15
11065.235164  2.703333E-15
11070.962752  2.700724E-15
11076.69034  2.698114E-15
11082.417928  2.695505E-15
11088.145516  2.692895E-15
11093.873104  2.690285E-15
11099.600692  2.687676E-15
11105.32828  2.685066E-15
11111.055868  2.682457E-15
11116.783456  2.679847E-15
11122.511044  2.677238E-15
11128.238632  2.674628E-15
11133.96622  2.672018E-15
11139.693808  2.669409E-15
11145.421396  2.666799E-15
11151.148984  2.664190E-15
11156.876572  2.661580E-15
11162.60416  2.658970E-15
11168.331748  2.656361E-15
11174.059336  2.653751E-15
