# wave-obs	 flux	 eflux
4673.51 80.9133 0.974317 
4676.19 79.0881 0.966238 
4678.88 77.7539 0.952263 
4681.56 78.4255 0.963797 
4684.25 75.8863 0.94569 
4686.93 75.4519 0.946858 
4689.62 74.4832 0.942807 
4692.31 75.3609 0.940723 
4694.99 73.8055 0.939929 
4697.68 71.9553 0.9261 
4700.37 71.087 0.924186 
4703.05 71.2556 0.92552 
4705.74 69.6421 0.911425 
4708.43 68.4666 0.914678 
4711.12 69.4695 0.917499 
4713.81 70.3537 0.920317 
4716.5 68.5329 0.913054 
4719.18 68.2579 0.908712 
4721.87 67.7843 0.907947 
4724.56 67.843 0.918301 
4727.25 64.6064 0.891662 
4729.94 64.3206 0.88728 
4732.63 65.9927 0.898541 
4735.32 64.4274 0.886941 
4738.02 66.8496 0.898554 
4740.71 65.4183 0.890637 
4743.4 65.0909 0.894805 
4746.09 62.4012 0.877448 
4748.78 63.3865 0.883307 
4751.47 60.9948 0.873914 
4754.17 63.9227 0.886207 
4756.86 62.7023 0.879226 
4759.55 61.5168 0.871834 
4762.24 61.3262 0.870524 
4764.94 62.5844 0.879975 
4767.63 61.8684 0.879347 
4770.32 61.408 0.872228 
4773.02 58.1156 0.85866 
4775.71 56.7848 0.847003 
4778.41 60.1029 0.868657 
4781.1 59.0027 0.860149 
4783.8 57.9396 0.851314 
4786.49 59.212 0.864296 
4789.19 55.9609 0.847098 
4791.88 57.1266 0.850163 
4794.58 55.5324 0.845281 
4797.28 56.1723 0.848832 
4799.97 55.6148 0.843537 
4802.67 56.1994 0.847898 
4805.37 54.9305 0.837896 
4808.06 53.3827 0.834204 
4810.76 54.077 0.832586 
4813.46 55.0729 0.834502 
4816.16 54.2013 0.838338 
4818.86 54.5061 0.837891 
4821.55 53.1798 0.837778 
4824.25 56.5109 0.848902 
4826.95 55.5798 0.851566 
4829.65 55.0827 0.846902 
4832.35 55.0545 0.846564 
4835.05 57.7772 0.870795 
4837.75 57.8626 0.86195 
4840.45 58.0841 0.866829 
4843.15 58.8475 0.864161 
4845.85 57.4679 0.865616 
4848.55 60.1949 0.878325 
4851.25 59.6823 0.880543 
4853.96 57.5167 0.866362 
4856.66 60.7121 0.878226 
4859.36 60.051 0.880414 
4862.06 59.5049 0.879748 
4864.76 61.5161 0.888696 
4867.47 60.3072 0.880325 
4870.17 60.392 0.882932 
4872.87 58.1738 0.866993 
4875.57 58.7986 0.875448 
4878.28 59.4032 0.877619 
4880.98 57.8316 0.869589 
4883.69 57.1728 0.866366 
4886.39 55.2556 0.856242 
4889.09 56.2938 0.864091 
4891.8 53.8284 0.848016 
4894.5 52.6756 0.843688 
4897.21 53.4928 0.845 
4899.91 51.4411 0.829741 
4902.62 50.3752 0.82277 
4905.33 50.749 0.821316 
4908.03 49.4238 0.817772 
4910.74 47.4975 0.80904 
4913.45 49.4705 0.81734 
4916.15 48.7053 0.80929 
4918.86 45.6126 0.791459 
4921.57 47.7818 0.803834 
4924.27 46.3026 0.791167 
4926.98 44.7465 0.784738 
4929.69 45.1869 0.789752 
4932.4 44.9975 0.789502 
4935.11 44.678 0.783064 
4937.81 43.9063 0.781234 
4940.52 44.2938 0.785047 
4943.23 43.0739 0.773504 
4945.94 44.5058 0.781805 
4948.65 46.2864 0.796992 
4951.36 45.2232 0.785901 
