BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  572  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN 1991T NARROW - APERTURE 1'  /
FILENAME= 'CTIO_60_25APR91.RED'  /
8084.040596  2.646659E-14
8092.33951  2.650051E-14
8100.638424  2.671691E-14
8108.937338  2.688642E-14
8117.236252  2.700120E-14
8125.535166  2.725565E-14
8133.83408  2.674323E-14
8142.132994  2.656034E-14
8150.431908  2.672015E-14
8158.730822  2.667700E-14
8167.029736  2.679440E-14
8175.32865  2.705053E-14
8183.627564  2.727359E-14
8191.926478  2.733421E-14
8200.225392  2.736169E-14
8208.524306  2.752913E-14
8216.82322  2.737527E-14
8225.122134  2.687694E-14
8233.421048  2.668713E-14
8241.719962  2.691486E-14
8250.018876  2.737202E-14
8258.31779  2.696131E-14
8266.616704  2.645297E-14
8274.915618  2.618438E-14
8283.214532  2.538436E-14
8291.513446  2.531975E-14
8299.81236  2.543485E-14
8308.111274  2.522559E-14
8316.410188  2.500844E-14
8324.709102  2.501683E-14
8333.008016  2.504088E-14
8341.30693  2.542342E-14
8349.605844  2.556053E-14
8357.904758  2.501148E-14
8366.203672  2.480731E-14
8374.502586  2.489516E-14
8382.8015  2.478434E-14
8391.100414  2.445828E-14
8399.399328  2.409111E-14
8407.698242  2.390165E-14
8415.997156  2.395298E-14
8424.29607  2.417789E-14
8432.594984  2.406088E-14
8440.893898  2.352725E-14
8449.192812  2.355876E-14
8457.491726  2.339477E-14
8465.79064  2.333252E-14
8474.089554  2.340669E-14
8482.388468  2.337051E-14
8490.687382  2.340231E-14
8498.986296  2.297177E-14
8507.28521  2.289502E-14
8515.584124  2.278682E-14
8523.883038  2.258220E-14
8532.181952  2.256673E-14
8540.480866  2.241545E-14
8548.77978  2.247431E-14
8557.078694  2.208145E-14
8565.377608  2.163999E-14
8573.676522  2.164914E-14
8581.975436  2.144158E-14
8590.27435  2.135752E-14
8598.573264  2.114008E-14
8606.872178  2.086600E-14
8615.171092  2.073166E-14
8623.470006  2.081746E-14
8631.76892  2.093304E-14
8640.067834  2.078087E-14
8648.366748  2.075798E-14
8656.665662  2.098266E-14
8664.964576  2.081430E-14
8673.26349  2.048237E-14
8681.562404  2.079092E-14
8689.861318  2.080987E-14
8698.160232  2.062725E-14
8706.459146  2.070565E-14
8714.75806000001  2.061472E-14
8723.056974  2.046097E-14
8731.355888  2.073708E-14
8739.654802  2.091836E-14
8747.953716  2.047741E-14
8756.25263  2.042683E-14
8764.551544  2.056766E-14
8772.850458  2.030610E-14
8781.149372  2.027263E-14
8789.448286  2.004825E-14
8797.7472  1.981501E-14
8806.046114  1.969631E-14
8814.345028  1.944286E-14
8822.643942  1.967786E-14
8830.942856  1.952771E-14
8839.24177  1.922829E-14
8847.540684  1.943959E-14
8855.839598  1.912993E-14
8864.138512  1.893931E-14
8872.437426  1.908800E-14
8880.73634  1.877944E-14
8889.035254  1.832627E-14
8897.334168  1.832490E-14
8905.63308200001  1.852100E-14
8913.931996  1.821334E-14
8922.23091  1.817055E-14
8930.529824  1.821822E-14
8938.828738  1.809506E-14
8947.127652  1.796009E-14
8955.426566  1.760927E-14
8963.72548  1.746180E-14
8972.024394  1.730923E-14
8980.323308  1.677736E-14
8988.622222  1.677886E-14
8996.921136  1.710611E-14
9005.22005  1.696830E-14
9013.518964  1.660869E-14
9021.817878  1.695326E-14
9030.116792  1.736902E-14
9038.415706  1.706110E-14
