wavelength spec_sum spec_optimal
5210.83 7.58435 7.24279
5213.72 9.63964 8.63374
5216.6 7.66714 7.88976
5219.49 8.65595 8.26705
5222.38 7.53006 6.85948
5225.27 7.85152 7.83905
5228.15 8.69862 8.36128
5231.04 7.90303 6.86156
5233.93 8.27751 8.10116
5236.82 7.23435 7.79208
5239.7 8.98412 8.44762
5242.59 9.48285 8.81213
5245.48 9.11321 8.34913
5248.37 7.68567 7.39855
5251.25 9.3838 8.87942
5254.14 9.48211 9.26629
5257.03 8.84489 9.01319
5259.92 10.275 9.51137
5262.8 9.67269 9.15616
5265.69 7.95811 8.45438
5268.58 8.89714 8.10601
5271.46 9.22023 9.14042
5274.35 10.1547 10.0804
5277.24 9.50125 9.57693
5280.12 8.98428 9.01954
5283.01 8.01021 8.54183
5285.9 8.75069 7.97713
5288.78 8.94661 8.7323
5291.67 9.21806 8.42531
5294.56 10.0579 9.1514
5297.44 9.32736 9.11665
5300.33 8.48367 8.44636
5303.22 9.1975 9.28431
5306.1 10.4027 10.0081
5308.99 8.56695 8.64553
5311.87 9.22369 8.891
5314.76 8.56749 7.72574
5317.65 9.51023 8.90833
5320.53 8.98345 8.58883
5323.42 9.71952 9.74644
5326.3 5.93595 8.76291
5329.19 6.5445 8.753
5332.08 6.42921 8.93601
5334.96 6.83184 7.67429
5337.85 7.92657 9.62955
5340.73 7.66824 9.82813
5343.62 7.48573 9.79985
5346.5 7.0756 8.14786
5349.39 6.84657 9.43792
5352.27 7.88267 10.2763
5355.16 7.28891 9.53163
5358.04 6.46847 9.44003
5360.93 7.79645 9.5616
5363.82 8.6152 10.3235
5366.7 6.8927 8.77879
5369.59 7.56149 9.97334
5372.47 7.06853 10.309
5375.35 6.47802 8.89342
5378.24 6.97057 9.36866
5381.12 7.86177 10.0886
5384.01 8.33133 11.0102
5386.89 7.61912 10.1053
5389.78 6.97062 9.70587
5392.66 7.79705 10.3
5395.55 6.83609 9.55502
5398.43 6.74168 8.6448
5401.32 6.74247 8.64895
5404.2 7.04594 8.93247
5407.08 7.49089 9.63322
5409.97 5.98443 7.23768
5412.85 5.67081 8.09662
5415.74 6.05761 8.62181
5418.62 7.73607 9.972
5421.5 6.9418 8.7619
5424.39 5.91959 8.94034
5427.27 6.12304 8.75316
5430.15 6.00783 8.41052
5433.04 6.05302 8.93146
5435.92 6.93719 9.46323
5438.8 6.36006 9.06302
5441.69 4.98589 7.54617
5444.57 5.40687 6.94042
5447.45 6.57965 9.29435
5450.34 5.1062 6.84217
