# Wavelength(angstroms) flux flux_err
3559.730255126953 -7.7238717616078e-17 7.479541137505357e-17 
3561.2003326416016 -1.8424376945725435e-18 7.312717336799133e-17 
3562.67041015625 3.8810490469097956e-17 7.127256826019844e-17 
3564.1404876708984 -5.663686463560369e-17 7.09585043252243e-17 
3565.610565185547 -1.0511621965399724e-16 7.085804489419096e-17 
3567.0806427001953 -4.214811460991267e-17 6.937325569465828e-17 
3568.5507202148438 1.4755410555865458e-16 7.569133400523221e-17 
3570.020797729492 5.315078804461531e-17 6.915842696341091e-17 
3571.4908752441406 6.287267487117555e-17 6.803404366549003e-17 
3572.960952758789 -6.567575835654624e-17 6.473580986544509e-17 
3574.4310302734375 -2.070005917151906e-17 6.347523955147348e-17 
3575.901107788086 -1.1609192038328575e-17 6.464798313672666e-17 
3577.3711853027344 4.473409296299025e-17 6.443733001321145e-17 
3578.841262817383 3.338679292404086e-17 6.326225708735332e-17 
3580.3113403320312 -2.3901488024476916e-17 6.132701841344876e-17 
3581.7814178466797 -9.570559758321825e-17 6.101650142894126e-17 
3583.251495361328 1.6317625184222086e-16 6.716771424890609e-17 
3584.7215728759766 -2.7414343760616088e-17 5.777507839336646e-17 
3586.191650390625 6.006655397859556e-17 6.132936760638841e-17 
3587.6617279052734 4.6224060313157514e-17 6.065558598407212e-17 
3589.131805419922 4.900232838015162e-17 6.025767240476471e-17 
3590.6018829345703 1.605946178417204e-17 5.564082668152654e-17 
3592.0719604492188 5.224213345044826e-17 5.795076493802782e-17 
3593.542037963867 4.450532789278258e-17 5.832541158106534e-17 
3595.0121154785156 -6.13510066512128e-17 5.324436202422976e-17 
3596.482192993164 -4.750985963581199e-17 5.5496013826048107e-17 
3597.9522705078125 5.663148961598332e-18 5.4801076232385157e-17 
3599.422348022461 1.973065147008244e-17 5.5150017410706976e-17 
3600.8924255371094 -1.968420031560391e-17 5.403166591381283e-17 
3602.362503051758 1.5276379493563196e-16 6.126657467172829e-17 
3603.8325805664062 -5.640577022479108e-17 5.433271333466783e-17 
3605.3026580810547 4.4112282105943925e-16 7.226808343612846e-17 
3606.772735595703 9.09977659630662e-16 1.0192780896951974e-16 
3608.2428131103516 4.7224810867385614e-14 5.009313674788122e-16 
3609.712890625 4.272687957021688e-14 4.93741328306044e-16 
3611.1829681396484 4.852677165808304e-14 1.665486833461651e-14 
3612.653045654297 2.14143227483159e-15 1.1911300235601112e-16 
3614.1231231689458 -5.926199311620116e-16 4.4276704435895786e-16 
3615.593200683594 2.0287070390983994e-16 6.280096162078965e-17 
3617.0632781982426 -9.370374770894602e-18 5.107513380736865e-17 
3618.533355712891 -5.904728217547302e-17 5.122235210406839e-17 
3620.0034332275395 1.2542356986662307e-16 5.833697887475128e-17 
3621.473510742188 2.944501922487457e-17 5.27293891533563e-17 
3622.9435882568364 1.065741221748995e-16 5.584717184841157e-17 
3624.413665771485 9.28525292277922e-18 5.172986711453907e-17 
3625.8837432861333 5.810612269195508e-17 5.3160836634696607e-17 
3627.3538208007817 1.286259131677481e-18 4.898203267664202e-17 
3628.82389831543 2.3439320709547613e-17 5.314562643759298e-17 
3630.2939758300786 2.6041157769329058e-17 5.134657477973915e-17 
3631.764053344727 -5.2974433138019007e-17 5.1492482822348604e-17 
3633.2341308593755 1.3528029375047435e-16 5.608532707293294e-17 
3634.704208374024 1.615742312975547e-17 5.30554372810451e-17 
3636.1742858886723 -6.608744283869144e-17 5.0939810367877424e-17 
3637.6443634033208 7.420867231423501e-18 4.991328253642157e-17 
3639.114440917969 6.217215215401664e-17 5.278303677916404e-17 
3640.5845184326176 4.825595669600012e-17 5.229782255800778e-17 
3642.054595947266 -1.6117807795859082e-17 4.9690158837991513e-17 
3643.5246734619145 -8.441711670326629e-17 4.977992116934332e-17 
3644.994750976563 7.347102242246227e-17 5.4426062321155666e-17 
3646.4648284912114 2.3725947063603363e-17 4.9194118476978164e-17 
3647.93490600586 5.194125146571577e-18 5.032700188287364e-17 
3649.4049835205083 4.2924440158405937e-17 5.1588713706090573e-17 
3650.8750610351567 6.323089701597021e-17 5.261225045245144e-17 
3652.345138549805 -4.359135287291559e-17 4.9803760514597096e-17 
3653.8152160644536 3.738054417135815e-18 5.052882402616923e-17 
3655.285293579102 2.1424543656662403e-17 5.199560384940541e-17 
3656.7553710937505 9.856788734811304e-17 5.509816972991215e-17 
3658.225448608399 1.8222100680273556e-17 5.087327195940366e-17 
3659.6955261230473 -1.7888402786279863e-17 5.0854190557033285e-17 
3661.1656036376958 -7.339800222670854e-18 5.0695411584092507e-17 
3662.635681152344 -3.313500245430217e-17 5.053996449465909e-17 
3664.1057586669926 7.976437134144332e-17 5.332344710823473e-17 
3665.575836181641 1.8538316939201552e-17 5.1755992787005947e-17 
3667.0459136962895 -2.5423961918356292e-17 5.0347502727175153e-17 
3668.515991210938 1.1266676399005067e-16 5.432345222052969e-17 
3669.9860687255864 1.6678617391452068e-16 5.844081320268384e-17 
3671.456146240235 1.7701453350397979e-16 5.895005867499598e-17 
3672.9262237548833 5.666768869394987e-17 5.35546573243331e-17 
3674.3963012695317 2.91670302907751e-17 5.1688908439327896e-17 
3675.86637878418 -1.3763524386718832e-17 5.052500245173923e-17 
3677.3364562988286 1.6846494358514195e-17 5.1362423560275667e-17 
3678.806533813477 6.96433797954936e-17 5.4206862767551564e-17 
3680.2766113281255 1.1944996265034072e-16 5.597415399860581e-17 
3681.746688842774 4.098225647607838e-17 5.2662748174486576e-17 
3683.2167663574223 2.0245152848006746e-17 5.260895165616858e-17 
3684.6868438720708 2.1000377019073786e-17 5.113319857764742e-17 
3686.156921386719 -5.084006562089333e-17 5.1819454083601015e-17 
3687.6269989013676 2.9943226799092806e-17 5.328504276675512e-17 
