#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457047.79345 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
4426.5 4.3453693e-15 
4428.4 4.3343957e-15 
4430.3 4.3454151e-15 
4432.2 4.3608273e-15 
4434.1 4.3790313e-15 
4436.1 4.4299706e-15 
4438.0 4.4874979e-15 
4439.9 4.5504182e-15 
4441.8 4.6237877e-15 
4443.7 4.5946252e-15 
4445.7 4.5834427e-15 
4447.6 4.6516484e-15 
4449.5 4.6265281e-15 
4451.4 4.6221528e-15 
4453.3 4.6914618e-15 
4455.3 4.8238182e-15 
4457.2 4.8862059e-15 
4459.1 4.8565157e-15 
4461.0 4.9812864e-15 
4462.9 5.1216844e-15 
4464.9 5.1953778e-15 
4466.8 5.1901017e-15 
4468.7 5.294596e-15 
4470.6 5.4130177e-15 
4472.6 5.475831e-15 
4474.5 5.5483679e-15 
4476.4 5.6676253e-15 
4478.3 5.7713832e-15 
4480.2 5.7716281e-15 
4482.2 5.9304981e-15 
4484.1 6.0820578e-15 
4486.0 6.0573677e-15 
4487.9 6.2139075e-15 
4489.8 6.2510935e-15 
4491.8 6.2829214e-15 
4493.7 6.472747e-15 
4495.6 6.5177642e-15 
4497.5 6.5226173e-15 
4499.4 6.6671325e-15 
4501.4 6.8571182e-15 
4503.3 7.0259274e-15 
4505.2 7.1492966e-15 
4507.1 7.2144469e-15 
4509.0 7.3547764e-15 
4511.0 7.5677347e-15 
4512.9 7.8576799e-15 
4514.8 7.988366e-15 
4516.7 8.1169539e-15 
4518.6 8.209466e-15 
4520.6 8.444021e-15 
4522.5 8.6151147e-15 
4524.4 8.8835045e-15 
4526.3 9.0472106e-15 
4528.3 9.3245584e-15 
4530.2 9.4511621e-15 
4532.1 9.7588332e-15 
4534.0 1.000985e-14 
4535.9 1.0234067e-14 
4537.9 1.0459046e-14 
4539.8 1.06033e-14 
4541.7 1.0827631e-14 
4543.6 1.0891455e-14 
4545.5 1.1231914e-14 
4547.5 1.1451335e-14 
4549.4 1.1500052e-14 
4551.3 1.1766802e-14 
4553.2 1.1839441e-14 
4555.1 1.1933196e-14 
4557.1 1.2113415e-14 
4559.0 1.2164738e-14 
4560.9 1.2261964e-14 
4562.8 1.2374611e-14 
4564.7 1.2582093e-14 
4566.7 1.2761286e-14 
4568.6 1.285686e-14 
4570.5 1.3083867e-14 
4572.4 1.3172791e-14 
4574.3 1.3322662e-14 
4576.3 1.3512502e-14 
4578.2 1.3610066e-14 
4580.1 1.3708258e-14 
4582.0 1.381773e-14 
4584.0 1.3881089e-14 
4585.9 1.3954491e-14 
4587.8 1.4026741e-14 
4589.7 1.4079096e-14 
4591.6 1.4113027e-14 
4593.6 1.4364986e-14 
4595.5 1.4465155e-14 
4597.4 1.4398835e-14 
4599.3 1.4486633e-14 
4601.2 1.4725672e-14 
4603.2 1.478932e-14 
4605.1 1.4674751e-14 
4607.0 1.4881555e-14 
4608.9 1.5025609e-14 
4610.8 1.4887608e-14 
4612.8 1.4912228e-14 
4614.7 1.5335569e-14 
4616.6 1.5400501e-14 
4618.5 1.5334537e-14 
4620.4 1.5279498e-14 
4622.4 1.533855e-14 
4624.3 1.5474413e-14 
4626.2 1.5344388e-14 
4628.1 1.5180378e-14 
4630.1 1.5064024e-14 
4632.0 1.5003925e-14 
4633.9 1.4719388e-14 
4635.8 1.4500931e-14 
4637.7 1.4348445e-14 
4639.7 1.4173635e-14 
4641.6 1.396862e-14 
4643.5 1.3669483e-14 
4645.4 1.3354059e-14 
4647.3 1.3040263e-14 
4649.3 1.2765079e-14 
4651.2 1.2508876e-14 
4653.1 1.22776e-14 
4655.0 1.2117538e-14 
4656.9 1.1695039e-14 
4658.9 1.1427646e-14 
4660.8 1.1363905e-14 
4662.7 1.1157367e-14 
4664.6 1.0832268e-14 
4666.5 1.0577182e-14 
4668.5 1.0433594e-14 
4670.4 1.0198566e-14 
4672.3 1.0003975e-14 
4674.2 9.6060765e-15 
4676.1 9.5414234e-15 
4678.1 9.4356425e-15 
4680.0 9.3070238e-15 
4681.9 8.9370369e-15 
4683.8 8.592554e-15 
4685.8 8.5429815e-15 
4687.7 8.4548808e-15 
4689.6 8.2122785e-15 
4691.5 8.057971e-15 
4693.4 7.9029341e-15 
4695.4 7.7844446e-15 
4697.3 7.6619694e-15 
4699.2 7.5627382e-15 
4701.1 7.4009606e-15 
4703.0 7.3106686e-15 
4705.0 7.3423104e-15 
4706.9 7.2710213e-15 
4708.8 7.1503045e-15 
4710.7 7.1449497e-15 
4712.6 7.052472e-15 
4714.6 6.9835792e-15 
4716.5 7.044894e-15 
4718.4 6.8794482e-15 
