# SIMPLE  =                    T / conforms to FITS standard                      
# BITPIX  =                    8 / array data type                                
# NAXIS   =                    0 / number of array dimensions                     
# EXTEND  =                    T                                                  
# VERSPYT = '3.11.11 '           / Python version                                 
# VERSNPY = '2.2.2   '           / Numpy version                                  
# VERSSCI = '1.15.1  '           / Scipy version                                  
# VERSAST = '7.0.0   '           / Astropy version                                
# VERSSKL = '1.6.1   '           / Scikit-learn version                           
# VERSPYP = '0.1.dev17373+g2d17455' / PypeIt version                              
# DATE    = '2025-01-29'         / UTC date created                               
# RA      =   195.53983333333332                                                  
# DEC     =   3.1041527777777778                                                  
# TARGET  = 'AT2025acj'                                                           
# DISPNAME= 'red     '                                                            
# DECKER  = 'slit    '                                                            
# BINNING = '1,1     '                                                            
# MJD     =         60704.117568                                                  
# DATETIME= '2025-01-29T02:49:17.875' / Date and time of the observation in ISOT f
# AIRMASS =             1.497593                                                  
# EXPTIME =               1200.0                                                  
# FILENAME= 'v_e_20250128_43_1_0_0.fits'                                          
# INSTRUME= 'SPRAT   '                                                            
# DETECTOR= 'E2V CCD30-11 10333-02-26'                                            
# DATE-OBS= '2025-01-29T02:49:17.888'                                             
# CONFNAME= 'SPRATRed'                                                            
# FOVTYPE = 'slit    '                                                            
# CCDXBIN =                    1                                                  
# CCDYBIN =                    1                                                  
# PYPELINE= 'MultiSlit'                                                           
# PYP_SPEC= 'lt_sprat'                                                            
# TELESCOP= 'LT      '                                                            
# LON-OBS =  -17.879999999999995                                                  
# LAT-OBS =   28.758333333333336                                                  
# ALT-OBS =    2326.999999998442                                                  
# CLBS_DIR= '/Users/chrisfro/remoteLT/LT2025/AT2025acj/20250128/reduced/Calibrat&'
# CONTINUE  'ions'                                                                
# CLBS_ARC= 'Arc_A_0_DET01.fits'                                                  
# HIERARCH CLBS_WAVECALIB = 'WaveCalib_A_0_DET01.fits'                            
# HIERARCH CLBS_BIAS = 'Bias_A_0_DET01.fits'                                      
# HIERARCH CLBS_FLAT = 'Flat_A_0_DET01.fits'                                      
# HIERARCH CLBS_EDGES = 'Edges_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_SLITS = 'Slits_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_TILTIMG = 'Tiltimg_A_0_DET01.fits'                                
# HIERARCH CLBS_TILTS = 'Tilts_A_0_DET01.fits'                                    
# DMODCLS = 'SpecObjs'           / Datamodel class                                
# DMODVER = '1.0.0   '           / Datamodel version                              
# EXT0000 = 'SPAT0127-SLIT0114-DET01'                                             
# NSPEC   =                    1                                                  
# 
#      Lam       Flux        STD
  5185.081  1.351e-15  2.045e-16
  5189.670  1.125e-15  2.083e-16
  5194.259  1.067e-15  2.068e-16
  5198.849  1.180e-15  2.066e-16
  5203.440  1.209e-15  2.058e-16
  5208.033  1.215e-15  2.045e-16
  5212.627  1.076e-15  2.025e-16
  5217.221  1.283e-15  2.025e-16
  5221.817  1.214e-15  2.015e-16
  5226.414  1.263e-15  2.012e-16
  5231.012  1.071e-15  1.992e-16
  5235.612  1.364e-15  1.998e-16
  5240.212  1.346e-15  1.990e-16
  5244.814  1.283e-15  1.976e-16
  5249.416  1.250e-15  1.966e-16
  5254.020  1.310e-15  1.961e-16
  5258.625  1.286e-15  1.950e-16
  5263.231  1.059e-15  1.929e-16
  5267.838  1.296e-15  1.931e-16
  5272.446  1.485e-15  1.935e-16
  5277.055  1.111e-15  1.909e-16
  5281.665  1.312e-15  1.914e-16
  5286.277  1.512e-15  1.906e-16
  5290.889  1.160e-15  1.883e-16
  5295.502  1.303e-15  1.882e-16
  5300.117  1.295e-15  1.888e-16
  5304.733  1.399e-15  1.890e-16
  5309.349  1.478e-15  1.890e-16
  5313.967  1.510e-15  1.886e-16
  5318.586  1.574e-15  1.883e-16
  5323.206  1.430e-15  1.871e-16
  5327.827  1.598e-15  1.873e-16
  5332.449  1.491e-15  1.859e-16
  5337.072  1.512e-15  1.854e-16
  5341.696  1.528e-15  1.849e-16
  5346.321  1.403e-15  1.832e-16
  5350.947  1.560e-15  1.829e-16
  5355.574  1.542e-15  1.820e-16
  5360.203  1.416e-15  1.802e-16
  5364.832  1.510e-15  1.796e-16
  5369.462  1.317e-15  1.775e-16
  5374.093  1.367e-15  1.769e-16
  5378.726  1.410e-15  1.765e-16
  5383.359  1.480e-15  1.762e-16
  5387.993  1.421e-15  1.753e-16
  5392.628  1.419e-15  1.748e-16
  5397.265  1.353e-15  1.741e-16
  5401.902  1.343e-15  1.743e-16
  5406.540  1.268e-15  1.733e-16
  5411.180  1.516e-15  1.741e-16
  5415.820  1.329e-15  1.726e-16
  5420.461  1.391e-15  1.731e-16
  5425.103  1.365e-15  1.722e-16
  5429.747  1.354e-15  1.713e-16
  5434.391  1.468e-15  1.710e-16
  5439.036  1.680e-15  1.712e-16
  5443.682  1.534e-15  1.694e-16
  5448.329  1.409e-15  1.678e-16
  5452.977  1.335e-15  1.666e-16
  5457.626  1.328e-15  1.656e-16
  5462.276  1.237e-15  1.643e-16
  5466.927  1.236e-15  1.639e-16
  5471.579  1.222e-15  1.634e-16
  5476.231  1.248e-15  1.633e-16
  5480.885  1.227e-15  1.628e-16
  5485.540  1.060e-15  1.619e-16
  5490.195  8.724e-16  1.606e-16
  5494.852  1.057e-15  1.611e-16
  5499.509  9.720e-16  1.604e-16
  5504.168  9.270e-16  1.597e-16
  5508.827  1.049e-15  1.598e-16
  5513.487  9.703e-16  1.586e-16
  5518.147  9.919e-16  1.554e-16
  5522.810  1.065e-15  1.583e-16
  5527.473  9.349e-16  1.570e-16
  5532.137  9.217e-16  1.568e-16
  5536.802  1.070e-15  1.576e-16
  5541.467  1.113e-15  1.576e-16
  5546.134  9.863e-16  1.572e-16
  5550.801  9.775e-16  1.569e-16
  5555.469  9.663e-16  1.572e-16
  5560.139  1.013e-15  1.577e-16
  5564.809  9.612e-16  1.622e-16
  5569.480  1.173e-15  1.820e-16
  5574.151  9.946e-16  1.855e-16
  5578.824  1.071e-15  1.853e-16
  5583.498  1.191e-15  1.841e-16
  5588.172  1.080e-15  1.665e-16
  5592.847  9.719e-16  1.565e-16
  5597.523  1.083e-15  1.564e-16
  5602.200  1.061e-15  1.559e-16
  5606.878  9.887e-16  1.551e-16
  5611.557  1.087e-15  1.555e-16
  5616.236  9.616e-16  1.548e-16
  5620.916  1.118e-15  1.558e-16
  5625.598  9.959e-16  1.550e-16
  5630.280  9.803e-16  1.550e-16
  5634.962  1.075e-15  1.557e-16
  5639.646  1.073e-15  1.554e-16
  5644.330  1.070e-15  1.555e-16
  5649.016  9.662e-16  1.548e-16
  5653.702  9.017e-16  1.540e-16
  5658.389  9.856e-16  1.540e-16
  5663.076  9.499e-16  1.532e-16
  5667.765  1.027e-15  1.532e-16
  5672.454  9.249e-16  1.522e-16
  5677.144  9.866e-16  1.524e-16
  5681.835  8.858e-16  1.513e-16
  5686.527  8.676e-16  1.510e-16
  5691.220  9.245e-16  1.513e-16
  5695.913  8.955e-16  1.512e-16
  5700.607  9.712e-16  1.516e-16
  5705.302  9.277e-16  1.517e-16
  5709.997  8.928e-16  1.515e-16
  5714.694  8.215e-16  1.513e-16
  5719.394  7.975e-16  1.560e-16
  5724.089  1.032e-15  1.525e-16
  5728.788  8.852e-16  1.516e-16
  5733.487  9.176e-16  1.517e-16
  5738.187  9.823e-16  1.517e-16
  5742.888  9.256e-16  1.511e-16
  5747.590  9.473e-16  1.507e-16
  5752.293  1.019e-15  1.506e-16
  5756.996  9.910e-16  1.502e-16
  5761.700  1.169e-15  1.506e-16
  5766.404  1.097e-15  1.497e-16
  5771.110  1.150e-15  1.496e-16
  5775.816  9.653e-16  1.483e-16
  5780.523  1.106e-15  1.486e-16
  5785.230  1.212e-15  1.487e-16
  5789.939  1.259e-15  1.488e-16
  5794.648  1.271e-15  1.482e-16
  5799.358  1.132e-15  1.474e-16
  5804.068  1.073e-15  1.467e-16
  5808.779  1.107e-15  1.466e-16
  5813.491  1.215e-15  1.467e-16
  5818.204  1.136e-15  1.460e-16
  5822.917  1.083e-15  1.454e-16
