# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22A20b
# OBJECT = 2022eaw
# RA = 14:21:24.352
# DEC = 61:38:21.52
# DATE-OBS = 2022-03-30T04:42:59.496
# MJD-OBS = 59668.196522
# EXPTIME-OBS = 1800.0s
# AIRMASS-OBS = 1.246098
# SEEING-OBS = 1.001509
# wl fl
# [A] [Normalised]
5657.600000 1.14076
5666.800000 1.15652
5676.000000 1.14853
5685.200000 1.13322
5694.400000 1.17247
5703.600000 1.13993
5712.800000 1.12359
5722.000000 1.12353
5731.200000 1.13398
5740.400000 1.15559
5749.600000 1.16016
5758.800000 1.10937
5768.000000 1.17678
5777.200000 1.1211
5786.400000 1.11612
5795.600000 1.10312
5804.800000 1.07115
5814.000000 1.13071
5823.200000 1.11877
5832.400000 1.09216
5841.600000 1.08294
5850.800000 1.09196
5860.000000 1.07725
5869.200000 1.09279
5878.400000 1.06428
5887.600000 1.02228
5896.800000 1.02358
5906.000000 1.11757
5915.200000 1.0027
5924.400000 1.03732
5933.600000 1.05011
5942.800000 0.952674
5952.000000 1.12053
5961.200000 1.07706
5970.400000 1.06457
5979.600000 1.09199
5988.800000 1.13841
5998.000000 1.16368
6007.200000 1.18045
6016.400000 1.19895
6025.600000 1.14799
6034.800000 1.15313
6044.000000 1.15084
6053.200000 1.18051
6062.400000 1.16074
6071.600000 1.13542
6080.800000 1.11169
6090.000000 1.12591
6099.200000 1.10151
6108.400000 1.00647
6117.600000 1.07307
6126.800000 1.13789
6136.000000 1.13298
6145.200000 1.12897
6154.400000 1.12408
6163.600000 1.13116
6172.800000 1.13897
6182.000000 1.07498
6191.200000 1.14123
6200.400000 1.09334
6209.600000 1.11879
6218.800000 1.06051
6228.000000 1.14017
6237.200000 1.07463
6246.400000 1.11466
6255.600000 1.09371
6264.800000 1.15467
6274.000000 1.09601
6283.200000 1.06597
6292.400000 1.08488
6301.600000 1.10215
6310.800000 1.0624
6320.000000 1.16088
6329.200000 1.06491
6338.400000 1.01059
6347.600000 1.16661
6356.800000 1.06595
6366.000000 1.0441
6375.200000 1.04223
6384.400000 0.993281
6393.600000 0.966698
6402.800000 1.07133
6412.000000 1.03346
6421.200000 1.0427
6430.400000 1.05424
6439.600000 1.03931
6448.800000 1.03059
6458.000000 1.00521
6467.200000 1.00541
6476.400000 0.986508
6485.600000 0.985023
6494.800000 1.06102
6504.000000 1.04327
6513.200000 1.06775
6522.400000 1.09638
6531.600000 1.1154
6540.800000 1.11959
6550.000000 1.13796
6559.200000 1.0703
6568.400000 1.1504
6577.600000 1.158
6586.800000 1.14255
6596.000000 1.08543
6605.200000 1.09762
6614.400000 1.18621
6623.600000 1.17881
6632.800000 1.18365
6642.000000 1.22081
6651.200000 1.19437
6660.400000 1.18276
6669.600000 1.20848
6678.800000 1.19606
6688.000000 1.1914
6697.200000 1.19981
6706.400000 1.25012
6715.600000 1.22473
6724.800000 1.21325
6734.000000 1.16387
6743.200000 1.17108
6752.400000 1.22545
6761.600000 1.25763
6770.800000 1.21571
6780.000000 1.22788
6789.200000 1.24225
6798.400000 1.16642
6807.600000 1.13746
6816.800000 1.16063
6826.000000 1.20099
6835.200000 1.16345
6844.400000 1.19679
6853.600000 1.19092
6862.800000 1.05274
6872.000000 0.961424
6881.200000 0.935462
6890.400000 1.00598
6899.600000 1.04442
6908.800000 1.04654
6918.000000 1.05414
6927.200000 1.08658
6936.400000 1.05455
6945.600000 1.08351
6954.800000 1.12521
6964.000000 1.09545
6973.200000 1.05373
6982.400000 1.10644
6991.600000 1.10142
7000.800000 1.09482
7010.000000 1.12859
7019.200000 1.08706
7028.400000 1.10433
7037.600000 1.08837
7046.800000 1.06614
7056.000000 1.10545
7065.200000 1.0624
7074.400000 1.0981
7083.600000 1.09596
7092.800000 0.968279
7102.000000 1.02587
7111.200000 1.06813
7120.400000 1.07449
7129.600000 1.07952
7138.800000 1.10519
7148.000000 1.07019
7157.200000 1.12301
7166.400000 0.988407
7175.600000 1.08749
7184.800000 1.05237
7194.000000 1.03235
7203.200000 1.0597
7212.400000 1.15946
7221.600000 1.17031
7230.800000 1.05744
7240.000000 1.23546
7249.200000 1.05403
7258.400000 1.15291
7267.600000 1.10572
7276.800000 1.1432
7286.000000 1.11636
7295.200000 1.15988
7304.400000 1.20399
7313.600000 1.09911
7322.800000 1.05292
7332.000000 1.08031
7341.200000 1.08341
7350.400000 1.09353
